Date,rate_STZ_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,12.68,4.16,8.52,86.23,-9.01,9.88,1.17,1.19
2015-04-29,13.62,3.8,9.82,63.85,-26.13,15.38,1.19,2.99
2015-06-25,14.69,3.4,11.29,73.41,-1.23,15.38,1.23,1.21
2015-08-21,19.68,-2.77,22.45,91.0,20.0,24.67,1.23,0.67
2015-10-19,30.92,0.19,30.73,91.92,-1.56,33.43,1.19,1.17
2015-12-15,34.27,0.99,33.28,91.78,3.72,36.26,1.17,1.39
2016-02-12,32.37,-8.03,40.4,76.4,-13.09,52.88,1.16,3.36
2016-04-12,49.73,1.51,48.22,91.19,23.22,52.88,1.17,1.88
2016-06-08,46.15,4.64,41.51,77.98,-21.91,53.23,1.17,4.17
2016-08-04,54.28,6.55,47.73,88.05,-11.16,54.21,1.16,4.52
2016-09-30,56.52,6.55,49.97,92.18,3.71,54.21,1.16,2.41
2016-11-28,46.06,8.53,37.53,69.23,-24.89,54.21,1.16,10.1
2017-01-26,39.52,12.65,26.87,49.57,-5.27,54.21,1.19,18.73
2017-03-24,51.89,14.65,37.24,68.7,11.09,54.21,1.21,8.42
2017-05-22,69.53,17.16,52.37,96.61,16.07,54.21,1.21,2.26
2017-07-19,81.37,20.55,60.82,98.77,6.43,61.58,1.19,3.27
2017-09-14,85.67,21.78,63.89,99.59,1.12,64.15,1.19,3.48
2017-11-09,96.77,25.33,71.44,97.36,1.22,73.38,1.19,3.71
2018-01-09,98.86,32.87,65.99,86.78,-4.37,76.04,1.18,7.78
2018-03-08,102.46,32.18,70.28,92.43,11.14,76.04,1.18,4.03
2018-05-04,95.33,27.87,67.46,85.13,-12.35,79.24,1.17,8.4
2018-07-02,89.3,30.25,59.05,74.52,-9.74,79.24,1.18,8.64
2018-08-28,81.05,38.61,42.44,53.56,-9.02,79.24,1.21,13.01
2018-10-24,84.25,26.38,57.87,73.03,12.61,79.24,1.23,6.56
2018-12-21,40.04,14.29,25.75,32.5,-20.62,79.24,1.23,29.96
2019-02-21,42.43,31.47,10.96,13.83,-8.6,79.24,1.28,6.54
2019-04-18,70.17,36.81,33.36,42.1,28.45,79.24,1.36,14.66
2019-06-17,59.43,36.1,23.33,29.44,-21.22,79.24,1.43,5.09
2019-08-13,66.49,37.04,29.45,37.17,2.62,79.24,1.53,4.33
2019-10-09,61.31,35.98,25.33,31.97,-11.22,79.24,1.59,4.1
2019-12-05,53.01,45.14,7.87,9.93,-14.38,79.24,1.71,0.08
2020-02-04,61.01,52.49,8.52,10.75,-0.68,79.24,1.93,0.07
2020-04-01,13.94,13.74,0.2,15.95,3.05,79.24,1.9,0.06
2020-05-29,43.53,40.47,3.06,18.99,0.31,79.24,1.84,0.05
2020-07-27,48.08,48.57,-0.49,15.22,-1.89,79.24,1.82,0.0
2020-09-22,55.42,51.8,3.62,19.59,11.68,79.24,1.93,0.03
2020-11-17,68.4,64.37,4.03,20.02,13.23,79.24,1.9,0.07
2021-01-15,79.77,70.52,9.25,25.57,1.7,79.24,1.9,0.06
2021-03-16,87.52,78.86,8.66,24.95,-2.95,79.24,1.89,0.06
2021-05-12,85.78,82.17,3.61,19.58,3.63,79.24,1.79,0.02
2021-07-09,83.14,94.62,-11.48,3.53,-13.75,79.24,1.67,0.0
2021-09-03,69.57,101.38,-31.81,0.0,0.0,79.24,1.65,0.0
2021-11-01,75.46,103.4,-27.94,4.59,-7.13,79.24,1.71,0.0
2021-12-29,98.54,110.49,-11.95,18.83,8.89,79.24,1.69,0.0
2022-02-25,71.61,91.86,-20.25,11.44,-14.92,79.24,1.63,0.0
2022-04-25,95.76,86.8,8.96,37.44,23.04,79.24,1.67,-0.27
2022-06-22,85.88,63.12,22.76,49.72,7.16,79.24,1.97,-0.03
2022-08-18,95.46,84.98,10.48,38.79,-5.39,79.24,2.09,-0.03
2022-10-14,72.13,53.85,18.28,45.74,-1.12,79.24,2.01,-0.01
2022-12-12,89.4,70.93,18.47,45.91,-1.35,79.24,1.9,0.0
2023-02-09,74.28,73.66,0.62,30.02,-1.5,79.24,1.83,0.0
2023-04-10,71.81,73.97,-2.16,27.54,-0.33,79.24,1.8,0.0
2023-06-06,84.67,81.01,3.66,32.72,3.89,79.24,1.72,-0.0
2023-08-03,103.65,88.91,14.74,42.59,7.35,79.24,1.56,0.13
2023-09-29,90.01,79.47,10.54,38.85,2.36,79.24,1.44,0.88
2023-11-27,79.13,90.05,-10.92,19.74,-10.73,79.24,1.38,0.0
2024-01-25,87.51,103.14,-15.63,15.55,2.95,79.24,1.39,0.0
2024-03-22,100.13,115.96,-15.83,15.37,9.09,79.24,1.43,0.0
2024-05-20,86.08,118.46,-32.38,0.64,-17.23,79.24,1.54,0.0
2024-07-18,83.57,126.6,-43.03,4.0,-1.15,79.24,1.69,0.0
2024-09-13,85.98,129.28,-43.3,7.27,5.03,79.24,1.76,0.0
2024-10-24,76.86,135.48,-58.62,2.22,-2.69,79.24,1.86,0.0
