Date,rate_DG_5D,rate_VOO_20D
2016-01,3.5775,-3.28
2016-02,0.7435,-2.376
2016-03,15.5045,4.071
2016-04,7.1892,3.4463
2016-05,16.1258,4.5141
2016-06,19.1572,4.1644
2016-07,17.7466,7.3333
2016-08,-9.9806,6.6525
2016-09,-12.9362,6.013
2016-10,-12.8441,3.6115
2016-11,-1.3465,7.182
2016-12,-4.6658,8.8567
2017-01,-4.6663,10.0774
2017-02,-5.3461,13.6125
2017-03,-9.2739,12.8284
2017-04,-4.4377,13.2286
2017-05,-3.2475,14.0432
2017-06,-5.0755,13.9758
2017-07,-0.449,15.5728
2017-08,-3.8707,15.1519
2017-09,7.4971,16.7674
2017-10,7.1923,18.6971
2017-11,16.3724,21.4906
2017-12,22.1691,22.1742
2018-01,34.7179,28.0253
2018-02,22.4693,22.3109
2018-03,20.3119,18.5822
2018-04,23.7759,18.439
2018-05,11.5183,20.6342
2018-06,25.1091,20.8295
2018-07,24.1407,24.4195
2018-08,35.4505,27.64
2018-09,36.301,27.5571
2018-10,38.1765,18.148
2018-11,36.5862,19.8158
2018-12,32.0405,8.7803
2019-01,40.4345,17.0692
2019-02,43.0493,20.3898
2019-03,42.9543,22.1512
2019-04,50.3548,26.4471
2019-05,50.6054,17.8766
2019-06,58.6136,25.6026
2019-07,56.32,26.8029
2019-08,80.5576,24.165
2019-09,82.0655,26.0707
2019-10,82.2617,28.2682
2019-11,77.2058,32.2632
2019-12,74.1286,35.5066
2020-01,70.1602,34.7146
2020-02,65.3518,23.2206
2020-03,64.7593,7.5857
2020-04,90.1116,21.2139
2020-05,105.8512,26.5664
2020-06,102.8651,28.3643
2020-07,101.2879,35.3077
2020-08,111.4667,44.0007
2020-09,117.5686,37.8818
2020-10,114.9951,33.7409
2020-11,123.1191,47.6567
2020-12,112.7454,52.3191
2021-01,95.5722,49.9619
2021-02,88.4857,53.2489
2021-03,100.511,59.3139
2021-04,111.2458,66.7128
2021-05,98.0728,66.7978
2021-06,109.5893,69.5264
2021-07,123.9292,72.593
2021-08,112.8666,76.58
2021-09,101.0862,67.3306
2021-10,108.8753,78.0118
2021-11,107.1641,75.6346
2021-12,119.1437,82.5203
2022-01,92.7109,71.9304
2022-02,82.1818,65.8784
2022-03,103.172,71.2418
2022-04,115.7725,55.3862
2022-05,98.8249,55.0693
2022-06,120.0134,41.677
2022-07,121.6498,54.0588
2022-08,110.3974,47.0803
2022-09,111.1675,33.1115
2022-10,123.5322,43.3799
2022-11,122.6124,50.707
2022-12,113.6143,41.5455
2023-01,101.4189,49.9054
2023-02,85.4695,45.6128
2023-03,79.548,50.431
2023-04,88.4517,52.2262
2023-05,70.2974,52.3734
2023-06,43.4703,61.6123
2023-07,42.7155,66.208
2023-08,16.7946,62.8182
2023-09,-10.7267,54.4786
2023-10,1.0244,50.5707
2023-11,11.2375,63.7242
2023-12,15.1648,70.5007
2024-01,12.2084,72.5028
2024-02,23.219,80.6678
2024-03,32.0151,85.7322
2024-04,18.0037,77.499
2024-05,15.9209,85.5862
2024-06,11.8057,91.319
2024-07,2.2492,92.6342
2024-08,-29.3831,96.3435
2024-09,-27.7584,99.6776
2024-10,-30.8525,96.8805
2024-11,-32.9805,107.4927
2024-12,-33.9374,101.7132
2025-01,-37.247,106.1747
2025-02,-34.1761,102.6383
2025-03,-21.6761,90.4787
2025-04,-15.8503,88.1311
2025-05,-12.4793,99.0692
2025-06,2.9725,108.4087
2025-07,-5.0232,112.1972
2025-08,-1.5521,115.6241
2025-09,-6.4209,122.2463
2025-10,-10.0297,126.4867
2025-11,-0.128,125.9202
2025-12,20.9993,125.0582
2026-01,34.1546,126.4133
