Date,rate_AVB_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-0.67,4.16,-4.83,13.48,-18.91,6.02,2.52,0.0
2015-04-29,-1.32,3.8,-5.12,11.16,-46.89,6.02,2.41,0.0
2015-06-25,-4.96,3.4,-8.36,6.8,-6.11,6.02,2.61,0.0
2015-08-21,2.07,-2.77,4.84,92.35,49.45,6.02,2.29,-0.0
2015-10-19,9.02,0.19,8.83,98.54,7.22,9.1,2.17,-0.0
2015-12-15,3.97,0.99,2.98,66.94,8.97,9.1,1.98,-0.0
2016-02-12,-3.41,-8.03,4.62,64.92,-22.0,12.2,1.82,0.0
2016-04-12,8.89,1.51,7.38,77.7,-2.03,12.2,1.69,0.01
2016-06-08,-0.58,4.64,-5.22,19.39,-67.01,12.2,1.66,0.0
2016-08-04,6.24,6.55,-0.31,42.11,-14.02,12.2,1.67,0.0
2016-09-30,4.08,6.55,-2.47,32.11,7.49,12.2,1.71,0.0
2016-11-28,-4.36,8.53,-12.89,7.35,-5.7,12.2,1.81,0.0
2017-01-26,1.94,12.65,-10.71,15.4,-8.9,12.2,1.84,0.0
2017-03-24,9.13,14.65,-5.52,34.56,13.22,12.2,1.9,0.0
2017-05-22,12.1,17.16,-5.06,36.26,7.97,12.2,1.82,0.0
2017-07-19,10.85,20.55,-9.7,19.13,-16.21,12.2,1.86,0.0
2017-09-14,6.94,21.78,-14.84,0.15,-21.53,12.2,1.98,0.0
2017-11-09,9.03,25.33,-16.3,12.17,7.75,12.2,2.25,0.0
2018-01-09,0.6,32.87,-32.27,0.0,-2.43,12.2,2.18,0.0
2018-03-08,-7.19,32.18,-39.37,4.45,-1.88,12.2,2.22,0.0
2018-05-04,-4.31,27.87,-32.18,17.77,-7.0,12.2,1.96,0.0
2018-07-02,-0.65,30.25,-30.9,20.14,4.76,12.2,2.08,0.0
2018-08-28,7.4,38.61,-31.21,19.57,1.0,12.2,2.12,0.0
2018-10-24,2.77,26.38,-23.61,33.65,20.44,12.2,2.04,0.0
2018-12-21,2.9,14.29,-11.39,56.29,11.58,12.2,2.01,0.0
2019-02-21,13.78,31.47,-17.69,44.62,-0.46,12.2,2.11,0.0
2019-04-18,13.72,36.81,-23.09,34.61,-7.17,12.2,2.15,0.0
2019-06-17,21.29,36.1,-14.81,49.95,4.04,12.2,2.11,0.0
2019-08-13,17.91,37.04,-19.13,41.95,-0.78,12.2,1.94,0.0
2019-10-09,25.99,35.98,-9.99,58.88,17.63,12.2,1.74,0.0
2019-12-05,24.06,45.14,-21.08,38.34,-0.13,12.2,1.6,0.0
2020-02-04,25.41,52.49,-27.08,27.22,5.3,12.2,1.52,0.0
2020-04-01,-20.83,13.74,-34.57,13.34,-26.98,12.2,1.46,0.0
2020-05-29,-10.46,40.47,-50.93,0.0,-1.7,12.2,1.49,0.0
2020-07-27,-16.28,48.57,-64.85,0.0,-4.86,12.2,1.55,0.0
2020-09-22,-14.16,51.8,-65.96,6.07,5.63,12.2,1.62,0.0
2020-11-17,0.33,64.37,-64.04,11.91,11.91,12.2,1.77,0.0
2021-01-15,-5.43,70.52,-75.95,6.06,6.06,12.2,2.01,0.0
2021-03-16,9.74,78.86,-69.12,13.34,5.91,12.2,2.27,0.0
2021-05-12,11.09,82.17,-71.08,11.25,7.36,12.2,2.47,0.0
2021-07-09,26.95,94.62,-67.67,14.89,-1.48,12.2,2.81,0.0
2021-09-03,33.49,101.38,-67.89,14.65,-2.22,12.2,2.64,0.0
2021-11-01,34.43,103.4,-68.97,13.5,-8.12,12.2,2.03,0.0
2021-12-29,44.2,110.49,-66.29,16.36,-1.49,12.2,1.76,0.0
2022-02-25,38.89,91.86,-52.97,30.55,1.5,12.2,1.89,0.0
2022-04-25,40.95,86.8,-45.85,38.14,12.31,12.2,2.16,0.0
2022-06-22,8.67,63.12,-54.45,28.97,2.62,12.2,1.99,0.0
2022-08-18,22.46,84.98,-62.52,20.38,-0.83,12.2,1.78,0.0
2022-10-14,-4.18,53.85,-58.03,25.16,-5.63,12.2,1.66,0.0
2022-12-12,-3.04,70.93,-73.97,8.17,2.82,12.2,1.6,0.0
2023-02-09,1.97,73.66,-71.69,10.6,1.42,12.2,1.6,0.0
2023-04-10,-4.62,73.97,-78.59,3.25,-8.41,12.2,1.6,0.0
2023-06-06,3.53,81.01,-77.48,4.43,-4.88,12.2,1.65,0.0
2023-08-03,4.2,88.91,-84.71,2.87,-2.45,12.2,1.76,0.0
2023-09-29,-2.96,79.47,-82.43,5.15,3.27,12.2,1.87,0.0
2023-11-27,-2.83,90.05,-92.88,0.28,-7.14,12.2,1.99,0.0
2024-01-25,-0.46,103.14,-103.6,0.0,-2.65,12.2,2.24,0.0
2024-03-22,3.51,115.96,-112.45,0.04,0.04,12.2,2.56,0.0
2024-05-20,11.51,118.46,-106.95,5.11,-4.92,12.2,2.8,0.0
2024-07-18,17.72,126.6,-108.88,5.28,3.63,12.2,2.53,0.0
2024-09-13,32.21,129.28,-97.07,14.52,6.36,12.2,1.93,0.0
2024-10-22,26.51,136.39,-109.88,4.5,-4.95,12.2,2.01,0.0
