Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,Close_vs,shares_vs
2015-01-02,24.28858184814453,24.74622767701957,24.75733627662568,23.84870740573121,24.28858184814453,212818400,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,24.28858184814453,0.0,AAPL,0.2584,Buy,0.0,157.08822631835938,0
2015-01-05,23.60433006286621,24.05753340346533,24.137510563273064,23.41771781993756,23.60433006286621,257142000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,24.28858184814453,-0.1802,AAPL,0.2652,Buy,-1.6559143066406268,154.328369140625,0
2015-01-06,23.606555938720703,23.66876002975555,23.86648090265961,23.244436602442416,23.606555938720703,263188400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,24.28858184814453,-0.2833,AAPL,0.2681,Buy,-2.5664428710937437,152.81082153320312,0
2015-01-07,23.937572479248047,23.8153846563686,24.037543101651647,23.70430543372708,23.937572479248047,160423600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,24.28858184814453,-0.2446,AAPL,0.2577,Buy,-1.4208251953124917,154.72018432617188,0
2015-01-08,24.8572998046875,24.26635942373162,24.915061455285365,24.14861406426148,24.8572998046875,237458000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.0589,0.0,0.0,0.0,0.0,24.8572998046875,0.0372,AAPL,0.2489,Buy,0.2101043701171923,157.4384002685547,0
2015-01-09,24.88396453857422,25.03058821110751,25.1594404985909,24.48407871360307,24.88396453857422,214798000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.1779,0.0,0.0,0.0,0.0,24.88396453857422,0.2198,AAPL,0.2497,Buy,-0.5853424072265634,156.11265563964844,0
2015-01-12,24.27080345153809,25.01503369893713,25.02169817926757,24.170832856713574,24.27080345153809,198603200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.3112,0.0,0.0,0.0,0.0,24.88396453857422,0.1623,AAPL,0.2572,Buy,-1.2807220458984303,154.9536895751953,0
2015-01-13,24.48630142211914,24.75511290800869,25.05947055480972,24.195274433127043,24.48630142211914,268367600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.4872,0.0,0.0,0.0,0.0,24.88396453857422,0.1751,AAPL,0.2619,Buy,-1.5258636474609344,154.5451202392578,0
2015-01-14,24.39299774169922,24.22415685028305,24.546285914954115,24.104191087561126,24.39299774169922,195826400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.5783,0.0,0.0,0.0,0.0,24.88396453857422,0.1496,AAPL,0.2638,Buy,-2.071170043945314,153.6362762451172,0
2015-01-15,23.73097038269043,24.437434465022097,24.450763432351152,23.69542590483468,23.73097038269043,240056000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.353,0.0,0.0,0.0,0.0,24.88396453857422,-0.0482,AAPL,0.2646,Buy,-2.9316741943359315,152.2021026611328,0
2015-01-16,23.546573638916016,23.777618630288504,23.899806455751897,23.371068260038804,23.546573638916016,314053200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.0855,0.0,0.0,0.0,0.0,24.88396453857422,-0.2188,AAPL,0.2646,Buy,-1.801034545898439,154.0865020751953,0
2015-01-20,24.15306854248047,23.95756800887451,24.20860815863042,23.659876479879365,24.15306854248047,199599600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.062,0.0,0.0,0.0,0.0,24.88396453857422,-0.1538,AAPL,0.2536,Buy,-1.5709075927734295,154.4700469970703,0
2015-01-21,24.337459564208984,24.204163134489207,24.672917612849428,24.0530953164167,24.337459564208984,194303600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,24.0322,0.0,0.0,0.0,0.0,24.88396453857422,-0.0554,AAPL,0.2505,Buy,-1.0856231689453044,155.2788543701172,0
2015-01-22,24.970611572265625,24.495192597191203,24.986162596873307,24.375226823817112,24.970611572265625,215185600,1990.1366084289552,0,17.458294219970867,1972.6783142089844,79,-0.49316957855223276,2000,cash_1%_Buy 100% of cash (79 shares - Very Safe - MRI:0.24),56.61354328192139,24.1477,0.0,0.0,0.0,0.0,24.970611572265625,0.1768,AAPL,0.2388,Buy,0.3401824951171917,157.6551971435547,0
2015-01-23,25.099464416503903,24.94839659073079,25.27052569079344,24.77733362150666,25.099464416503903,185859200,2000.3159831237792,0,17.458294219970867,1982.8576889038084,79,0.01579915618896699,2000,,57.67130960234547,24.4214,0.0,0.0,0.0,0.0,25.099464416503903,0.3466,AAPL,0.236,Buy,-0.18010253906249885,156.78805541992188,0
