Date,rate_COST_5D,rate_VOO_20D
2015-01,1.5770795993804931,-1.5187923889160015
2015-02,6.457088191986093,3.8071258697509824
2015-03,7.696861149787892,0.9870010566711552
2015-04,0.6813171974182186,1.746629016113288
2015-05,-0.0923463509877375,2.445587430318219
2015-06,-5.383770217895501,0.0477881883893749
2015-07,2.2190899372100947,2.036103009223944
2015-08,-1.5180991083780904,-4.434967023213698
2015-09,1.870216042327888,-6.094757460784894
2015-10,11.113446682323104,2.2972502372048176
2015-11,12.6718557071686,2.398872646331806
2015-12,11.721518393883334,0.3434960068922743
2016-01,3.84689653233119,-4.5265344189235
2016-02,3.084222786458346,-4.447794154357898
2016-03,8.00149598693849,2.171966619014753
2016-04,1.3651887480792049,2.3246705228020303
2016-05,1.5905115852355989,3.9153939569261498
2016-06,6.972990249232258,4.007219793620864
2016-07,13.513044811248776,7.591767202377331
2016-08,9.679681492396774,7.3427814701625405
2016-09,2.9353303028453626,7.017378379128214
2016-10,-0.2873972639000799,4.79815843200686
2016-11,1.553022859573372,8.494437102635711
2016-12,8.167213070678736,10.390348872680688
2017-01,10.421161197368932,11.902453886472264
2017-02,19.228155552899405,15.760153024461545
2017-03,12.169411855970116,15.283810029711065
2017-04,18.29564826333936,15.93482710608123
2017-05,24.763797274780288,16.99472089004519
2017-06,9.913990547672412,17.136490282858574
2017-07,8.637198369026189,18.973663158416755
2017-08,7.488260425914439,18.72022998116236
2017-09,12.390189532784856,20.554446462743424
2017-10,9.816304235185893,22.72431485203337
2017-11,25.71496469434105,25.80143076578778
2017-12,26.139850742443205,26.694785989297426
2018-01,31.29699631118776,32.97912183560825
2018-02,28.18961014087385,27.21647653804682
2018-03,25.85030467891693,23.43975021057132
2018-04,31.07050634300419,23.331214828119062
2018-05,31.420443597884407,25.716743728637702
2018-06,37.77169541345642,26.031394522023767
2018-07,43.28165727580679,29.88570159218531
2018-08,52.07516525234648,33.3629765197754
2018-09,52.05109397058904,33.39186091414743
2018-10,46.92608915207235,23.63490579613221
2018-11,47.96808973153433,25.43083116912843
2018-12,29.45828803860413,13.860632068867584
2019-01,35.747350632476824,22.547362749481216
2019-02,38.02874927071964,26.04936132857381
2019-03,51.94177248661336,27.93759908617461
2019-04,53.046513143575424,32.51380344923489
2019-05,48.80269227684868,23.55286447510896
2019-06,63.12591632967863,31.70749703785292
2019-07,68.96147113200597,33.02749968583245
2019-08,79.78506636234755,30.286058028104023
2019-09,74.39894513070998,32.31782306144977
2019-10,78.942037221359,34.65150947260454
2019-11,79.23633630905151,38.90057973098757
2019-12,74.45416911816207,42.375736499974
2020-01,80.08537194898054,41.62131723047074
2020-02,64.91113067312088,29.54274054463706
2020-03,66.08894949626925,12.971101223230374
2020-04,75.78523435715898,27.26035770651012
2020-05,77.78651025020716,32.88549295471657
2020-06,73.61247417597984,34.81823012223886
2020-07,85.60660078183344,42.17245981048136
2020-08,96.86434536654708,51.40202544403076
2020-09,99.58130522046773,44.99920079204014
2020-10,100.00247224598198,40.68799906265905
2020-11,117.527246673584,55.410648550775335
2020-12,113.06546484291393,60.41113064648356
2021-01,97.87861423719252,57.97923472110647
2021-02,85.00754375427246,61.51733496144614
2021-03,95.80891027932417,68.00671372132554
2021-04,105.79335471789868,75.92918081238984
2021-05,107.79342960983666,76.11243976094173
2021-06,115.90898937408834,79.09260324125655
2021-07,133.34816830444333,82.44034046831132
2021-08,145.5798747976798,86.77093159061009
2021-09,140.51542849173194,77.0618687722741
2021-10,161.66231937638247,88.49488706979409
2021-11,185.00259832727343,86.06099329585122
2021-12,197.68942120648555,93.48972903307748
2022-01,162.91120522982573,82.32639568107074
2022-02,168.7273424989547,75.96182444052862
2022-03,195.87294065978315,81.72837395000458
2022-04,171.64626597080877,64.93005920315862
2022-05,136.61176688724095,64.6197346924676
2022-06,141.70657270544703,50.39307302864833
2022-07,171.65926054266225,63.58333843703892
2022-08,160.23306473286948,56.17968473725681
2022-09,133.85061594747992,41.2747016276096
2022-10,147.24207420092134,52.22623274688723
2022-11,164.18223698282245,60.02454893517495
2022-12,122.30791237726902,50.26396560377928
2023-01,147.47339075034006,59.16941207317432
2023-02,133.41774352981105,54.60521211219558
2023-03,138.18221032165528,59.7658106884003
2023-04,139.83500055958967,61.69379274281417
2023-05,142.9342400111778,61.85999905223474
2023-06,154.19920832869153,71.72745354772772
2023-07,163.1681185464126,76.66095577936906
2023-08,156.79443020775204,73.06739882659912
2023-09,162.59651935678158,64.21148196547888
2023-10,155.28123428202122,60.0562732272282
2023-11,172.83176281286168,74.10482466824853
2023-12,208.91039379322856,81.34790403586571
2024-01,223.1834462898948,83.50704034000745
2024-02,244.271388926738,92.2476013016572
2024-03,236.89875920949663,97.68817033011574
2024-04,230.89782348227712,88.93486037296532
2024-05,268.4379247096547,97.6002416556509
2024-06,284.2124983202064,103.757233514736
2024-07,269.7267546213085,105.20664718055728
2024-08,298.84099348123664,109.200462355198
2024-09,293.7176241377491,112.817132266869
2024-10,285.8164847224901,109.86680137371415
2024-11,326.8362567395529,121.241410570844
2024-12,299.8623477906787,115.09323020449554
2025-01,318.1107391792673,119.94086836599136
