Date,rate_LINK-USD_5D,rate_VOO_20D
2017-11,-11.51,3.0593
2017-12,218.6633,3.7424
2018-01,167.5943,9.4878
2018-02,131.1266,1.3798
2018-03,4.5906,-2.1986
2018-04,88.862,-3.1709
2018-05,12.3505,-0.9379
2018-06,-26.5433,-0.6641
2018-07,-1.2967,2.8245
2018-08,10.4254,6.0053
2018-09,13.2511,6.0004
2018-10,48.3418,-4.019
2018-11,9.6018,-3.0907
2018-12,22.6021,-13.5821
2019-01,61.9516,-5.516
2019-02,73.5782,-2.2178
2019-03,89.2706,-0.4646
2019-04,71.5982,3.7748
2019-05,323.2274,-1.9993
2019-06,704.0189,1.9188
2019-07,389.8732,3.1662
2019-08,317.0294,0.29
2019-09,299.0006,2.1468
2019-10,500.3583,2.28
2019-11,375.5643,6.1587
2019-12,264.2926,9.2975
2020-01,466.1425,8.2314
2020-02,718.6392,1.7725
2020-03,515.1081,-2.2997
2020-04,867.049,12.28
2020-05,826.4977,17.8705
2020-06,775.2351,17.1421
2020-07,1256.7123,21.5194
2020-08,2313.8656,30.4589
2020-09,1900.7042,22.5882
2020-10,2115.851,17.2442
2020-11,2168.4341,25.852
2020-12,1686.7077,30.4256
2021-01,2726.3469,27.5952
2021-02,2683.6576,24.6318
2021-03,2539.6078,26.2485
2021-04,3232.3776,33.1103
2021-05,3169.9062,28.9445
2021-06,2049.6434,31.5117
2021-07,2361.1388,34.397
2021-08,2633.2485,38.0834
2021-09,2258.2776,30.0635
2021-10,2541.6999,37.9971
2021-11,2089.5749,35.5205
2021-12,1862.3478,37.8179
2022-01,1983.8945,28.4412
2022-02,1577.3968,20.1328
2022-03,1666.8374,24.2418
2022-04,1342.9637,16.5243
2022-05,1273.7685,18.0044
2022-06,892.6683,3.1675
2022-07,1051.037,13.8681
2022-08,880.1746,8.036
2022-09,1003.7555,-3.7204
2022-10,955.3185,5.178
2022-11,828.6663,11.635
2022-12,683.739,6.4533
2023-01,833.4699,11.2188
2023-02,772.1695,7.8812
2023-03,811.2001,11.3297
2023-04,737.4323,13.0339
2023-05,690.496,13.3044
2023-06,659.8287,21.429
2023-07,797.3921,25.5339
2023-08,709.3005,21.2116
2023-09,987.9516,14.2257
2023-10,1149.7337,11.0116
2023-11,1462.8651,22.4245
2023-12,1501.1958,28.4013
2024-01,1529.3205,30.2393
2024-02,1909.249,37.4112
2024-03,1736.5471,41.9113
2024-04,1288.2494,36.2973
2024-05,1824.5625,40.6619
2024-06,1372.3224,45.6993
2024-07,1204.8933,44.421
2024-08,1209.0325,47.2215
2024-09,1246.1893,45.6927
2024-10,1045.2403,43.5552
2024-11,1536.8876,52.3658
2024-12,1602.4739,47.7752
2025-01,2017.4394,51.5771
2025-02,1134.6442,48.3298
2025-03,851.5451,42.3528
2025-04,880.8465,41.0828
2025-05,745.1971,50.4904
2025-06,697.5053,58.5188
2025-07,933.4234,61.8685
2025-08,1109.0403,64.8841
2025-09,931.9264,70.6161
2025-10,725.9009,74.3335
2025-11,516.3165,73.9747
2025-12,473.8131,73.3565
2026-01,499.2434,75.3152
