Date,rate_APH_5D,rate_VOO_20D
2016-01,1.587,-0.2222
2016-02,7.831,-0.538
2016-03,13.9209,5.4876
2016-04,8.0024,4.3009
2016-05,11.5266,5.0489
2016-06,7.9542,4.5571
2016-07,10.0578,7.6935
2016-08,14.0109,6.9533
2016-09,17.2611,6.2375
2016-10,17.2997,3.7854
2016-11,19.8707,7.1677
2016-12,16.6258,8.807
2017-01,15.6387,9.8558
2017-02,17.4251,13.2781
2017-03,19.4487,12.5186
2017-04,20.1996,12.862
2017-05,22.8537,13.671
2017-06,20.3143,13.5989
2017-07,23.7422,15.144
2017-08,29.4448,14.7216
2017-09,33.9435,16.3433
2017-10,36.1286,18.2694
2017-11,40.0612,21.041
2017-12,34.3184,21.7242
2018-01,40.3038,27.4695
2018-02,33.7358,19.3615
2018-03,25.5018,15.7832
2018-04,20.7538,14.8108
2018-05,24.6469,17.0438
2018-06,24.0401,17.3176
2018-07,32.1882,20.8062
2018-08,32.7011,23.987
2018-09,30.8909,23.9821
2018-10,23.9937,13.9627
2018-11,21.1499,14.891
2018-12,11.0585,4.3997
2019-01,20.2311,12.4657
2019-02,27.9295,15.764
2019-03,27.189,17.5172
2019-04,28.0084,21.7565
2019-05,11.5817,15.9825
2019-06,22.4506,19.9006
2019-07,18.1411,21.1479
2019-08,15.3124,18.2717
2019-09,26.7491,20.1285
2019-10,31.1681,20.2617
2019-11,35.2296,24.1404
2019-12,39.9475,27.2792
2020-01,27.8641,26.2131
2020-02,17.2578,19.7543
2020-03,9.067,15.6821
2020-04,32.1794,30.2617
2020-05,31.1185,35.8523
2020-06,27.8442,35.1239
2020-07,34.7225,39.5012
2020-08,36.4951,48.4406
2020-09,34.7562,40.57
2020-10,39.0039,35.226
2020-11,51.7809,43.8337
2020-12,50.5356,48.4074
2021-01,42.454,45.5769
2021-02,35.7149,42.6135
2021-03,38.3673,44.2303
2021-04,40.5981,51.092
2021-05,37.8065,46.9262
2021-06,39.5718,49.4935
2021-07,41.1276,52.3787
2021-08,48.5387,56.0652
2021-09,38.7086,48.0452
2021-10,40.1053,55.9789
2021-11,48.8733,53.5023
2021-12,51.4483,55.7997
2022-01,39.4424,46.4229
2022-02,32.1477,38.1146
2022-03,30.9351,42.2235
2022-04,22.0464,34.5061
2022-05,20.4488,35.9861
2022-06,9.7277,21.1493
2022-07,31.2712,31.8499
2022-08,24.7785,26.0177
2022-09,13.7988,14.2613
2022-10,28.4621,23.1597
2022-11,31.2741,29.6167
2022-12,29.5479,24.435
2023-01,30.8335,29.2005
2023-02,26.7856,25.863
2023-03,31.3397,29.3114
2023-04,20.9942,31.0157
2023-05,21.1042,31.2861
2023-06,36.4082,39.4108
2023-07,41.3964,43.5156
2023-08,38.4371,39.1934
2023-09,31.1176,32.2074
2023-10,23.4081,28.9933
2023-11,36.0882,40.4062
2023-12,48.1752,46.3831
2024-01,50.5965,48.2211
2024-02,62.1444,55.3929
2024-03,70.8591,59.893
2024-04,69.979,54.279
2024-05,85.5446,58.6437
2024-06,88.2692,63.681
2024-07,81.1414,62.4028
2024-08,88.6307,65.2032
2024-09,74.7509,63.6745
2024-10,70.4682,61.537
2024-11,80.418,70.3476
2024-12,77.3942,65.7569
2025-01,73.7483,69.5588
2025-02,61.7311,66.3116
2025-03,61.7204,60.3346
2025-04,72.963,59.0646
2025-05,101.2836,68.4722
2025-06,109.5457,76.5005
2025-07,114.7474,79.8502
2025-08,117.4015,82.8659
2025-09,132.2309,88.5978
2025-10,160.1447,92.3152
2025-11,161.6895,91.9565
2025-12,150.1594,91.3383
2026-01,180.8578,92.5326
