Date,rate_DD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,13.5102,-0.6039
2016-03,13.8576,5.2168
2016-04,13.8998,3.9893
2016-05,8.3691,4.6886
2016-06,4.354,4.1237
2016-07,11.962,7.1795
2016-08,10.3478,6.3603
2016-09,6.3677,5.6281
2016-10,9.5792,3.196
2016-11,12.5239,6.7601
2016-12,15.2938,8.3626
2017-01,20.1017,10.2536
2017-02,23.6341,13.6522
2017-03,25.1753,12.7005
2017-04,22.08,12.9818
2017-05,19.0835,13.693
2017-06,20.8403,13.5288
2017-07,22.6491,15.0481
2017-08,25.9315,14.5515
2017-09,29.3872,16.1037
2017-10,33.5688,17.9557
2017-11,32.0119,20.6805
2017-12,29.3186,21.3029
2018-01,37.232,28.0338
2018-02,26.9758,22.1441
2018-03,14.1719,18.3021
2018-04,12.8723,18.0902
2018-05,14.6072,20.2208
2018-06,17.1474,20.3415
2018-07,21.58,23.8746
2018-08,23.9407,27.0072
2018-09,13.7164,27.7347
2018-10,-5.0584,18.1437
2018-11,2.4289,19.7418
2018-12,-5.4636,8.5778
2019-01,-4.8807,17.1263
2019-02,-5.087,20.3748
2019-03,-4.8238,22.0514
2019-04,2.1404,26.2651
2019-05,-18.5414,17.5943
2019-06,-5.3024,25.308
2019-07,-8.5009,26.4355
2019-08,-13.66,23.7232
2019-09,-9.3642,26.1617
2019-10,-15.9164,28.2707
2019-11,-16.6989,32.1761
2019-12,-17.1129,35.3247
2020-01,-33.9121,35.2749
2020-02,-43.5916,23.5454
2020-03,-54.4977,7.7105
2020-04,-35.497,21.425
2020-05,-29.093,26.7132
2020-06,-25.1258,28.4357
2020-07,-23.6691,35.3124
2020-08,-19.8874,43.9511
2020-09,-19.9629,37.6938
2020-10,-17.525,33.4637
2020-11,-7.2887,47.2943
2020-12,4.0521,51.8455
2021-01,16.2526,50.305
2021-02,3.2044,53.4604
2021-03,13.2353,59.4101
2021-04,12.7273,66.6882
2021-05,23.8169,66.6274
2021-06,12.9129,69.2184
2021-07,9.6654,72.1455
2021-08,8.005,75.992
2021-09,-0.9053,66.6118
2021-10,1.4205,77.1553
2021-11,8.1401,74.6519
2021-12,17.9663,81.397
2022-01,11.5992,70.7122
2022-02,12.9938,64.6001
2022-03,7.3113,69.8532
2022-04,-3.9672,54.0273
2022-05,-0.6382,53.6333
2022-06,-18.5952,40.2902
2022-07,-9.5379,52.5094
2022-08,-17.6574,45.531
2022-09,-25.1929,31.5965
2022-10,-14.7857,41.7445
2022-11,5.7198,48.9584
2022-12,2.8223,39.838
2023-01,10.7923,48.5632
2023-02,9.8065,44.2258
2023-03,7.7659,48.9578
2023-04,4.5856,50.6836
2023-05,1.2759,50.7741
2023-06,7.6489,59.884
2023-07,17.4082,64.3798
2023-08,16.0883,60.953
2023-09,12.4117,52.6248
2023-10,9.7079,48.7132
2023-11,8.2162,61.6976
2023-12,16.2366,68.3392
2024-01,-6.6181,71.0275
2024-02,5.1953,79.0476
2024-03,16.4845,83.99
2024-04,9.9674,75.7344
2024-05,24.9722,83.6813
2024-06,22.1915,89.2836
2024-07,26.8302,90.5002
2024-08,27.9619,94.0822
2024-09,35.3102,98.2932
2024-10,25.6894,95.412
2024-11,26.9063,105.8418
2024-12,15.5059,99.9875
2025-01,16.3388,105.351
2025-02,23.696,101.7087
2025-03,13.3646,89.4719
2025-04,0.0523,87.0451
2025-05,1.8952,97.8575
2025-06,4.6158,107.0685
2025-07,9.5718,110.7404
2025-08,17.7702,114.0337
2025-09,19.2624,121.6081
2025-10,24.7978,125.7153
2025-11,45.7127,125.0226
2025-12,46.846,124.0393
2026-01,61.4571,127.5807
