Date,rate_MELI_5D,rate_VOO_20D
2015-01,-1.7612,0.0
2015-02,3.6215,0.0
2015-03,-4.3521,0.0
2015-04,11.4508,0.0
2015-05,11.2676,0.0
2015-06,6.9541,0.0
2015-07,-1.0716,0.0
2015-08,-16.2635,0.0
2015-09,-29.1057,0.0
2015-10,-21.2251,0.0
2015-11,0.3387,0.0
2015-12,-6.5918,0.0
2016-01,-11.9111,0.0
2016-02,-8.0327,0.0
2016-03,6.9546,0.0
2016-04,12.7228,0.0
2016-05,22.0143,0.0
2016-06,24.6535,0.0
2016-07,34.2852,0.0
2016-08,48.446,0.0
2016-09,56.9933,0.0
2016-10,40.7999,0.0
2016-11,30.3165,0.0
2016-12,27.6483,0.0
2017-01,50.0787,0.0
2017-02,68.437,0.0
2017-03,66.6004,0.0
2017-04,77.6727,0.0
2017-05,110.2515,0.0
2017-06,88.9069,0.0
2017-07,113.2709,0.0
2017-08,88.0335,0.0
2017-09,85.9444,0.0
2017-10,70.5081,0.0
2017-11,92.9326,0.0
2017-12,117.8776,0.0
2018-01,163.9543,0.0
2018-02,139.6497,0.0
2018-03,116.9786,0.0
2018-04,105.022,0.0
2018-05,73.4747,0.0
2018-06,76.4808,0.0
2018-07,100.4469,0.0
2018-08,97.7878,0.0
2018-09,94.66,0.0
2018-10,76.072,0.0
2018-11,78.3764,0.0
2018-12,56.6182,0.0
2019-01,83.6237,0.0
2019-02,129.1834,0.0
2019-03,150.7733,0.0
2019-04,136.5341,0.0
2019-05,174.8724,0.0
2019-06,191.1787,0.0
2019-07,192.1366,0.0
2019-08,176.2173,0.0
2019-09,153.4624,0.0
2019-10,137.3593,0.0
2019-11,161.588,0.0
2019-12,155.0788,0.0
2020-01,192.6126,0.0
2020-02,164.0647,0.0
2020-03,141.2851,0.0
2020-04,192.5484,0.0
2020-05,322.4162,0.0
2020-06,343.0244,0.0
2020-07,399.4889,0.0
2020-08,412.944,0.0
2020-09,369.9162,0.0
2020-10,419.4387,0.0
2020-11,494.4454,0.0
2020-12,533.7896,0.0
2021-01,550.0803,0.0
2021-02,521.8187,0.0
2021-03,469.9797,0.0
2021-04,501.615,0.0
2021-05,414.8765,0.0
2021-06,484.2103,0.0
2021-07,482.1944,0.0
2021-08,585.5036,0.0
2021-09,510.2525,0.0
2021-10,432.9759,0.0
2021-11,323.6471,0.0
2021-12,376.3095,0.7107
2022-01,261.2385,-4.5767
2022-02,217.7527,-8.6862
2022-03,202.1738,-5.5597
2022-04,173.4218,-10.6758
2022-05,154.5547,-8.5222
2022-06,87.8228,-18.7193
2022-07,138.546,-11.0589
2022-08,152.3822,-12.6515
2022-09,130.0785,-15.5533
2022-10,117.8947,-11.8536
2022-11,121.6454,-6.8774
2022-12,107.4155,-10.6391
2023-01,175.8855,-6.1328
2023-02,173.8158,-8.2731
2023-03,176.7411,-5.6993
2023-04,159.8576,-4.155
2023-05,148.8035,-3.6641
2023-06,137.2404,2.6087
2023-07,133.7006,5.9237
2023-08,139.0607,3.2089
2023-09,126.6021,-1.7187
2023-10,123.9967,-3.8551
2023-11,190.3224,4.9469
2023-12,179.7269,9.6927
2024-01,192.3849,8.5139
2024-02,181.9769,14.0533
2024-03,168.9007,17.6482
2024-04,158.0266,13.795
2024-05,200.9236,17.3912
2024-06,188.9991,21.405
2024-07,185.5495,20.7377
2024-08,234.3687,23.9053
2024-09,223.5054,23.5863
2024-10,214.9717,22.224
2024-11,196.5018,29.1721
2024-12,165.3996,25.2663
2025-01,183.6262,26.0813
2025-02,211.3578,23.918
2025-03,174.8223,20.1511
2025-04,210.9735,19.8724
2025-05,237.61,27.2016
2025-06,241.2407,33.4971
2025-07,209.6588,36.2713
2025-08,212.2331,38.8253
