Date,rate_KTOS_5D,rate_VOO_20D
2016-01,-21.472,-3.28
2016-02,-10.5279,-2.376
2016-03,34.1689,4.071
2016-04,36.1749,3.4463
2016-05,2.4996,4.5141
2016-06,0.1642,4.1644
2016-07,7.707,7.3333
2016-08,68.7626,6.6525
2016-09,59.8197,6.013
2016-10,26.1784,3.6115
2016-11,61.5025,7.182
2016-12,58.3342,8.8567
2017-01,71.654,10.0774
2017-02,67.1032,13.6125
2017-03,53.8178,12.8284
2017-04,47.6161,13.2286
2017-05,105.2601,14.0432
2017-06,119.1449,13.9758
2017-07,97.9011,15.5728
2017-08,134.7252,15.1519
2017-09,123.4844,16.7674
2017-10,100.7382,18.6971
2017-11,70.3732,21.4906
2017-12,70.2003,22.1742
2018-01,80.292,28.0253
2018-02,87.1953,22.3109
2018-03,57.5469,18.5822
2018-04,51.3243,18.439
2018-05,67.1982,20.6342
2018-06,69.7118,20.8295
2018-07,88.0415,24.4195
2018-08,91.6429,27.64
2018-09,108.9288,27.5571
2018-10,74.5462,18.148
2018-11,82.9852,19.8158
2018-12,91.4218,8.7803
2019-01,107.7918,17.0692
2019-02,127.4871,20.3898
2019-03,104.0567,22.1512
2019-04,104.7072,26.4471
2019-05,180.6028,17.8766
2019-06,186.88,25.6026
2019-07,204.3356,26.8029
2019-08,143.2661,24.165
2019-09,123.7619,26.0707
2019-10,124.6374,28.2682
2019-11,112.3636,32.2632
2019-12,109.5313,35.5066
2020-01,111.0854,34.7146
2020-02,85.2902,23.2206
2020-03,56.3995,7.5857
2020-04,68.5961,21.2139
2020-05,106.5741,26.5664
2020-06,72.4857,28.3643
2020-07,97.2238,35.3077
2020-08,112.1632,44.0007
2020-09,107.3205,37.8818
2020-10,101.3442,33.7409
2020-11,123.6345,47.6567
2020-12,186.9552,52.3191
2021-01,174.8061,49.9619
2021-02,181.8241,53.2489
2021-03,176.7504,59.3139
2021-04,168.5635,66.7128
2021-05,148.8463,66.7978
2021-06,180.8539,69.5264
2021-07,165.6146,72.593
2021-08,139.2722,76.58
2021-09,114.2087,67.3306
2021-10,103.8389,78.0118
2021-11,86.4736,75.6346
2021-12,82.3639,82.5203
2022-01,56.6387,71.9304
2022-02,94.4231,65.8784
2022-03,89.1868,71.2418
2022-04,39.3972,55.3862
2022-05,32.0329,55.0693
2022-06,26.7149,41.677
2022-07,31.0015,54.0588
2022-08,13.8433,47.0803
2022-09,-7.7847,33.1115
2022-10,0.587,43.3799
2022-11,-13.5315,50.707
2022-12,-6.1609,41.5455
2023-01,4.1759,49.9054
2023-02,14.9325,45.6128
2023-03,22.2557,50.431
2023-04,16.7991,52.2262
2023-05,18.7561,52.3734
2023-06,29.2901,61.6123
2023-07,35.706,66.208
2023-08,44.2586,62.8182
2023-09,34.2525,54.4786
2023-10,51.9148,50.5707
2023-11,69.0596,63.7242
2023-12,79.2459,70.5007
2024-01,48.9958,72.5028
2024-02,59.9326,80.6678
2024-03,60.5639,85.7322
2024-04,55.1072,77.499
2024-05,88.4319,85.5862
2024-06,72.6856,91.319
2024-07,93.6823,92.6342
2024-08,96.2245,96.3435
2024-09,98.4184,99.6776
2024-10,92.5395,96.8805
2024-11,128.4454,107.4927
2024-12,121.3299,101.7132
2025-01,178.4472,106.1747
2025-02,119.0422,102.6383
2025-03,145.1878,90.4787
2025-04,177.4454,88.1311
2025-05,201.2099,99.0692
2025-06,276.8953,108.4087
2025-07,373.2194,112.1972
2025-08,427.1739,115.6241
2025-09,626.3627,122.2463
2025-10,615.014,126.4867
2025-11,496.3614,125.9202
2025-12,490.8151,125.0582
2026-01,753.0432,126.4133
