Date,rate_LLY_5D,rate_VOO_20D
2015-01,3.2079838314056364,-2.8572765944756275
2015-02,0.2489427318573156,3.447454876810502
2015-03,3.2343040685653746,0.4860729161492145
2015-04,1.7042324783325349,1.4487384583039786
2015-05,11.67680665715536,2.2092180682476643
2015-06,16.295191847120027,-0.1698513475284471
2015-07,15.385819974422477,1.9076882395970771
2015-08,11.43793510055544,-4.502565285548167
2015-09,12.362782661819471,-6.017298764947928
2015-10,8.221770039991917,2.5061159698131448
2015-11,8.751163950284347,2.604424317655891
2015-12,10.556325808305012,0.5382943647661856
2016-01,3.160791293825427,-4.310529329965406
2016-02,-5.60943751881916,-4.195042264518427
2016-03,-5.3400140633583,2.4842383379766333
2016-04,-0.5333301683313696,2.6456014257229645
2016-05,-0.6165128097534001,4.232357050508905
2016-06,4.314292173486023,4.320439646565188
2016-07,9.526585672950748,7.897876025849823
2016-08,2.925519098009377,7.637621909403879
2016-09,6.118884130304525,7.305840178771641
2016-10,-2.6646283937536985,5.080143666962439
2016-11,-10.796692278861986,8.778972762641368
2016-12,-1.7329349427032237,10.665762335251218
2017-01,2.903787754425635,12.167437506584593
2017-02,11.196299705434743,16.009269126263327
2017-03,12.47198653895516,15.516220403932032
2017-04,9.281251863874251,16.156975317488666
2017-05,6.341548589261392,17.207934451670052
2017-06,9.742940709206383,17.339742239984048
2017-07,9.887062356889253,19.17150826866563
2017-08,8.455178548812881,18.9092732800194
2017-09,13.889125758395494,20.737473484453677
2017-10,8.680898084204557,22.89894528267089
2017-11,12.666864680767077,25.9622209472573
2017-12,12.051352034439924,26.846282017154746
2018-01,7.732805473679005,33.11639608994979
2018-02,2.409520633550799,27.33849562689814
2018-03,2.8189608098507124,23.558114716474925
2018-04,7.699670493474842,23.453236770362405
2018-05,13.603598150662034,25.83321666719166
2018-06,13.666772416802363,26.13923653454065
2018-07,31.22472811278432,29.983497750566297
2018-08,40.3228670408037,33.452228126835266
2018-09,41.64491771445069,33.47363799730814
2018-10,42.22277667021244,23.69579436879755
2018-11,55.41687011063101,25.482422278827062
2018-12,50.48185100442535,13.917817398755114
2019-01,54.81940538227084,22.592002557561848
2019-02,62.83456927493973,26.091647678819573
2019-03,66.01474538249236,27.97510632261825
2019-04,48.62481173400162,32.53525169980235
2019-05,47.130791316173706,23.591637629195542
2019-06,39.76177706087285,31.735809918825037
2019-07,36.702109978641786,33.05117255122052
2019-08,41.829954309061954,30.31080352353016
2019-09,39.66047642849233,32.338777085853884
2019-10,41.62467885851457,34.668043257899086
2019-11,45.98251903448105,38.90757503603771
2019-12,62.64430923421267,42.36976119076065
2020-01,71.70680792934665,41.608340007985866
2020-02,54.86340584779165,29.551367883608368
2020-03,69.29295620492101,13.025493532867149
2020-04,87.53369101729763,27.26657838199881
2020-05,85.04270242058148,32.876026967424906
2020-06,97.25640953579232,34.800602785303994
2020-07,79.27611548493891,42.13900009164801
2020-08,76.70232285455347,51.34019202745189
2020-09,75.17254064410075,44.94515091961529
2020-10,53.491338528404775,40.63433691196236
2020-11,71.38438419842721,55.32163766365541
2020-12,97.5221670472916,60.306183052978085
2021-01,141.67248718872588,57.87495939934946
2021-02,137.24456764417013,61.402235670267885
2021-03,114.67297911034136,67.87483982438367
2021-04,108.5682184969667,75.77365877642698
2021-05,127.3669735627052,75.94985214491403
2021-06,159.38061785900746,78.91957660010966
2021-07,173.04314507410527,82.25515692803168
2021-08,188.25864032700625,86.56428996455551
2021-09,155.81664990311137,76.86664548380566
2021-10,179.97314732785972,88.26173373314965
2021-11,171.40409570142202,85.82486903716041
2021-12,199.97677366810967,93.22232952354308
2022-01,164.47380911993426,82.07585544472676
2022-02,168.55957871458995,75.73068296296604
2022-03,205.48333099254697,81.48527298650177
2022-04,209.2421070602288,64.73919152531096
2022-05,230.41549331370464,64.42790222551683
2022-06,239.1678888064584,50.231782089672805
2022-07,242.2257603410845,63.39115719595842
2022-08,211.34897590023988,56.00791112683237
2022-09,231.75525742999548,41.1528752188696
2022-10,268.7633556400701,52.06788511661569
2022-11,276.1200504083037,59.83803298540287
2022-12,268.00449058290855,50.11618307554673
2023-01,243.62307575142145,58.9825814804413
2023-02,209.53343391982955,54.42542036970776
2023-03,239.205993881321,59.56980304234562
2023-04,288.2102632679892,61.49008702110791
2023-05,319.1451504931917,61.65440493947865
2023-06,354.3011596406548,71.49185335730049
2023-07,337.0369309988205,76.39893532080836
2023-08,429.9997741216206,72.81497696915825
2023-09,409.7389724673325,63.977850425486345
2023-10,421.72203428744376,59.83642566085642
2023-11,453.5206327779735,73.82691260697602
2023-12,441.82177593876906,81.04249191514948
2024-01,495.593522228397,83.19463151176386
2024-02,591.1779900300481,91.89971959561244
2024-03,607.9357027671848,97.31403596036743
2024-04,605.4024600883586,88.59124543646239
2024-05,636.4933202008197,97.22385162777051
2024-06,706.6585956579622,103.35713055885196
2024-07,611.2236263385148,104.79850066582284
2024-08,743.8172468391647,108.77574528064606
2024-09,672.8938013682769,112.37647650048233
2024-10,618.5791459442428,109.43335037252145
2024-11,585.0068544255098,120.75998702477108
2024-12,587.1980489367809,120.72585707606969
