Date,rate_BTC-KRW_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-02,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2019-01-22,0.0,4.1,-4.1,95.21,-4.79,0.25,0.01
2019-02-11,0.0,7.96,-7.96,90.96,-4.25,0.25,0.02
2019-03-03,0.0,8.67,-8.67,90.17,-0.79,0.25,0.02
2019-03-23,0.0,12.87,-12.87,85.55,-4.62,0.25,0.04
2019-04-12,0.0,7.55,-7.55,91.41,5.86,0.25,0.02
2019-05-02,0.0,12.07,-12.07,86.43,-4.98,0.25,0.03
2019-05-22,0.0,15.42,-15.42,82.74,-3.69,0.25,0.04
2019-06-11,0.0,11.9,-11.9,86.62,3.88,0.25,0.03
2019-07-01,0.0,15.09,-15.09,83.1,-3.52,0.25,0.04
2019-07-21,0.0,14.27,-14.27,84.01,0.91,0.25,0.04
2019-08-10,0.0,18.05,-18.05,79.84,-4.17,0.25,0.05
2019-08-30,0.0,20.82,-20.82,76.79,-3.05,0.25,0.06
2019-09-19,0.0,24.49,-24.49,72.75,-4.04,0.25,0.07
2019-10-09,0.0,28.07,-28.07,68.8,-3.95,0.25,0.08
2019-10-29,0.0,-6.46,6.46,100.0,31.2,6.46,0.0
2019-11-18,0.0,5.62,-5.62,80.0,-20.0,15.61,3.12
2019-12-08,0.0,10.95,-10.95,74.98,-5.02,15.61,3.91
2019-12-28,0.0,22.49,-22.49,64.1,-10.88,15.61,5.6
2020-01-17,0.0,18.67,-18.67,67.7,3.6,15.61,5.04
2020-02-06,0.0,24.62,-24.62,62.1,-5.6,15.61,5.92
2020-02-26,0.0,32.85,-32.85,54.34,-7.76,15.61,7.13
2020-03-17,0.0,26.15,-26.15,60.66,6.32,15.61,6.14
2020-04-06,0.0,22.83,-22.83,63.78,3.12,15.61,5.65
2020-04-26,0.0,36.12,-36.12,51.26,-12.52,15.61,7.61
2020-05-16,0.0,38.25,-38.25,49.26,-2.0,15.61,7.92
2020-06-05,0.0,43.47,-43.47,44.34,-4.92,15.61,8.69
2020-06-25,0.0,46.11,-46.11,41.85,-2.49,15.61,9.08
2020-07-15,0.0,44.65,-44.65,43.23,1.38,15.61,8.86
2020-08-04,0.0,52.96,-52.96,35.4,-7.83,15.61,10.08
2020-08-24,0.0,53.64,-53.64,34.76,-0.64,15.61,10.18
2020-09-13,0.0,53.64,-53.64,34.76,0.0,15.61,10.18
2020-10-03,0.0,56.34,-56.34,32.21,-2.55,15.61,10.58
2020-10-23,0.0,63.94,-63.94,25.05,-7.16,15.61,11.7
2020-11-12,0.0,62.45,-62.45,26.46,1.41,15.61,11.48
2020-12-02,0.0,58.18,-58.18,30.48,4.02,15.61,10.85
2020-12-22,0.0,69.91,-69.91,19.43,-11.05,15.61,12.58
2021-01-11,0.0,70.2,-70.2,19.15,-0.28,15.61,12.62
2021-01-31,0.0,69.04,-69.04,20.25,1.1,15.61,12.45
2021-02-20,0.0,61.69,-61.69,27.17,6.92,15.61,11.37
2021-03-12,0.0,50.78,-50.78,37.45,10.28,15.61,9.76
2021-04-01,0.0,63.68,-63.68,25.3,-12.15,15.61,11.66
2021-04-21,0.0,48.9,-48.9,39.22,13.92,15.61,9.49
2021-05-11,0.0,46.15,-46.15,41.81,2.59,15.61,9.08
2021-05-31,0.0,34.67,-34.67,52.63,10.82,15.61,7.39
2021-06-20,0.0,46.76,-46.76,41.24,-11.39,15.61,9.17
2021-07-10,0.0,44.02,-44.02,43.82,2.58,15.61,8.77
2021-07-30,0.0,29.81,-29.81,57.21,13.39,15.61,6.68
2021-08-19,0.0,34.11,-34.11,53.16,-4.05,15.61,7.31
2021-09-08,0.0,39.48,-39.48,48.1,-5.06,15.61,8.1
2021-09-28,0.0,34.2,-34.2,53.07,4.97,15.61,7.33
2021-10-18,0.0,39.33,-39.33,48.24,-4.83,15.61,8.08
2021-11-07,0.0,43.04,-43.04,44.74,-3.5,15.61,8.63
2021-11-27,0.0,38.55,-38.55,48.97,4.23,15.61,7.97
2021-12-17,0.0,44.89,-44.89,43.0,-5.97,15.61,8.9
2022-01-06,0.0,43.23,-43.23,44.56,1.56,15.61,8.65
2022-01-26,0.0,52.24,-52.24,36.07,-8.49,15.61,9.98
2022-02-15,0.0,56.11,-56.11,32.43,-3.64,15.61,10.55
2022-03-07,0.0,54.47,-54.47,33.97,1.54,15.61,10.31
2022-03-27,0.0,55.12,-55.12,33.36,-0.61,15.61,10.4
2022-04-16,0.0,49.22,-49.22,38.92,5.56,15.61,9.53
2022-05-06,0.0,50.05,-50.05,38.14,-0.78,15.61,9.66
2022-05-26,0.0,56.95,-56.95,31.64,-6.5,15.61,10.67
2022-06-15,0.0,60.23,-60.23,28.55,-3.09,15.61,11.15
2022-07-05,0.0,69.04,-69.04,20.25,-8.3,15.61,12.45
2022-07-25,0.0,74.73,-74.73,14.89,-5.36,15.61,13.29
2022-08-14,0.0,76.5,-76.5,13.22,-1.67,15.61,13.55
2022-09-03,0.0,70.78,-70.78,18.61,5.39,15.61,12.7
2022-09-23,0.0,78.55,-78.55,11.29,-7.32,15.61,13.85
2022-10-13,0.0,85.48,-85.48,4.76,-6.53,15.61,14.87
2022-11-02,0.0,83.68,-83.68,6.45,1.69,15.61,14.6
2022-11-22,0.0,89.15,-89.15,1.3,-5.15,15.61,15.41
2022-12-12,0.0,0.0,0.0,85.29,83.99,15.61,2.3
2023-01-01,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-01-21,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-02-10,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-03-02,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-03-22,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-04-11,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-05-01,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-05-21,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-06-10,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-06-30,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-07-20,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-08-09,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-08-29,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-09-18,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-10-08,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-10-28,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-11-17,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-12-07,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2023-12-27,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-01-16,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-02-05,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-02-25,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-03-16,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-04-05,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-04-25,0.0,0.0,0.0,85.29,0.0,15.61,2.3
2024-05-15,0.0,0.0,0.0,85.29,0.0,15.61,2.3
