Date,rate_COIN_5D,rate_VOO_20D
2021-04,-2.2724,2.446
2021-05,-15.8485,2.6293
2021-06,-6.4177,5.6094
2021-07,-10.2867,8.9572
2021-08,-0.3514,13.2878
2021-09,-12.5116,3.5787
2021-10,23.2886,15.0117
2021-11,18.6394,12.5778
2021-12,-5.5381,20.0065
2022-01,-28.2152,8.8432
2022-02,-25.8965,2.4787
2022-03,-24.494,8.2452
2022-04,-53.8048,-8.5531
2022-05,-65.1559,-8.8634
2022-06,-75.7943,-23.0901
2022-07,-62.2451,-9.8998
2022-08,-56.4475,-17.3035
2022-09,-54.9896,-32.2085
2022-10,-55.0734,-21.2569
2022-11,-63.2842,-13.4587
2022-12,-69.3505,-23.2192
2023-01,-44.2164,-14.3137
2023-02,-36.7816,-18.878
2023-03,-32.5833,-13.7174
2023-04,-45.1043,-11.7894
2023-05,-34.3617,-11.6232
2023-06,-23.2027,-1.7557
2023-07,6.3579,3.1778
2023-08,-14.1514,-0.4158
2023-09,-18.5398,-9.2717
2023-10,-15.8184,-13.4269
2023-11,35.7922,0.6216
2023-12,87.4803,7.8647
2024-01,36.679,10.0239
2024-02,115.1751,18.7644
2024-03,176.0443,24.205
2024-04,108.9256,15.4517
2024-05,128.0389,24.1171
2024-06,121.0771,30.274
2024-07,120.0872,31.7235
2024-08,77.7715,35.7173
2024-09,71.2318,39.3339
2024-10,70.8108,36.3836
2024-11,177.9598,47.7582
2024-12,129.7702,41.61
2025-01,165.9192,46.426
2025-02,95.4277,42.6867
2025-03,71.1373,31.5009
