Date,rate_EQIX_5D,rate_VOO_20D
2015-01,-3.1404,13.3722
2015-02,0.5351,19.0152
2015-03,4.8581,16.3535
2015-04,13.5694,17.2083
2015-05,16.8676,18.111
2015-06,8.3519,15.829
2015-07,17.5837,16.1335
2015-08,12.4313,-9.4759
2015-09,12.8391,4.0345
2015-10,25.6289,12.1166
2015-11,23.2152,12.6972
2015-12,24.3648,10.758
2016-01,25.9748,7.114
2016-02,21.4518,7.4813
2016-03,31.3623,14.1221
2016-04,29.3651,14.5013
2016-05,40.5127,16.2792
2016-06,48.0526,16.5429
2016-07,40.0974,20.1705
2016-08,37.2135,20.0838
2016-09,32.4659,19.8797
2016-10,30.0218,17.8437
2016-11,22.8792,21.5514
2016-12,28.6864,23.5005
2017-01,37.3247,25.0485
2017-02,33.53,28.7086
2017-03,40.8309,28.319
2017-04,45.4129,29.0396
2017-05,52.542,30.1549
2017-06,46.8086,30.3674
2017-07,52.6648,32.2357
2017-08,57.626,32.0534
2017-09,48.5936,33.9134
2017-10,52.8391,36.0998
2017-11,52.2625,39.1434
2017-12,47.1764,40.0745
2018-01,46.5914,46.2653
2018-02,26.1256,33.1154
2018-03,33.7815,27.858
2018-04,33.8454,25.9077
2018-05,26.1957,28.2969
2018-06,35.9459,28.8127
2018-07,38.0688,32.5104
2018-08,36.9216,35.8379
2018-09,35.1452,36.0824
2018-10,17.627,30.8763
2018-11,19.9138,25.827
2018-12,9.3731,-2.7948
2019-01,21.9949,23.356
2019-02,31.3816,26.6799
2019-03,39.8528,28.5606
2019-04,39.552,32.7808
2019-05,49.026,25.1154
2019-06,53.7423,32.5617
2019-07,52.1125,33.9372
2019-08,68.0749,31.6953
2019-09,72.9867,33.6998
2019-10,68.7924,35.9721
2019-11,68.4107,39.9517
2019-12,72.286,43.1946
2020-01,72.8862,42.6818
2020-02,67.4462,32.031
2020-03,81.3268,23.8024
2020-04,94.6378,32.9342
2020-05,100.4088,38.2323
2020-06,100.2123,40.1287
2020-07,122.1232,47.0166
2020-08,122.3205,55.6401
2020-09,112.3286,49.8376
2020-10,102.7487,45.9459
2020-11,91.9265,59.6671
2020-12,96.0097,64.394
2021-01,101.7781,62.7071
2021-02,76.4254,64.5242
2021-03,83.847,70.6074
2021-04,93.7738,78.0155
2021-05,97.6321,78.2935
2021-06,113.8755,81.1437
2021-07,117.1422,84.3327
2021-08,122.5068,88.3984
2021-09,107.0528,79.5093
2021-10,117.9244,90.1804
2021-11,110.8523,88.0169
2021-12,118.2085,94.9883
2022-01,85.9534,-9.393
2022-02,81.116,-20.116
2022-03,89.0603,69.6871
2022-04,82.2989,61.8409
2022-05,74.1891,59.8502
2022-06,65.7928,55.9818
2022-07,76.7463,65.0325
2022-08,65.0826,60.2405
2022-09,42.3502,56.3658
2022-10,41.2824,28.0138
2022-11,72.4767,55.6316
2022-12,62.8681,51.4092
2023-01,82.7248,54.4159
2023-02,69.6484,53.9059
2023-03,77.8373,52.303
2023-04,77.8169,53.5379
2023-05,83.1454,52.2102
2023-06,91.6802,59.2888
2023-07,97.1112,61.4273
2023-08,90.1553,56.7226
2023-09,75.9945,53.5478
2023-10,76.1276,53.1876
2023-11,96.9715,53.2913
2023-12,93.7636,54.3614
2024-01,98.7162,51.7997
2024-02,112.8814,51.981
2024-03,96.7522,51.3246
2024-04,68.8778,49.1158
2024-05,81.5224,49.3108
2024-06,79.3119,49.2317
2024-07,86.5352,47.7343
2024-08,97.1088,46.3824
2024-09,108.802,22.6728
2024-10,112.6692,44.7005
2024-11,129.9042,43.9277
2024-12,119.8614,42.5877
2025-01,112.1049,42.3804
2025-02,110.1891,42.159
2025-03,94.6691,41.9341
