Date,rate_SQ_5D,rate_VOO_20D
2015-11,-1.152919369697558,0.0796127319335981
2015-12,8.071300642649359,-1.9757886157402813
2016-01,-27.696661380767807,-6.845820623942789
2016-02,-7.438200358962998,-6.767008356857307
2016-03,36.521753330945984,-0.1473129601478717
2016-04,28.91697903217589,0.0054485919054769
2016-05,-19.32889820724725,1.5961227224138064
2016-06,-21.47628407239912,1.687958904768294
2016-07,-10.558718359708765,5.2725433101654
2016-08,9.234053750991844,5.023573896589739
2016-09,3.837468024730706,4.698121415051526
2016-10,-0.5822588500242865,2.478920736478707
2016-11,14.956032681669518,6.175180574099225
2016-12,20.12783196853003,8.071093823928834
2017-01,27.38314283809069,9.583226840826176
2017-02,49.08463759388644,13.44091624556647
2017-03,46.024200676918056,12.96453527314323
2017-04,51.63029461067603,13.615571720057517
2017-05,87.68607140693665,14.6754744228363
2017-06,87.18642233903068,14.81722533312151
2017-07,105.9079921992042,16.654452167272552
2017-08,99.3753863900641,16.40096378933298
2017-09,115.42520886743073,18.23521628424701
2017-10,171.9838891870499,20.40506696815489
2017-11,179.9082445708422,23.48217463938396
2017-12,141.62451573297713,24.375538599220484
2018-01,219.84899518697603,30.65987465276214
2018-02,206.71133777082372,24.89722966976656
2018-03,220.31353284635543,21.12048613109588
2018-04,201.4494588988827,21.01195131185576
2018-05,263.06828731909394,23.397489030838003
2018-06,275.679911719091,23.712131019725355
2018-07,285.43115881614125,27.566472238193864
2018-08,417.0701698577609,31.043721745851308
2018-09,464.5002120263576,31.07262315692072
2018-10,309.5503115234117,21.315642318198027
2018-11,281.5565681179197,23.11157600911458
2018-12,200.59141845475716,11.54137669672284
2019-01,275.8993441259622,20.22810692848205
2019-02,320.33943973543586,23.730113694695845
2019-03,280.7057048261052,25.618351313517643
2019-04,263.6384615888596,30.19452240396894
2019-05,204.25035329656168,21.2336324888865
2019-06,250.93392991847995,29.388191838316487
2019-07,282.96524169712484,30.70821892765589
2019-08,189.87578670840568,27.966792792771997
2019-09,186.44204310955607,29.99858136440146
2019-10,180.2656515602384,32.33224370765684
2019-11,211.2332735790825,36.58134570782981
2019-12,178.00050541228876,40.05648660206405
2020-01,227.74029411468143,39.3020831273602
2020-02,260.70470666293375,27.22350642767406
2020-03,123.77921530866622,10.65184401583672
2020-04,175.7420132775567,24.941139503977848
2020-05,239.34447859592095,30.566243611017875
2020-06,333.6816951900784,32.49898099389716
2020-07,429.2792403857626,39.85321125198813
2020-08,541.3304765847255,49.08276115840415
2020-09,544.07437400918,42.67996709327697
2020-10,505.1251214001609,38.36873487131359
2020-11,713.0559541670124,53.09141477415296
2020-12,727.1766969570432,58.09189693767076
2021-01,709.4909272332043,55.66000082959355
2021-02,750.5368244365839,59.19805609230042
2021-03,728.2233123677427,65.68746486372696
2021-04,781.2782631311986,73.60991731284501
2021-05,690.6179423422954,73.79323507939853
2021-06,755.2400563304598,76.77333984517448
2021-07,756.4366016325678,80.1211064584732
2021-08,816.7977529884527,84.45171199876292
2021-09,710.1315058139032,74.74262018682899
2021-10,749.3194806470349,86.17560978475825
2021-11,586.9475196852684,83.74173020998637
2021-12,426.5740455580521,91.17046624309316
2022-01,294.4503801982152,80.00716110615397
2022-02,307.2026133789335,73.64257572417421
2022-03,328.89128843433434,79.40915320309728
2022-04,211.81257660857332,62.61081065910854
2022-05,171.72615694502596,62.30050016873676
2022-06,89.41037446950986,48.0737974192651
2022-07,132.9775694537628,61.26409027074731
2022-08,109.59905386447906,53.86043648260384
2022-09,66.2161588999771,38.95545318859182
2022-10,80.69162018256468,49.90702479655616
2022-11,102.8059817416502,57.70530042648316
2022-12,86.935845697107,47.94471701389982
2023-01,141.7579324412238,56.85016349765233
2023-02,125.4684743042314,52.28595023397967
2023-03,100.4766849425316,57.44656214073181
2023-04,76.56002937508678,59.374517648847984
2023-05,74.57673257470132,59.54073715640047
2023-06,91.52625244656431,69.40820501003451
2023-07,130.50255037655728,74.34172048950197
2023-08,64.04805824652222,70.7481635400136
2023-09,25.42818981833259,61.89223378440568
2023-10,13.846680384301656,57.73701204943436
2023-11,79.13100575436378,71.78557642046613
2023-12,117.41898235965498,79.0286685645602
2024-01,81.80892733677865,81.18779211158751
2024-02,121.21394512166124,89.92835308265686
2024-03,134.17101476703905,95.3689221203668
2024-04,101.01563330342005,86.61559956017216
2024-05,75.67555247890951,95.2809935177251
2024-06,76.06619113265447,101.43798538511524
2024-07,68.25734215809265,102.88739905909831
2024-08,79.019881206664,106.88121424176144
2024-09,81.14480186170121,110.49788416131874
2024-10,94.35853906744336,107.54755327591778
2024-11,136.9209426702066,118.9221624806722
2024-12,126.17423663052568,112.77398212182226
2025-01,140.45806523511243,117.58990001981762
2025-02,126.73332606294515,118.3115267343754
