Date,rate_QUBT_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,-0.4975,-2.376
2016-03,-0.4975,4.071
2016-04,-0.4975,3.4463
2016-05,-0.4975,4.5141
2016-06,-0.4975,4.1644
2016-07,-0.4975,7.3333
2016-08,-0.4975,6.6525
2016-09,-0.4975,6.013
2016-10,-0.4975,3.6115
2016-11,-0.4975,7.182
2016-12,-0.4975,8.8567
2017-01,-0.4975,10.0774
2017-02,99.004,13.6125
2017-03,91.8968,12.8284
2017-04,178.6052,13.2286
2017-05,80.3475,14.0432
2017-06,-12.2034,13.9758
2017-07,-11.5531,15.5728
2017-08,-10.9712,15.1519
2017-09,168.6565,16.7674
2017-10,160.6016,18.6971
2017-11,322.1298,21.4906
2017-12,227.3477,22.1742
2018-01,2355.0973,28.0253
2018-02,9323.9201,22.3109
2018-03,4426.3116,18.5822
2018-04,1932.4212,18.439
2018-05,2070.9202,20.6342
2018-06,1186.4211,20.8295
2018-07,1605.6087,24.4195
2018-08,1488.5312,27.64
2018-09,3553.6029,27.5571
2018-10,2054.0062,18.148
2018-11,1989.8029,19.8158
2018-12,769.7938,8.7803
2019-01,1451.1157,17.0692
2019-02,1690.3682,20.3898
2019-03,1011.0825,22.1512
2019-04,835.9114,26.4471
2019-05,1203.8679,17.8766
2019-06,1032.2352,25.6026
2019-07,1142.4533,26.8029
2019-08,907.5208,24.165
2019-09,749.717,26.0707
2019-10,731.4191,28.2682
2019-11,597.5482,32.2632
2019-12,583.6402,35.5066
2020-01,412.7309,34.7146
2020-02,680.6584,23.2206
2020-03,382.5227,7.5857
2020-04,223.5495,21.2139
2020-05,335.4539,26.5664
2020-06,459.2311,28.3643
2020-07,361.7877,35.3077
2020-08,726.3538,44.0007
2020-09,632.7647,37.8818
2020-10,566.8469,33.7409
2020-11,922.3556,47.6567
2020-12,2565.9342,52.3191
2021-01,2014.2326,49.9619
2021-02,1543.171,53.2489
2021-03,1177.8421,59.3139
2021-04,997.2632,66.7128
2021-05,956.194,66.7978
2021-06,805.1712,69.5264
2021-07,1501.6855,72.593
2021-08,1176.637,76.58
2021-09,935.5911,67.3306
2021-10,924.8434,78.0118
2021-11,756.883,75.6346
2021-12,443.9121,82.5203
2022-01,323.6673,71.9304
2022-02,326.5492,65.8784
2022-03,300.249,71.2418
2022-04,132.9329,55.3862
2022-05,242.7783,55.0693
2022-06,255.7401,41.677
2022-07,354.3143,54.0588
2022-08,333.262,47.0803
2022-09,263.6313,33.1115
2022-10,219.9622,43.3799
2022-11,214.2355,50.707
2022-12,112.8454,41.5455
2023-01,148.0843,49.9054
2023-02,101.3325,45.6128
2023-03,82.0168,50.431
2023-04,58.7548,52.2262
2023-05,60.7607,52.3734
2023-06,61.2588,61.6123
2023-07,93.0285,66.208
2023-08,59.3905,62.8182
2023-09,45.2291,54.4786
2023-10,-2.5824,50.5707
2023-11,19.3926,63.7242
2023-12,22.0615,70.5007
2024-01,8.4249,72.5028
2024-02,11.0762,80.6678
2024-03,32.1433,85.7322
2024-04,2.2245,77.499
2024-05,-3.6424,85.5862
2024-06,-33.1406,91.319
2024-07,-8.4187,92.6342
2024-08,-12.9743,96.3435
2024-09,-12.1672,99.6776
2024-10,50.8805,96.8805
2024-11,847.6857,107.4927
2024-12,2101.6289,101.7132
2025-01,1280.8427,106.1747
2025-02,699.2874,102.6383
2025-03,945.2179,90.4787
2025-04,772.7335,88.1311
2025-05,1353.6211,99.0692
2025-06,2338.2434,108.4087
2025-07,1770.1235,112.1972
2025-08,1870.6528,115.6241
2025-09,2199.0947,122.2463
2025-10,1967.9349,126.4867
2025-11,1335.1029,125.9202
2025-12,1147.6862,125.0582
2026-01,1293.6139,126.4133
