Date,Open,High,Low,Close,Adj Close,Volume,Change,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Sector
2015-01-02,26800.0,26800.0,26540.0,26600.0,21163.5390625,8774950,0.0012919896640826,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,005930,통신 및 방송 장비 제조업
2015-01-05,26720.0,26720.0,26260.0,26660.0,21211.28125,10139500,0.0012919896640826,,,,,,,,,,,,,,,,,,,0.017990696239942497,0.0035981392479884997,0.014392556991953997,005930,통신 및 방송 장비 제조업
2015-01-06,26300.0,26340.0,25760.0,25900.0,20606.607421875,15235500,0.0012919896640826,,,,,,,,,,,,,,,,,,,-0.19638638919360724,-0.03639876644033065,-0.15998762275327658,005930,통신 및 방송 장비 제조업
2015-01-07,25880.0,26220.0,25640.0,26140.0,20797.552734375,14322750,0.0012919896640826,,,,,,,,,,,,,,,,,,,-0.2903650670304054,-0.0871920265583456,-0.20317304047205978,005930,통신 및 방송 장비 제조업
2015-01-08,26780.0,26780.0,26200.0,26280.0,20908.939453125,14477600,0.0012919896640826,,,,,,,,,26316.0,,,,,,,,,,-0.31861480532780967,-0.1334765823122384,-0.18513822301557126,005930,통신 및 방송 장비 제조업
2015-01-09,26280.0,26440.0,26280.0,26280.0,20908.939453125,9312400,0.0012919896640826,,,,,,,,,26252.0,,,,,,,,,,-0.3371740781169146,-0.17421608147317366,-0.16295799664374092,005930,통신 및 방송 장비 제조업
2015-01-12,26260.0,26380.0,26020.0,26320.0,20940.765625,8325400,0.0012919896640826,,,,,,,,,26184.0,,,,,,,,,,-0.33582632767590576,-0.2065381307137201,-0.12928819696218566,005930,통신 및 방송 장비 제조업
2015-01-13,26280.0,26800.0,26000.0,26780.0,21306.75390625,12293400,0.0012919896640826,,,,,,,,,26360.0,,,,,,,,,,-0.1920519181584809,-0.2036408882026723,0.011588970044191377,005930,통신 및 방송 장비 제조업
2015-01-14,26780.0,27100.0,26700.0,26900.0,21402.224609375,14332250,0.0012919896640826,,,,,,,,,26512.0,,,,,,,,,,-0.04127085331335926,-0.1711668812248097,0.12989602791145044,005930,통신 및 방송 장비 제조업
2015-01-15,26900.0,26980.0,26580.0,26680.0,21227.189453125,14103900,0.0012919896640826,,,,,,,,,26592.0,26454.0,,,,,,,,,0.011001169328096628,-0.13473327111422845,0.14573444044232509,005930,통신 및 방송 장비 제조업
