Date,rate_INOD_5D,rate_VOO_20D
2015-01,-4.4989,-1.5189
2015-02,-7.6689,3.8071
2015-03,-8.3243,0.987
2015-04,-1.0662,1.7466
2015-05,-0.9719,2.4456
2015-06,-5.2276,0.0478
2015-07,-4.9039,2.0361
2015-08,-12.7268,-4.435
2015-09,-13.4755,-6.0948
2015-10,-11.0062,2.2972
2015-11,10.5979,2.3988
2015-12,7.8897,0.3434
2016-01,-8.9154,-4.5265
2016-02,-12.4026,-4.4478
2016-03,-13.2213,2.1719
2016-04,-12.8342,2.3247
2016-05,-4.985,3.9154
2016-06,-3.7383,4.0072
2016-07,-0.49,7.5918
2016-08,-9.4845,7.3428
2016-09,-1.9182,7.0174
2016-10,-0.9935,4.7982
2016-11,-4.2855,8.4944
2016-12,-1.8662,10.3903
2017-01,-7.6719,11.9024
2017-02,-9.2552,15.7602
2017-03,-10.7176,15.2838
2017-04,-14.0197,15.9349
2017-05,-21.7259,16.9947
2017-06,-27.1103,17.1365
2017-07,-28.3849,18.9737
2017-08,-33.7614,18.7202
2017-09,-34.8568,20.5544
2017-10,-42.6917,22.7243
2017-11,-45.9161,25.8014
2017-12,-37.2358,26.6948
2018-01,-45.4828,32.9791
2018-02,-44.2145,27.2165
2018-03,-43.5238,23.4397
2018-04,-42.3869,23.3312
2018-05,-36.2242,25.7168
2018-06,-48.2209,26.0314
2018-07,-38.7793,29.8857
2018-08,-22.411,33.363
2018-09,-20.8115,33.3919
2018-10,-23.6151,23.6349
2018-11,6.2641,25.4308
2018-12,-18.403,13.8606
2019-01,-26.2869,22.5473
2019-02,-18.1313,26.0494
2019-03,-29.8965,27.9376
2019-04,-36.0824,32.5138
2019-05,-44.394,23.5529
2019-06,-48.7559,31.7075
2019-07,-27.7361,33.0275
2019-08,-25.498,30.2861
2019-09,-22.7253,32.3178
2019-10,-26.4542,34.6515
2019-11,-27.8226,38.9006
2019-12,-32.1735,42.3757
2020-01,-31.7678,41.6213
2020-02,-30.696,29.5428
2020-03,-51.4599,12.9711
2020-04,-35.2108,27.2604
2020-05,-15.3637,32.8855
2020-06,-16.4213,34.8182
2020-07,-16.8017,42.1725
2020-08,31.5792,51.402
2020-09,92.8959,44.9992
2020-10,61.2005,40.688
2020-11,220.3813,55.4106
2020-12,223.4693,60.4111
2021-01,208.3531,57.9792
2021-02,250.3838,61.5173
2021-03,273.6817,68.0067
2021-04,268.2964,75.9292
2021-05,264.2427,76.1125
2021-06,303.5323,79.0926
2021-07,290.5716,82.4404
2021-08,367.2329,86.7709
2021-09,433.9768,77.0619
2021-10,489.2099,88.4949
2021-11,258.1383,86.061
2021-12,222.4787,93.4897
2022-01,206.3908,82.3264
2022-02,183.6362,75.9618
2022-03,272.1073,81.7284
2022-04,284.8666,64.9301
2022-05,235.0046,64.6197
2022-06,151.391,50.3931
2022-07,194.6181,63.5833
2022-08,72.5995,56.1797
2022-09,53.9854,41.2747
2022-10,68.0589,52.2263
2022-11,57.2454,60.0245
2022-12,49.5173,50.2639
2023-01,120.7062,59.1694
2023-02,236.8026,54.6052
2023-03,322.4567,59.7658
2023-04,225.0079,61.6938
2023-05,393.9317,61.86
2023-06,448.1087,71.7275
2023-07,515.8097,76.661
2023-08,518.9615,73.0674
2023-09,302.9783,64.2115
2023-10,251.7808,60.0563
2023-11,214.9729,74.1048
2023-12,276.8056,81.3479
2024-01,376.8729,83.507
2024-02,237.845,92.2476
2024-03,199.427,97.6882
2024-04,163.3648,88.9349
2024-05,465.9561,97.6002
2024-06,560.1722,103.7572
2024-07,755.0302,105.2066
2024-08,657.8515,109.2005
2024-09,630.141,112.8171
2024-10,769.2853,109.8668
2024-11,1662.5484,121.2414
2024-12,1582.4058,115.0932
2025-01,1466.3596,119.9091
2025-02,2110.0879,116.1699
2025-03,1727.4474,105.4051
