Date,rate_CBRE_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,-8.1275,-2.376
2016-03,5.2157,4.071
2016-04,6.4373,3.4463
2016-05,5.5545,4.5141
2016-06,-7.2917,4.1644
2016-07,0.9636,7.3333
2016-08,5.8222,6.6525
2016-09,-1.5858,6.013
2016-10,-9.2485,3.6115
2016-11,3.1387,7.182
2016-12,11.3787,8.8567
2017-01,7.3861,10.0774
2017-02,25.2371,13.6125
2017-03,20.426,12.8284
2017-04,22.7418,13.2286
2017-05,18.071,14.0432
2017-06,21.9543,13.9758
2017-07,25.8906,15.5728
2017-08,18.2863,15.1519
2017-09,23.1601,16.7674
2017-10,26.6269,18.6971
2017-11,38.2752,21.4906
2017-12,36.4491,22.1742
2018-01,43.9409,28.0253
2018-02,45.3729,22.3109
2018-03,45.0098,18.5822
2018-04,37.5272,18.439
2018-05,38.7214,20.6342
2018-06,41.9355,20.8295
2018-07,46.5372,24.4195
2018-08,42.0845,27.64
2018-09,28.3784,27.5571
2018-10,16.4232,18.148
2018-11,25.4828,19.8158
2018-12,14.2777,8.7803
2019-01,30.5598,17.0692
2019-02,40.9929,20.3898
2019-03,38.9419,22.1512
2019-04,45.0959,26.4471
2019-05,26.2992,17.8766
2019-06,40.9222,25.6026
2019-07,44.4669,26.8029
2019-08,41.2717,24.165
2019-09,43.2715,26.0707
2019-10,43.7374,28.2682
2019-11,51.868,32.2632
2019-12,61.9516,35.5066
2020-01,61.3175,34.7146
2020-02,47.0221,23.2206
2020-03,-1.9883,7.5857
2020-04,11.7473,21.2139
2020-05,14.3886,26.5664
2020-06,17.2851,28.3643
2020-07,13.2933,35.3077
2020-08,21.4496,44.0007
2020-09,20.8344,37.8818
2020-10,29.1995,33.7409
2020-11,55.9394,47.6567
2020-12,58.8793,52.3191
2021-01,54.4745,49.9619
2021-02,90.5858,53.2489
2021-03,97.244,59.3139
2021-04,110.5531,66.7128
2021-05,114.9508,66.7978
2021-06,107.987,69.5264
2021-07,131.9404,72.593
2021-08,129.4023,76.58
2021-09,129.7916,67.3306
2021-10,143.3864,78.0118
2021-11,121.4633,75.6346
2021-12,149.318,82.5203
2022-01,130.7288,71.9304
2022-02,118.6346,65.8784
2022-03,104.9724,71.2418
2022-04,84.6001,55.3862
2022-05,82.9533,55.0693
2022-06,61.5832,41.677
2022-07,86.8886,54.0588
2022-08,71.2638,47.0803
2022-09,45.625,33.1115
2022-10,52.3214,43.3799
2022-11,70.0975,50.707
2022-12,63.5727,41.5455
2023-01,81.7387,49.9054
2023-02,79.9077,45.6128
2023-03,53.0077,50.431
2023-04,60.3908,52.2262
2023-05,56.0215,52.3734
2023-06,67.3339,61.6123
2023-07,71.8638,66.208
2023-08,74.5778,62.8182
2023-09,50.8415,54.4786
2023-10,41.0655,50.5707
2023-11,60.0685,63.7242
2023-12,87.8478,70.5007
2024-01,74.1722,72.5028
2024-02,84.5385,80.6678
2024-03,94.2683,85.7322
2024-04,72.6885,77.499
2024-05,74.2352,85.5862
2024-06,75.4969,91.319
2024-07,120.9994,92.6342
2024-08,124.4584,96.3435
2024-09,142.6566,99.6776
2024-10,153.7392,96.8805
2024-11,169.5166,107.4927
2024-12,151.1567,101.7132
2025-01,176.8764,106.1747
2025-02,169.7801,102.6383
2025-03,147.0165,90.4787
2025-04,129.4098,88.1311
2025-05,133.427,99.0692
2025-06,160.1606,108.4087
2025-07,187.4277,112.1972
2025-08,197.3452,115.6241
2025-09,188.9852,122.2463
2025-10,177.8536,126.4867
2025-11,193.2228,125.9202
2025-12,189.5717,125.0582
2026-01,204.7715,126.4133
