Date,rate_ENPH_5D,rate_VOO_20D
2015-01,1.7995,-3.5177
2015-02,10.1587,1.8034
2015-03,0.8177,-0.4386
2015-04,-3.9872,0.3124
2015-05,-23.0076,1.1978
2015-06,-36.5667,-1.0769
2015-07,-44.5722,0.8299
2015-08,-53.4836,-5.1327
2015-09,-57.7087,-6.8019
2015-10,-55.5699,1.4676
2015-11,-72.7642,1.6362
2015-12,-34.9023,-2.0181
2016-01,-46.7691,-6.207
2016-02,-43.0116,-6.0172
2016-03,-40.635,0.5909
2016-04,-34.1172,0.7779
2016-05,-43.673,2.385
2016-06,-44.2043,2.5472
2016-07,-47.6859,6.1314
2016-08,-44.8326,5.9606
2016-09,-61.3111,5.6856
2016-10,-64.7328,3.5422
2016-11,-57.5493,7.191
2016-12,-59.6279,9.1197
2017-01,-38.774,10.5734
2017-02,-25.2682,14.3713
2017-03,-41.8213,13.9618
2017-04,-48.2269,14.6092
2017-05,-64.7023,15.6969
2017-06,-57.4297,15.8718
2017-07,-52.0433,17.6968
2017-08,-51.5964,17.4806
2017-09,-17.8426,19.3207
2017-10,-16.822,21.5
2017-11,59.0023,24.5613
2017-12,31.2681,25.4765
2018-01,19.5113,31.6693
2018-02,79.6313,23.5121
2018-03,144.405,19.9608
2018-04,108.9881,19.1283
2018-05,184.582,21.5215
2018-06,229.1672,21.8868
2018-07,186.2894,25.6292
2018-08,132.1349,29.0401
2018-09,127.3764,29.1388
2018-10,101.8484,21.9599
2018-11,112.7968,23.0749
2018-12,93.9493,11.7886
2019-01,170.1793,20.319
2019-02,234.818,23.797
2019-03,236.1141,25.6541
2019-04,260.5531,30.1743
2019-05,436.8406,21.5217
2019-06,535.1496,29.4331
2019-07,865.8006,30.7622
2019-08,901.8699,28.1093
2019-09,639.109,30.1391
2019-10,536.4208,32.4242
2019-11,606.3498,36.6374
2019-12,732.0292,40.0509
2020-01,889.1886,39.3266
2020-02,1409.2115,27.427
2020-03,1242.3575,9.0272
2020-04,1726.5638,23.4789
2020-05,2137.2784,28.9861
2020-06,1703.1661,30.8845
2020-07,2156.06,38.0281
2020-08,2746.3766,47.038
2020-09,2902.0356,40.8786
2020-10,3507.2524,36.721
2020-11,4237.1134,46.5833
2020-12,5397.6099,51.3733
2021-01,5458.7319,48.6611
2021-02,5309.63,47.5026
2021-03,4835.6967,53.5248
2021-04,4084.4542,60.8732
2021-05,4144.9334,57.1735
2021-06,5281.794,59.9749
2021-07,5388.5857,63.1028
2021-08,4868.2118,67.0966
2021-09,4137.4814,58.5355
2021-10,6367.6856,68.8974
2021-11,6735.5478,66.8215
2021-12,5924.721,68.7995
2022-01,5378.0767,59.2087
2022-02,6327.5986,51.592
2022-03,7593.1343,56.0141
2022-04,6727.3485,46.8756
2022-05,6402.8436,49.6983
2022-06,5916.9775,32.3555
2022-07,7687.5318,44.1085
2022-08,7552.7013,40.8953
2022-09,7136.929,35.6007
2022-10,7930.3321,40.8885
2022-11,8199.571,48.1758
2022-12,7561.07,41.6071
2023-01,6345.9183,48.1304
2023-02,5865.5026,44.1745
2023-03,5565.4741,47.6365
2023-04,4262.0521,49.4957
2023-05,4388.5341,49.7167
2023-06,4182.2505,58.9131
2023-07,3960.4187,63.5217
2023-08,3609.9282,58.7923
2023-09,3390.4609,50.7282
2023-10,2570.0416,46.9601
2023-11,2923.1155,59.9071
2023-12,3819.2015,66.6479
2024-01,3276.559,64.3668
2024-02,3523.1144,72.2876
2024-03,3251.3171,77.2485
2024-04,2943.4747,70.9998
2024-05,3315.6898,75.925
2024-06,2926.0693,81.4895
2024-07,3100.688,80.0272
2024-08,3027.4622,84.3283
2024-09,2676.8583,83.3967
2024-10,2318.0027,80.9709
2024-11,1890.9695,90.8436
2024-12,1801.3816,84.6806
2025-01,1692.6065,85.4813
2025-02,1494.5589,81.9164
2025-03,1527.3084,76.0329
2025-04,1237.1186,75.2606
2025-05,1003.9328,85.6064
2025-06,1076.0563,87.3113
