Date,rate_TQQQ_5D,rate_VOO_20D
2015-01,-1.36,-1.42
2015-02,20.57,3.81
2015-03,9.97,1.86
2015-04,14.91,2.71
2015-05,20.92,3.69
2015-06,10.42,1.43
2015-07,24.25,3.45
2015-08,-3.2,-2.99
2015-09,-10.63,-5.11
2015-10,22.98,2.98
2015-11,23.3,3.19
2015-12,15.12,1.25
2016-01,-9.41,-3.69
2016-02,-14.38,-3.7
2016-03,3.81,2.89
2016-04,-6.34,3.11
2016-05,5.89,4.75
2016-06,-2.61,4.89
2016-07,19.34,8.53
2016-08,22.2,8.37
2016-09,28.47,8.12
2016-10,21.69,5.95
2016-11,22.47,9.69
2016-12,25.1,11.65
2017-01,43.83,13.25
2017-02,61.62,17.22
2017-03,68.89,16.86
2017-04,80.55,17.61
2017-05,98.8,18.78
2017-06,80.43,19.01
2017-07,100.9,20.96
2017-08,108.47,20.79
2017-09,103.79,22.74
2017-10,129.07,25.03
2017-11,138.62,28.25
2017-12,138.44,29.25
2018-01,200.52,35.75
2018-02,178.23,30.03
2018-03,137.78,26.25
2018-04,134.16,26.17
2018-05,170.79,28.67
2018-06,173.22,29.05
2018-07,190.32,33.05
2018-08,237.44,36.68
2018-09,227.85,36.79
2018-10,137.64,26.85
2018-11,128.33,28.73
2018-12,65.48,16.94
2019-01,108.6,25.85
2019-02,124.49,29.46
2019-03,146.98,31.43
2019-04,185.22,36.15
2019-05,114.52,27.01
2019-06,161.67,35.39
2019-07,175.17,36.78
2019-08,151.37,34.02
2019-09,153.79,36.12
2019-10,182.84,38.56
2019-11,214.29,42.96
2019-12,246.67,46.57
2020-01,271.24,45.84
2020-02,202.09,33.48
2020-03,85.14,16.52
2020-04,169.73,31.14
2020-05,217.39,36.91
2020-06,271.02,38.91
2020-07,349.17,46.5
2020-08,500.96,56.02
2020-09,382.32,49.48
2020-10,328.45,45.07
2020-11,470.88,60.24
2020-12,550.13,65.44
2021-01,540.49,62.98
2021-02,525.19,66.67
2021-03,533.12,73.41
2021-04,639.46,81.63
2021-05,597.68,81.89
2021-06,724.96,85.03
2021-07,785.06,88.55
2021-08,886.88,93.07
2021-09,714.26,83.11
2021-10,904.52,94.98
2021-11,948.19,92.53
2021-12,956.18,100.25
2022-01,677.78,88.77
2022-02,553.93,82.25
2022-03,618.95,88.26
2022-04,347.47,70.96
2022-05,301.63,70.67
2022-06,189.48,55.96
2022-07,299.69,69.63
2022-08,230.74,61.99
2022-09,128.23,46.57
2022-10,146.04,57.92
2022-11,175.22,66.03
2022-12,101.94,55.95
2023-01,166.17,65.17
2023-02,155.53,60.45
2023-03,226.37,65.81
2023-04,224.2,67.82
2023-05,296.32,68.01
2023-06,365.91,78.26
2023-07,411.3,83.39
2023-08,375.57,79.69
2023-09,297.8,70.53
2023-10,263.71,66.24
2023-11,383.63,80.8
2023-12,457.6,88.32
2024-01,475.0,90.59
2024-02,554.71,99.68
2024-03,565.42,105.35
2024-04,466.12,96.31
2024-05,566.7,105.32
2024-06,684.62,111.74
2024-07,620.65,113.27
2024-08,619.29,117.45
2024-09,657.33,121.24
2024-10,620.67,118.22
2024-11,665.5,123.86
