Date,rate_EH_5D,rate_VOO_20D
2019-12,0.0,2.6228
2020-01,0.0,1.8308
2020-02,-3.0336,-9.6632
2020-03,-4.9567,-25.2981
2020-04,6.5949,-11.67
2020-05,9.7269,-6.3175
2020-06,-6.2563,-4.5196
2020-07,-25.2102,2.4238
2020-08,-15.7856,11.1168
2020-09,-25.3967,4.998
2020-10,-23.3022,0.857
2020-11,44.6756,14.7728
2020-12,104.3103,19.4352
2021-01,542.104,17.0781
2021-02,318.2363,20.365
2021-03,215.7696,26.4301
2021-04,127.1384,33.8289
2021-05,113.3959,33.914
2021-06,228.4793,36.6426
2021-07,93.3113,39.7091
2021-08,94.5031,43.6962
2021-09,66.8738,34.4467
2021-10,65.3072,45.1279
2021-11,42.0951,42.7508
2021-12,-0.7865,49.6365
2022-01,4.8037,39.0466
2022-02,-1.7909,32.9946
2022-03,-20.5201,38.3579
2022-04,-43.8896,22.5023
2022-05,-38.8615,22.1855
2022-06,-35.2752,8.7931
2022-07,-50.6313,21.1749
2022-08,-51.7692,14.1965
2022-09,-67.8677,0.2277
2022-10,-69.533,10.4961
2022-11,-59.4984,17.8232
2022-12,-22.9,8.6616
2023-01,27.0606,17.0216
2023-02,2.5438,12.7289
2023-03,-2.5013,17.5471
2023-04,-0.8855,19.3423
2023-05,-10.6811,19.4895
2023-06,35.4942,28.7285
2023-07,100.805,33.3241
2023-08,72.7563,29.9344
2023-09,56.2559,21.5948
2023-10,19.2641,17.6869
2023-11,50.8643,30.8403
2023-12,42.7871,37.6169
2024-01,-13.6385,39.619
2024-02,-7.976,47.7839
2024-03,75.5746,52.8483
2024-04,50.7761,44.6152
2024-05,42.6157,52.7023
2024-06,13.4596,58.4351
2024-07,6.2878,59.7503
2024-08,21.228,63.4596
2024-09,17.7317,66.7937
2024-10,41.3551,63.9966
2024-11,28.1277,74.6088
2024-12,29.4526,68.8294
2025-01,39.6883,73.2909
2025-02,87.8532,69.7545
2025-03,69.6928,57.5948
2025-04,35.1844,55.2472
2025-05,30.2894,66.1854
2025-06,38.9394,75.5249
2025-07,39.4685,79.3133
2025-08,25.6363,82.7402
2025-09,47.3823,89.3625
2025-10,45.3486,93.6029
2025-11,12.0771,93.0363
2025-12,3.4442,92.1744
2026-01,8.2308,93.5295
