Date,rate_BNB-USD_5D,rate_VOO_20D
2017-11,14.7107,3.0593
2017-12,368.6835,3.7424
2018-01,371.9351,9.4878
2018-02,245.1803,1.3798
2018-03,222.359,-2.1986
2018-04,244.3749,-3.1709
2018-05,211.2233,-0.9379
2018-06,197.0928,-0.6641
2018-07,161.9448,2.8245
2018-08,97.7149,6.0053
2018-09,72.1531,6.0004
2018-10,57.1704,-4.019
2018-11,-18.9714,-3.0907
2018-12,-1.2121,-13.5821
2019-01,0.5802,-5.516
2019-02,64.9919,-2.2178
2019-03,145.8402,-0.4646
2019-04,176.5988,3.7748
2019-05,259.0503,-1.9993
2019-06,223.0561,1.9188
2019-07,176.795,3.1662
2019-08,102.6826,0.29
2019-09,47.8568,2.1468
2019-10,83.8091,2.28
2019-11,41.8885,6.1587
2019-12,22.5723,9.2975
2020-01,61.516,8.2314
2020-02,86.4953,1.7725
2020-03,68.5189,-2.2997
2020-04,124.9546,12.28
2020-05,113.2955,17.8705
2020-06,97.4671,17.1421
2020-07,145.1917,21.5194
2020-08,153.6132,30.4589
2020-09,129.1401,22.5882
2020-10,122.7703,17.2442
2020-11,141.0417,25.852
2020-12,176.8148,30.4256
2021-01,181.2786,27.5952
2021-02,1183.991,24.6318
2021-03,1272.4736,26.2485
2021-04,2665.4279,33.1103
2021-05,2389.4368,28.9445
2021-06,1766.1232,31.5117
2021-07,1910.1611,34.397
2021-08,2641.919,38.0834
2021-09,2101.381,30.0635
2021-10,2630.8116,37.9971
2021-11,2935.0937,35.5205
2021-12,2443.26,37.8179
2022-01,1750.9018,28.4412
2022-02,1687.1869,20.1328
2022-03,1770.8309,24.2418
2022-04,1644.8668,16.5243
2022-05,1566.4,18.0044
2022-06,1021.7531,3.1675
2022-07,1327.6496,13.8681
2022-08,1283.6296,8.036
2022-09,1286.3175,-3.7204
2022-10,1467.767,5.178
2022-11,1180.8844,11.635
2022-12,1017.7407,6.4533
2023-01,1296.566,11.2188
2023-02,1239.1618,7.8812
2023-03,1231.0031,11.3297
2023-04,1225.4176,13.0339
2023-05,1149.5271,13.3044
2023-06,865.7486,21.429
2023-07,856.3114,25.5339
2023-08,748.1997,21.2116
2023-09,730.9533,14.2257
2023-10,765.3007,11.0116
2023-11,759.6232,22.4245
2023-12,1065.4982,28.4013
2024-01,1006.9422,30.2393
2024-02,1355.7291,37.4112
2024-03,2083.1931,41.9113
2024-04,1891.5943,36.2973
2024-05,1779.6241,40.6619
2024-06,1720.8465,45.6993
2024-07,1683.265,44.421
2024-08,1506.1089,47.2215
2024-09,1570.2009,45.6927
2024-10,1461.6661,43.5552
2024-11,1584.397,52.3658
2024-12,1684.9734,47.7752
2025-01,1606.3586,51.5771
2025-02,1364.2784,48.3298
2025-03,1388.267,42.3528
2025-04,1361.5038,41.0828
2025-05,1488.5668,50.4904
2025-06,1475.395,58.5188
2025-07,1760.4182,61.8685
2025-08,1750.4256,64.8841
2025-09,2053.8764,70.6161
2025-10,2289.2294,74.3335
2025-11,2137.5347,73.9747
2025-12,2079.8443,73.3565
2026-01,2215.274,75.3152
