Date,rate_SCHW_5D,rate_VOO_20D
2016-01,0.0,-0.2222
2016-02,2.1981,-0.538
2016-03,12.0219,5.4876
2016-04,10.6546,4.3009
2016-05,16.5738,5.0489
2016-06,1.3703,4.5571
2016-07,8.6804,7.6935
2016-08,19.1901,6.9533
2016-09,17.7756,6.2375
2016-10,16.6073,3.7854
2016-11,32.3164,7.1677
2016-12,32.3333,8.807
2017-01,35.2917,9.8558
2017-02,30.0991,13.2781
2017-03,29.0882,12.5186
2017-04,21.4652,12.862
2017-05,19.8089,13.671
2017-06,31.4969,13.5989
2017-07,29.6541,15.144
2017-08,19.6134,14.7216
2017-09,30.0229,16.3433
2017-10,31.7932,18.2694
2017-11,41.8075,21.041
2017-12,47.3696,21.7242
2018-01,50.8947,27.4695
2018-02,43.7846,19.3615
2018-03,41.8093,15.7832
2018-04,47.3018,14.8108
2018-05,45.7922,17.0438
2018-06,32.8547,17.3176
2018-07,31.6715,20.8062
2018-08,30.3544,23.987
2018-09,25.2429,23.9821
2018-10,21.4716,13.9627
2018-11,14.9074,14.891
2018-12,12.492,4.3997
2019-01,26.2952,12.4657
2019-02,24.016,15.764
2019-03,12.7135,17.5172
2019-04,16.8601,21.7565
2019-05,9.5077,15.9825
2019-06,2.1592,19.9006
2019-07,8.5325,21.1479
2019-08,-2.837,18.2717
2019-09,3.9117,20.1285
2019-10,4.4056,20.2617
2019-11,27.2394,24.1404
2019-12,21.7442,27.2792
2020-01,15.7174,26.2131
2020-02,5.3606,19.7543
2020-03,0.2754,15.6821
2020-04,12.4488,30.2617
2020-05,1.7446,35.8523
2020-06,1.1528,35.1239
2020-07,-3.234,39.5012
2020-08,4.2486,48.4406
2020-09,1.2893,40.57
2020-10,14.118,35.226
2020-11,35.6123,43.8337
2020-12,41.4188,48.4074
2021-01,38.8767,45.5769
2021-02,50.5268,42.6135
2021-03,58.9516,44.2303
2021-04,64.962,51.092
2021-05,72.4112,46.9262
2021-06,63.5051,49.4935
2021-07,59.2264,52.3787
2021-08,69.3275,56.0652
2021-09,60.4592,48.0452
2021-10,79.6695,55.9789
2021-11,70.9802,53.5023
2021-12,78.0848,55.7997
2022-01,86.2496,46.4229
2022-02,72.4876,38.1146
2022-03,70.0207,42.2235
2022-04,33.3381,34.5061
2022-05,40.9554,35.9861
2022-06,20.0978,21.1493
2022-07,30.9154,31.8499
2022-08,34.5337,26.0177
2022-09,34.0734,14.2613
2022-10,31.5008,23.1597
2022-11,31.3222,29.6167
2022-12,28.7638,24.435
2023-01,20.9779,29.2005
2023-02,18.3685,25.863
2023-03,-17.5295,29.3114
2023-04,-17.1419,31.0157
2023-05,-15.789,31.2861
2023-06,-9.2539,39.4108
2023-07,5.9077,43.5156
2023-08,1.9777,39.1934
2023-09,-5.5585,32.2074
2023-10,-8.6599,28.9933
2023-11,8.1659,40.4062
2023-12,21.221,46.3831
2024-01,10.7564,48.2211
2024-02,17.8253,55.3929
2024-03,27.4339,59.893
2024-04,23.469,54.279
2024-05,22.4546,58.6437
2024-06,22.9008,63.681
2024-07,9.7837,62.4028
2024-08,10.837,65.2032
2024-09,10.2505,63.6745
2024-10,20.3879,61.537
2024-11,33.9937,70.3476
2024-12,19.6497,65.7569
2025-01,33.4736,69.5588
2025-02,27.0977,66.3116
2025-03,25.8478,60.3346
2025-04,27.3568,59.0646
2025-05,38.3562,68.4722
2025-06,37.7818,76.5005
2025-07,46.5319,79.8502
2025-08,43.1031,82.8659
2025-09,43.7255,88.5978
2025-10,41.957,92.3152
2025-11,39.3123,91.9565
2025-12,49.7289,91.3383
2026-01,52.111,91.5531
