Date,rate_005380_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2015-01-02,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2015-02-02,2.09,-0.35,2.44,97.57,-2.43,5.06,0.12
2015-03-06,3.04,2.37,0.67,95.93,-1.64,5.06,0.21
2015-04-06,-2.27,2.44,-4.71,90.94,-4.99,5.06,0.46
2015-05-06,2.27,2.5,-0.23,95.1,4.16,5.06,0.25
2015-06-04,-13.08,3.54,-16.62,79.9,-15.2,5.06,1.02
2015-07-02,-14.59,2.14,-16.73,79.8,-0.1,5.06,1.02
2015-07-31,-8.28,3.66,-11.94,84.24,4.44,5.06,0.8
2015-08-28,-10.52,-1.87,-8.65,87.29,3.05,5.06,0.64
2015-09-30,-1.25,-5.6,4.35,99.34,12.05,5.06,0.03
2015-10-29,-6.01,2.94,-8.95,86.36,-12.98,5.87,0.8
2015-11-27,-7.09,3.23,-10.32,85.1,-1.26,5.87,0.87
2015-12-28,-7.02,1.03,-8.05,87.19,2.09,5.87,0.75
2016-01-28,-14.9,-6.88,-8.02,87.22,0.03,5.87,0.75
2016-03-03,-8.12,-1.54,-6.58,88.54,1.32,5.87,0.67
2016-04-01,-7.01,1.98,-8.99,86.32,-2.22,5.87,0.8
2016-05-02,-10.54,2.47,-13.01,82.62,-3.7,5.87,1.02
2016-06-02,-12.74,3.91,-16.65,79.27,-3.35,5.87,1.22
2016-07-01,-13.14,3.41,-16.55,79.37,0.1,5.87,1.21
2016-08-01,-13.78,6.81,-20.59,75.65,-3.72,5.87,1.43
2016-08-30,-15.28,7.33,-22.61,73.79,-1.86,5.87,1.54
2016-10-04,-11.83,5.67,-17.5,78.49,4.7,5.87,1.26
2016-11-01,-10.52,3.83,-14.35,81.39,2.9,5.87,1.09
2016-11-30,-14.66,8.45,-23.11,73.33,-8.06,5.87,1.57
2016-12-29,-8.26,10.32,-18.58,77.5,4.17,5.87,1.32
2017-02-02,-13.22,11.77,-24.99,71.6,-5.9,5.87,1.67
2017-03-06,-8.15,16.55,-24.7,71.87,0.27,5.87,1.65
2017-04-03,-1.8,15.25,-17.05,78.91,7.04,5.87,1.24
2017-05-04,-4.23,16.76,-20.99,75.28,-3.63,5.87,1.45
2017-06-07,-0.41,19.01,-19.42,76.73,1.45,5.87,1.37
2017-07-06,-2.55,17.41,-19.96,76.23,-0.5,5.87,1.4
2017-08-03,-6.77,20.4,-27.17,69.59,-6.64,5.87,1.79
2017-09-01,-10.03,20.67,-30.7,66.34,-3.25,5.87,1.98
2017-10-11,-2.79,23.97,-26.76,69.97,3.63,5.87,1.76
2017-11-08,-2.77,25.79,-28.56,68.31,-1.66,5.87,1.86
2017-12-07,1.08,27.97,-26.89,69.85,1.54,5.87,1.77
2018-01-10,-2.43,32.64,-35.07,62.32,-7.53,5.87,2.21
2018-02-08,0.77,24.47,-23.7,72.79,10.47,5.87,1.6
2018-03-14,-2.11,32.75,-34.86,62.52,-10.27,5.87,2.2
2018-04-12,-4.38,28.0,-32.38,64.8,2.28,5.87,2.07
2018-05-14,-4.92,31.18,-36.1,61.37,-3.43,5.87,2.27
2018-06-15,-14.46,33.61,-48.07,50.36,-11.01,5.87,2.91
