Date,rate_SPG_5D,rate_VOO_20D
2015-01,3.7633,-3.1977
2015-02,-0.558,2.4962
2015-03,3.1219,-0.2073
2015-04,-5.4118,0.6462
2015-05,-3.981,1.7342
2015-06,-8.4471,-0.7116
2015-07,0.7034,1.3887
2015-08,-2.8105,-5.5695
2015-09,0.4288,-7.6286
2015-10,10.156,1.3111
2015-11,2.0675,1.6319
2015-12,6.7828,-0.2958
2016-01,1.4725,-5.3305
2016-02,4.5239,-5.0871
2016-03,14.474,2.0022
2016-04,10.1089,2.2161
2016-05,8.4025,3.8492
2016-06,19.5358,4.3881
2016-07,24.374,8.1417
2016-08,17.8767,7.8772
2016-09,12.0022,7.6685
2016-10,-0.8281,5.2369
2016-11,-3.507,9.4154
2016-12,-4.5188,11.439
2017-01,-0.8359,13.0258
2017-02,0.6267,16.8766
2017-03,-6.5199,16.4024
2017-04,-10.3923,17.1154
2017-05,-15.637,18.2315
2017-06,-10.5724,18.3855
2017-07,-12.1875,20.2122
2017-08,-11.7402,20.0535
2017-09,-8.8718,22.1701
2017-10,-12.0966,24.5924
2017-11,-6.5529,27.9035
2017-12,-0.1595,28.8295
2018-01,-5.2265,35.2855
2018-02,-9.8657,29.1744
2018-03,-9.1428,24.8601
2018-04,-7.6601,24.7478
2018-05,-3.6882,27.4484
2018-06,2.7043,27.8644
2018-07,6.3643,32.1462
2018-08,11.6087,35.9295
2018-09,7.5792,35.9611
2018-10,11.9699,25.4282
2018-11,14.4766,27.471
2018-12,2.5886,14.6522
2019-01,12.1573,24.3796
2019-02,12.6356,28.2716
2019-03,13.2414,30.3499
2019-04,7.2419,35.2704
2019-05,0.3853,25.5734
2019-06,-1.2414,34.709
2019-07,0.3985,36.218
2019-08,-7.2346,33.2871
2019-09,-2.4914,35.6103
2019-10,-5.8158,38.3185
2019-11,-3.9498,43.1204
2019-12,-5.4098,46.9613
2020-01,-16.4177,46.1462
2020-02,-21.9658,32.5708
2020-03,-54.541,7.9712
2020-04,-39.345,20.3398
2020-05,-47.8684,26.5339
2020-06,-36.4174,28.6403
2020-07,-40.7534,36.2367
2020-08,-34.2709,45.6274
2020-09,-37.2306,39.6293
2020-10,-37.5854,35.1432
2020-11,-15.311,50.976
2020-12,-10.6984,56.3942
2021-01,-2.2309,53.9248
2021-02,19.2574,57.7219
2021-03,19.9045,64.5375
2021-04,29.4474,72.739
2021-05,36.2022,72.9563
2021-06,37.7829,76.2831
2021-07,34.496,79.9779
2021-08,43.3764,84.6636
2021-09,39.2669,74.3915
2021-10,58.3454,87.0512
2021-11,64.9077,84.5149
2021-12,74.4219,92.7137
2022-01,58.6301,80.5406
2022-02,46.4406,73.6515
2022-03,40.809,80.063
2022-04,24.2688,61.8684
2022-05,20.0705,59.7773
2022-06,-1.341,45.3697
2022-07,14.6555,59.4209
2022-08,6.8182,51.6055
2022-09,-5.718,35.6168
2022-10,16.901,37.7724
2022-11,28.8678,44.8254
2022-12,28.3904,36.0935
2023-01,40.7787,45.0571
2023-02,33.1378,40.6878
2023-03,22.6756,46.047
2023-04,24.0933,48.1264
2023-05,14.0298,48.427
2023-06,28.6313,58.3462
2023-07,39.41,63.324
2023-08,25.5461,60.109
2023-09,20.7975,51.227
2023-10,22.9061,48.935
2023-11,41.0854,56.167
2023-12,64.8078,62.7586
2024-01,59.2964,64.7989
2024-02,70.8658,72.7288
2024-03,83.2937,77.6958
2024-04,62.3674,69.945
2024-05,75.5771,77.8134
2024-06,78.0917,83.4325
2024-07,79.5581,84.8084
2024-08,96.8615,81.6351
2024-09,100.9166,84.8873
2024-10,100.1973,81.8007
2024-11,117.8489,84.2201
2024-12,104.973,78.162
2025-01,106.2086,77.5598
2025-02,120.7543,76.7585
2025-03,96.9263,75.4203
