Date,rate_307950_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019-05-29,-22.91,-1.64,-21.27,6.23,-1.29,6.26,3.56,0.0
2019-07-26,-28.98,9.04,-38.02,4.36,-4.66,6.26,2.53,0.0
2019-09-26,-30.68,6.21,-36.89,9.78,-3.3,6.26,2.19,0.0
2019-11-25,-33.24,13.33,-46.57,0.0,-0.73,6.26,2.54,0.0
2020-01-29,-35.59,18.96,-54.55,3.92,3.06,6.26,2.23,0.0
2020-03-26,-46.63,-11.78,-34.85,40.52,18.09,6.26,2.81,0.0
2020-05-29,-37.77,7.77,-45.54,25.05,-5.86,6.26,2.79,0.0
2020-07-27,-39.58,15.87,-55.45,10.71,-11.83,6.26,2.57,0.0
2020-09-23,-18.63,15.59,-34.22,44.0,41.99,6.26,2.59,0.0
2020-11-24,3.57,32.86,-29.29,50.82,9.43,6.26,2.53,0.0
2021-01-26,58.37,41.49,16.88,90.44,1.08,25.64,2.46,-0.04
2021-03-29,41.87,46.04,-4.17,67.48,-17.68,25.64,2.92,0.0
2021-05-27,33.56,55.65,-22.09,47.93,-0.09,25.64,2.6,0.0
2021-07-26,44.34,64.37,-20.03,50.18,-25.81,25.64,2.28,0.0
2021-09-27,24.64,64.68,-40.04,28.35,-8.42,25.64,2.11,0.0
2021-11-24,33.41,74.77,-41.36,26.91,-12.13,25.64,1.98,0.0
2022-01-26,45.53,57.86,-12.33,58.58,12.11,25.64,1.81,0.0
2022-03-31,39.08,64.76,-25.68,44.02,6.57,25.64,1.73,0.0
2022-06-02,49.52,48.43,1.09,73.22,-5.01,25.64,1.69,-0.23
2022-08-02,40.4,43.67,-3.27,68.46,-5.75,25.64,1.54,0.0
2022-10-04,27.55,29.84,-2.29,69.53,-1.86,25.64,1.42,0.0
2022-12-01,27.18,41.89,-14.71,55.98,-18.28,25.64,1.38,0.0
2023-02-03,30.92,43.16,-12.24,58.68,6.05,25.64,1.36,0.0
2023-04-04,30.89,40.84,-9.95,61.18,-1.78,25.64,1.33,0.0
2023-06-05,41.19,47.94,-6.75,64.67,-7.85,25.64,1.3,0.0
2023-08-03,65.26,56.22,9.04,81.89,-2.22,25.64,1.31,-1.01
2023-10-06,91.53,47.24,44.29,68.9,-31.1,94.08,1.28,-1.8
2023-12-05,75.38,57.81,17.57,52.21,7.48,94.08,1.25,-0.72
2024-02-05,60.37,71.81,-11.44,34.1,-21.44,94.08,1.24,0.0
2024-04-08,59.15,81.59,-22.44,27.23,2.17,94.08,1.27,0.0
2024-06-11,52.97,88.05,-35.08,19.33,-4.89,94.08,1.33,0.0
2024-08-08,58.11,84.34,-26.23,24.86,-3.2,94.08,1.4,0.0
2024-10-15,48.66,103.25,-54.59,7.15,-14.39,94.08,1.52,0.0
2024-10-21,45.39,104.82,-59.43,4.12,-15.65,94.08,1.53,0.0
