Date,rate_ABBV_5D,rate_VOO_20D
2016-01,-6.1627,-0.2222
2016-02,-5.3758,-0.538
2016-03,-0.5488,5.4876
2016-04,7.0122,4.3009
2016-05,8.7077,5.0489
2016-06,2.6669,4.5571
2016-07,9.9351,7.6935
2016-08,5.1799,6.9533
2016-09,2.7985,6.2375
2016-10,-8.3375,3.7854
2016-11,-0.4226,7.1677
2016-12,2.4517,8.807
2017-01,0.8354,9.8558
2017-02,1.9689,13.2781
2017-03,7.1668,12.5186
2017-04,8.8976,12.862
2017-05,8.4608,13.671
2017-06,18.5208,13.5989
2017-07,14.1566,15.144
2017-08,22.0647,14.7216
2017-09,42.7448,16.3433
2017-10,43.6534,18.2694
2017-11,52.0056,21.041
2017-12,49.6018,21.7242
2018-01,72.388,27.4695
2018-02,62.6451,19.3615
2018-03,48.7065,15.7832
2018-04,52.9454,14.8108
2018-05,54.728,17.0438
2018-06,43.4464,17.3176
2018-07,42.5557,20.8062
2018-08,46.9294,23.987
2018-09,43.4675,23.9821
2018-10,31.344,13.9627
2018-11,48.5797,14.891
2018-12,44.0438,4.3997
2019-01,26.0242,12.4657
2019-02,23.6921,15.764
2019-03,25.1547,17.5172
2019-04,24.3231,21.7565
2019-05,19.5627,15.9825
2019-06,8.9049,19.9006
2019-07,6.4733,21.1479
2019-08,6.3246,18.2717
2019-09,22.2563,20.1285
2019-10,29.7578,20.2617
2019-11,42.3287,24.1404
2019-12,42.751,27.2792
2020-01,32.0309,26.2131
2020-02,41.298,19.7543
2020-03,37.1834,15.6821
2020-04,50.6836,30.2617
2020-05,68.7528,35.8523
2020-06,64.5012,35.1239
2020-07,61.3208,39.5012
2020-08,59.7895,48.4406
2020-09,48.116,40.57
2020-10,44.9572,35.226
2020-11,77.0337,43.8337
2020-12,75.9959,48.4074
2021-01,65.1502,45.5769
2021-02,65.923,42.6135
2021-03,59.4547,44.2303
2021-04,65.2538,51.092
2021-05,66.7218,46.9262
2021-06,64.8694,49.4935
2021-07,71.0512,52.3787
2021-08,76.5285,56.0652
2021-09,56.841,48.0452
2021-10,67.8051,55.9789
2021-11,67.7367,53.5023
2021-12,87.0821,55.7997
2022-01,85.7464,46.4229
2022-02,93.8757,38.1146
2022-03,111.2876,42.2235
2022-04,102.3684,34.5061
2022-05,94.0782,35.9861
2022-06,100.3892,21.1493
2022-07,88.3463,31.8499
2022-08,75.4602,26.0177
2022-09,74.1769,14.2613
2022-10,90.7812,23.1597
2022-11,100.6737,29.6167
2022-12,98.1,24.435
2023-01,93.9218,29.2005
2023-02,97.0659,25.863
2023-03,102.905,29.3114
2023-04,93.0435,31.0157
2023-05,88.4973,31.2861
2023-06,82.6984,39.4108
2023-07,104.0268,43.5156
2023-08,99.865,39.1934
2023-09,96.6299,32.2074
2023-10,91.6543,28.9933
2023-11,94.0966,40.4062
2023-12,110.1675,46.3831
2024-01,123.8208,48.2211
2024-02,138.2626,55.3929
2024-03,144.981,59.893
2024-04,118.7217,54.279
2024-05,115.5886,58.6437
2024-06,128.1293,63.681
2024-07,147.2988,62.4028
2024-08,158.4932,65.2032
2024-09,157.3119,63.6745
2024-10,158.6276,61.537
2024-11,130.8963,70.3476
2024-12,123.1331,65.7569
2025-01,131.8893,69.5588
2025-02,162.1831,66.3116
2025-03,164.5859,60.3346
2025-04,165.0405,59.0646
2025-05,151.3364,68.4722
2025-06,149.3546,76.5005
2025-07,154.794,79.8502
2025-08,182.0856,82.8659
2025-09,208.7123,88.5978
2025-10,199.2714,92.3152
2025-11,193.4546,91.9565
2025-12,192.8633,91.3383
2026-01,175.4685,93.2969
