Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,MRI_RISK,rate_vs,shares_vs,Close_vs
2016-01-04,14.894000053405762,15.381333351135254,15.425333023071287,14.600000381469728,14.894000053405762,102406500,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,14.894000053405762,0.0,TSLA,0.6,Hold,0.6,0.0,0,184.3099975585937
2016-01-05,14.895333290100098,15.09066677093506,15.12600040435791,14.666666984558104,14.895333290100098,47802000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,14.895333290100098,0.0006,TSLA,0.7,Hold,0.7,0.0,0,184.63999938964844
2016-01-06,14.602666854858398,14.666666984558104,14.670000076293944,14.398667335510254,14.602666854858398,56686500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,14.895333290100098,-0.1247,TSLA,0.6,Hold,0.6,0.0,0,182.3000030517578
2016-01-07,14.376667022705078,14.279333114624023,14.562666893005373,14.244667053222656,14.376667022705078,53314500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,14.895333290100098,-0.2941,TSLA,0.6,Hold,0.6,0.0,0,177.86000061035156
2016-01-08,14.06666660308838,14.52400016784668,14.696000099182127,14.0513334274292,14.06666660308838,54421500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,14.5671,0.0,0.0,0.0,0.0,14.895333290100098,-0.5194,TSLA,0.6,Hold,0.6,0.0,0,175.97000122070312
2016-01-11,13.856666564941406,14.267333030700684,14.296667098999023,13.533332824707031,13.856666564941406,61371000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,14.3596,0.0,0.0,0.0,0.0,14.895333290100098,-0.7252,TSLA,0.6,Hold,0.6,0.0,0,175.99000549316406
2016-01-12,13.998000144958496,14.106666564941406,14.249333381652832,13.687333106994627,13.998000144958496,46378500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,14.1801,0.0,0.0,0.0,0.0,14.895333290100098,-0.7527,TSLA,0.6,Hold,0.6,0.0,0,177.4499969482422
2016-01-13,13.354000091552734,14.133999824523926,14.17666721343994,13.333333015441896,13.354000091552734,61896000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,13.9304,0.0,0.0,0.0,0.0,14.895333290100098,-1.0127,TSLA,0.6,Hold,0.6,0.0,0,173.11000061035156
2016-01-14,13.745332717895508,13.480667114257812,14.0,12.892000198364258,13.745332717895508,97360500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,13.8041,0.0,0.0,0.0,0.0,14.895333290100098,-0.9443,TSLA,0.6,Hold,0.6,0.0,0,175.9199981689453
2016-01-15,13.666000366210938,13.264666557312012,13.67133331298828,13.149999618530272,13.666000366210938,83679000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,13.724,0.0,0.0,0.0,0.0,14.895333290100098,-0.8795,TSLA,0.6,Hold,0.6,0.0,0,172.14999389648438
2016-01-19,13.64799976348877,13.913999557495115,14.031332969665527,13.385333061218262,13.64799976348877,60580500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,13.6823,0.0,0.0,0.0,0.0,14.895333290100098,-0.7908,TSLA,0.6,Hold,0.6,0.0,0,172.33999633789062
2016-01-20,13.24666690826416,13.293333053588867,13.41866683959961,12.75,13.24666690826416,87579000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,13.532,0.0,0.0,0.0,0.0,14.895333290100098,-0.8646,TSLA,0.6,Hold,0.6,0.0,0,170.32000732421875
