Date,rate_IRDM_5D,rate_VOO_20D
2016-01,-15.96,-3.28
2016-02,-11.4439,-2.376
2016-03,3.4235,4.071
2016-04,5.1309,3.4463
2016-05,11.8327,4.5141
2016-06,12.262,4.1644
2016-07,12.069,7.3333
2016-08,2.941,6.6525
2016-09,0.649,6.013
2016-10,1.0945,3.6115
2016-11,9.1286,7.182
2016-12,18.0953,8.8567
2017-01,22.1865,10.0774
2017-02,4.2574,13.6125
2017-03,15.2129,12.8284
2017-04,25.487,13.2286
2017-05,15.8903,14.0432
2017-06,28.1588,13.9758
2017-07,14.2059,15.5728
2017-08,26.6196,15.1519
2017-09,16.3533,16.7674
2017-10,34.3637,18.6971
2017-11,36.8123,21.4906
2017-12,29.2751,22.1742
2018-01,37.956,28.0253
2018-02,25.8537,22.3109
2018-03,20.1025,18.5822
2018-04,26.3278,18.439
2018-05,60.2082,20.6342
2018-06,67.4471,20.8295
2018-07,77.6016,24.4195
2018-08,104.843,27.64
2018-09,124.0036,27.5571
2018-10,94.1578,18.148
2018-11,130.6758,19.8158
2018-12,75.5857,8.7803
2019-01,82.2441,17.0692
2019-02,97.8295,20.3898
2019-03,142.2676,22.1512
2019-04,147.9343,26.4471
2019-05,90.8669,17.8766
2019-06,104.841,25.6026
2019-07,121.3688,26.8029
2019-08,107.9117,24.165
2019-09,81.0684,26.0707
2019-10,106.1396,28.2682
2019-11,94.1855,32.2632
2019-12,103.2881,35.5066
2020-01,108.6174,34.7146
2020-02,118.6639,23.2206
2020-03,78.5463,7.5857
2020-04,78.5959,21.2139
2020-05,81.0202,26.5664
2020-06,98.4439,28.3643
2020-07,111.7051,35.3077
2020-08,114.428,44.0007
2020-09,94.0101,37.8818
2020-10,98.5972,33.7409
2020-11,139.1553,47.6567
2020-12,190.1373,52.3191
2021-01,259.5115,49.9619
2021-02,176.4454,53.2489
2021-03,194.5054,59.3139
2021-04,168.5528,66.7128
2021-05,167.5566,66.7978
2021-06,177.3729,69.5264
2021-07,190.1079,72.593
2021-08,202.8502,76.58
2021-09,168.5681,67.3306
2021-10,170.8549,78.0118
2021-11,154.5643,75.6346
2021-12,171.1008,82.5203
2022-01,133.6432,71.9304
2022-02,155.828,65.8784
2022-03,158.4676,71.2418
2022-04,127.1121,55.3862
2022-05,134.2852,55.0693
2022-06,135.3999,41.677
2022-07,178.0722,54.0588
2022-08,173.9011,47.0803
2022-09,171.6495,33.1115
2022-10,212.9487,43.3799
2022-11,219.8609,50.707
2022-12,207.1439,41.5455
2023-01,254.6475,49.9054
2023-02,260.6782,45.6128
2023-03,261.7282,50.431
2023-04,267.6879,52.2262
2023-05,245.0327,52.3734
2023-06,254.9013,61.6123
2023-07,197.9823,66.208
2023-08,175.6315,62.8182
2023-09,155.163,54.4786
2023-10,106.6166,50.5707
2023-11,111.3253,63.7242
2023-12,127.7007,70.5007
2024-01,99.5238,72.5028
2024-02,58.609,80.6678
2024-03,43.5266,85.7322
2024-04,68.3389,77.499
2024-05,63.9609,85.5862
2024-06,45.2677,91.319
2024-07,56.1086,92.6342
2024-08,39.9022,96.3435
2024-09,65.2751,99.6776
2024-10,58.594,96.8805
2024-11,60.1468,107.4927
2024-12,56.5732,101.7132
2025-01,54.5777,106.1747
2025-02,69.1097,102.6383
2025-03,46.6852,90.4787
2025-04,29.2484,88.1311
2025-05,35.7563,99.0692
2025-06,61.5121,108.4087
2025-07,30.5901,112.1972
2025-08,32.6208,115.6241
2025-09,-6.2112,122.2463
2025-10,2.8526,126.4867
2025-11,-11.8316,125.9202
2025-12,-5.689,125.0582
2026-01,18.0147,126.4133
