Date,rate_WMB_5D,rate_VOO_20D
2016-01,-3.1044,0.7475
2016-02,-35.5306,0.3631
2016-03,-24.6072,6.1635
2016-04,-4.8217,4.8532
2016-05,10.1151,5.5092
2016-06,6.8853,4.9516
2016-07,14.2248,8.0529
2016-08,30.378,7.2728
2016-09,39.9326,6.525
2016-10,29.9738,4.0384
2016-11,27.3398,7.3996
2016-12,27.7422,9.0221
2017-01,16.3913,10.0556
2017-02,13.3101,13.4646
2017-03,18.5137,12.6934
2017-04,21.4678,13.0265
2017-05,12.2947,13.8264
2017-06,19.1276,13.7461
2017-07,23.9083,15.2839
2017-08,15.1652,14.8547
2017-09,16.5597,16.4705
2017-10,9.9819,18.391
2017-11,11.6305,21.1572
2017-12,17.845,21.8357
2018-01,20.346,27.5767
2018-02,6.2018,19.4887
2018-03,-5.7861,15.9328
2018-04,-3.4323,14.9578
2018-05,0.873,17.1859
2018-06,2.9655,17.444
2018-07,12.8118,20.9505
2018-08,11.7667,24.1299
2018-09,3.8714,24.1209
2018-10,-7.3468,14.1084
2018-11,-3.539,15.0224
2018-12,-14.6455,4.4886
2019-01,4.5504,12.5608
2019-02,3.4456,15.8612
2019-03,12.5262,17.612
2019-04,10.64,21.8639
2019-05,2.2405,16.0646
2019-06,5.7809,19.9808
2019-07,-7.1704,21.2252
2019-08,-12.1627,18.3328
2019-09,-8.8192,20.1882
2019-10,-15.2129,20.3259
2019-11,-13.3959,24.2116
2019-12,-7.7799,27.349
2020-01,-19.4136,26.2815
2020-02,-25.5291,19.8213
2020-03,-45.5225,15.7478
2020-04,-24.1288,30.3559
2020-05,-26.0975,35.9447
2020-06,-28.7342,35.2146
2020-07,-30.9175,39.5903
2020-08,-24.0677,48.5304
2020-09,-24.4142,40.6583
2020-10,-25.9327,35.284
2020-11,-18.6319,43.8758
2020-12,-17.7251,48.4488
2021-01,-17.6726,45.6177
2021-02,-14.8454,42.6536
2021-03,-14.7982,44.2697
2021-04,-12.209,51.1309
2021-05,-4.9085,46.9645
2021-06,-4.3164,49.5312
2021-07,-5.8809,52.4159
2021-08,-7.4633,56.1018
2021-09,-1.0385,48.0813
2021-10,7.1174,56.0144
2021-11,2.131,53.5374
2021-12,0.3501,55.8343
2022-01,15.3325,46.4571
2022-02,15.7634,38.1483
2022-03,13.6128,42.2675
2022-04,15.9866,34.5494
2022-05,12.6834,36.0289
2022-06,3.3096,21.1749
2022-07,12.2185,31.8752
2022-08,11.9107,26.0562
2022-09,-3.0079,14.2993
2022-10,6.1008,23.2183
2022-11,12.3787,29.7022
2022-12,8.5494,24.5108
2023-01,4.385,29.2932
2023-02,-2.3626,25.9536
2023-03,-0.1748,29.4041
2023-04,1.1526,31.1074
2023-05,-5.0867,31.3785
2023-06,9.0896,39.5074
2023-07,15.0611,43.6112
2023-08,15.2949,39.288
2023-09,14.7444,32.2789
2023-10,13.8274,29.0551
2023-11,17.6371,40.4823
2023-12,12.6131,46.4584
2024-01,11.8679,48.2956
2024-02,15.8633,55.4714
2024-03,27.0852,59.9707
2024-04,21.6407,54.3559
2024-05,31.0245,58.7198
2024-06,35.3262,63.7565
2024-07,34.9354,62.4775
2024-08,41.7808,65.2821
2024-09,37.3941,63.7333
2024-10,56.6319,61.5953
2024-11,62.3347,70.4058
2024-12,50.9781,65.7986
2025-01,54.041,69.6123
2025-02,61.1268,66.3646
2025-03,57.3727,60.3871
2025-04,45.3571,59.1236
2025-05,49.742,68.5307
2025-06,49.8824,76.5585
2025-07,40.9982,79.9077
2025-08,35.7511,82.9229
2025-09,49.5049,88.6543
2025-10,44.3655,92.3724
2025-11,45.4782,92.0168
2025-12,44.3227,91.3981
2026-01,44.855,93.9446
