Date,rate_REGN_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,-1.8423,0.5732
2016-03,-8.6091,6.1122
2016-04,-4.9052,5.1669
2016-05,-0.8929,5.01
2016-06,-8.2005,3.7643
2016-07,4.2433,5.7707
2016-08,0.8741,5.2042
2016-09,0.5194,4.314
2016-10,-5.0301,3.1133
2016-11,-1.0919,5.5589
2016-12,-2.1294,6.7166
2017-01,-2.7496,7.5179
2017-02,-1.5242,9.6627
2017-03,-0.4658,9.1439
2017-04,-0.375,9.2546
2017-05,4.0031,9.5761
2017-06,5.7385,9.4332
2017-07,5.478,10.0836
2017-08,5.4937,9.7575
2017-09,2.755,10.3465
2017-10,0.5069,11.0407
2017-11,-1.3824,12.0547
2017-12,-0.7067,12.1849
2018-01,-1.0734,14.2981
2018-02,-3.1239,10.7423
2018-03,2.9612,7.7377
2018-04,-8.3208,7.1663
2018-05,-8.6386,9.4342
2018-06,3.9924,9.9109
2018-07,9.7794,13.185
2018-08,11.9483,16.0378
2018-09,11.4295,16.1493
2018-10,-2.0653,10.1359
2018-11,1.9406,10.9525
2018-12,-0.0606,0.9755
2019-01,5.4478,8.6536
2019-02,2.8,11.8003
2019-03,1.9375,10.9644
2019-04,-0.5785,11.9994
2019-05,-5.4366,9.7929
2019-06,-1.8425,13.2837
2019-07,-7.3098,14.5748
2019-08,-11.3379,12.0445
2019-09,-15.0643,13.9283
2019-10,-8.6224,13.8242
2019-11,9.4586,15.2406
2019-12,8.309,16.3477
2020-01,6.6413,16.0
2020-02,22.2183,8.5928
2020-03,24.1264,2.2428
2020-04,31.4149,15.3065
2020-05,39.2567,20.5007
2020-06,34.0571,20.6291
2020-07,26.6869,25.1907
2020-08,25.6649,33.3535
2020-09,21.2041,26.8002
2020-10,17.3295,22.3781
2020-11,13.4712,31.0342
2020-12,8.9015,35.3489
2021-01,13.341,32.969
2021-02,8.4436,31.3421
2021-03,10.9264,33.5115
2021-04,12.6263,39.9579
2021-05,11.6424,36.6678
2021-06,20.0499,39.0487
2021-07,23.1769,41.822
2021-08,36.2755,45.3402
2021-09,31.6224,37.9657
2021-10,45.1622,45.0363
2021-11,43.8272,42.8984
2021-12,34.9222,45.8776
2022-01,30.8777,37.2576
2022-02,32.3951,30.0426
2022-03,48.9202,34.0335
2022-04,45.3777,26.1433
2022-05,44.9417,27.4163
2022-06,30.7015,14.032
2022-07,28.2241,24.1716
2022-08,30.8613,22.3837
2022-09,34.7759,19.8311
2022-10,35.8259,25.5829
2022-11,33.1145,32.1735
2022-12,26.7962,26.2075
2023-01,29.062,32.0065
2023-02,27.3018,28.5111
2023-03,29.0593,32.0763
2023-04,25.8389,33.7937
2023-05,21.3572,34.0419
2023-06,15.0323,42.2913
2023-07,17.6676,46.4427
2023-08,30.7614,42.2085
2023-09,29.3808,35.0408
2023-10,22.4736,31.7156
2023-11,24.8496,43.3533
2023-12,32.7423,49.4187
2024-01,41.9841,45.9225
2024-02,38.5274,52.9775
2024-03,37.4007,57.4105
2024-04,34.7546,51.7233
2024-05,42.9007,56.0692
2024-06,52.6376,61.0314
2024-07,44.7982,60.1437
2024-08,52.3576,63.097
2024-09,43.2149,62.2106
2024-10,18.5394,60.0887
2024-11,6.961,68.8548
2024-12,1.5265,63.7125
2025-01,-3.9964,64.5325
2025-02,-0.2924,63.2827
2025-03,-6.5716,58.1497
2025-04,-7.6975,54.0822
2025-05,-19.994,63.2308
2025-06,-18.8696,71.0368
2025-07,-15.6002,74.3035
2025-08,-9.958,77.2429
2025-09,-12.8576,82.8085
2025-10,-11.0944,86.4244
2025-11,-8.632,81.8929
2025-12,-8.7357,81.1479
2026-01,-9.3325,82.5351
