Date,rate_MSFT_5D,rate_VOO_20D
2015-01,-13.227421760559066,-2.8572765944756275
2015-02,-1.2897710418701136,3.447454876810502
2015-03,-8.280204392433156,0.4860729161492145
2015-04,11.467139183807372,1.4487384583039786
2015-05,6.147310731887834,2.2092180682476643
2015-06,-0.9773552905491312,-0.1698513475284471
2015-07,4.712469011306775,1.9076882395970771
2015-08,-2.3262426130506557,-4.502565285548167
2015-09,-0.074663651657103,-6.017298764947928
2015-10,18.7030762467818,2.5061159698131448
2015-11,21.62032815392813,2.604424317655891
2015-12,22.285874713897712,0.5382943647661856
2016-01,19.90004477405549,-4.310529329965406
2016-02,10.311785810852058,-4.195042264518427
2016-03,18.78581374883652,2.4842383379766333
2016-04,6.215792074764481,2.6456014257229645
2016-05,13.174865604400644,4.232357050508905
2016-06,8.59272101603057,4.320439646565188
2016-07,19.772131332492847,7.897876025849823
2016-08,21.20047058841161,7.637621909403879
2016-09,20.497043297160754,7.305840178771641
2016-10,24.41044779669721,5.080143666962439
2016-11,24.92526831030848,8.778972762641368
2016-12,27.84231069923402,10.665762335251218
2017-01,31.842425671577463,12.167437506584593
2017-02,30.135887369226545,16.009269126263327
2017-03,32.77795588793075,15.516220403932032
2017-04,36.83763903755979,16.156975317488666
2017-05,39.06904722595217,17.207934451670052
2017-06,35.988847976192375,17.339742239984048
2017-07,42.251358147621154,19.17150826866563
2017-08,45.74162024445969,18.9092732800194
2017-09,43.8743747366737,20.737473484453677
2017-10,59.22006126872472,22.89894528267089
2017-11,60.23467097557915,25.9622209472573
2017-12,61.16988075936809,26.846282017154746
2018-01,77.17600143131456,33.11639608994979
2018-02,73.73119587883583,27.33849562689814
2018-03,67.32085817441941,23.558114716474925
2018-04,69.82336304780914,23.453236770362405
2018-05,78.44136970547268,25.83321666719166
2018-06,76.15326160191383,26.13923653454065
2018-07,87.58360232179815,29.983497750566297
2018-08,97.31138121117488,33.452228126835266
2018-09,98.73894965669383,33.47363799730814
2018-10,83.62306388798166,23.69579436879755
2018-11,89.64299989247321,25.482422278827062
2018-12,72.00333210404067,13.917817398755114
2019-01,75.36056576637269,22.592002557561848
2019-02,87.35799421123431,26.091647678819573
2019-03,95.45055367455116,27.97510632261825
2019-04,114.40185857693656,32.53525169980235
2019-05,101.81174315389,23.591637629195542
2019-06,116.63230936619154,31.735809918825037
2019-07,118.21682760517942,33.05117255122052
2019-08,119.35779409207798,30.31080352353016
2019-09,119.158944899,32.338777085853884
2019-10,123.9272678664256,34.668043257899086
2019-11,135.02839563808445,38.90757503603771
2019-12,142.53835476590768,42.36976119076065
2020-01,159.2780777946595,41.608340007985866
2020-02,144.9787377154032,29.551367883608368
2020-03,136.17123796409368,13.025493532867149
2020-04,166.04068091389587,27.26657838199881
2020-05,170.24962101705148,32.876026967424906
2020-06,197.28216973746004,34.800602785303994
2020-07,196.5335141627929,42.13900009164801
2020-08,223.7521435638096,51.34019202745189
2020-09,198.96160381278997,44.94515091961529
2020-10,185.08490907078055,40.63433691196236
2020-11,199.47424988222124,55.32163766365541
2020-12,208.2897839339269,60.306183052978085
2021-01,218.5959016768481,57.87495939934946
2021-02,216.93427819412236,61.402235670267885
2021-03,218.6241065381201,67.87483982438367
2021-04,237.7147674695796,75.77365877642698
2021-05,232.11083745325527,75.94985214491403
2021-06,257.1398933337731,78.91957660010966
2021-07,272.2141868271352,82.25515692803168
2021-08,291.54838497420894,86.56428996455551
2021-09,262.3374855270851,76.86664548380566
2021-10,322.41590755531587,88.26173373314965
2021-11,318.0433909654617,85.82486903716041
2021-12,321.4731266147838,93.22232952354308
2022-01,286.3008591514854,82.07585544472676
2022-02,268.763678155351,75.73068296296604
2022-03,277.3616698144133,81.48527298650177
2022-04,236.86113462713865,64.73919152531096
2022-05,228.1640537189484,64.42790222551683
2022-06,207.63957120845083,50.231782089672805
2022-07,233.78600096980384,63.39115719595842
2022-08,209.21088060018067,56.00791112683237
2022-09,173.46794367205845,41.1528752188696
2022-10,170.69745937512047,52.06788511661569
2022-11,196.406475772659,59.83803298540287
2022-12,176.71073306600826,50.11618307554673
2023-01,184.05615686046835,58.9825814804413
2023-02,184.7152130519597,54.42542036970776
2023-03,226.9375083298874,59.56980304234562
2023-04,246.0375063861432,61.49008702110791
2023-05,268.04805170302296,61.65440493947865
2023-06,278.94290021207496,71.49185335730049
2023-07,271.16071940785184,76.39893532080836
2023-08,260.3840433539618,72.81497696915825
2023-09,244.81157834304952,63.977850425486345
2023-10,266.7421341935987,59.83642566085642
2023-11,309.00652881731816,73.82691260697602
2023-12,303.10241165437617,81.04249191514948
2024-01,323.26852768467995,83.19463151176386
2024-02,338.11747144637235,91.89971959561244
2024-03,342.53428768304417,97.31403596036743
2024-04,306.69806876916806,88.59124543646239
2024-05,331.52974239881416,97.22385162777051
2024-06,361.47554192674056,103.35713055885196
2024-07,329.0016804701378,104.79850066582284
2024-08,325.7216968503447,108.77574528064606
2024-09,336.3049474352497,112.37647650048233
2024-10,309.3746674927464,109.43335037252145
2024-11,324.7529724583626,120.75998702477108
2024-12,344.51984642063485,120.72585707606969
