Date,rate_TER_5D,rate_VOO_20D
2016-01,-1.6733,0.7475
2016-02,-3.6471,0.3631
2016-03,9.1824,6.1635
2016-04,-6.128,4.8532
2016-05,-0.3551,5.5092
2016-06,-0.9589,4.9516
2016-07,-0.7713,8.0529
2016-08,5.5345,7.2728
2016-09,7.7436,6.525
2016-10,15.5217,4.0384
2016-11,19.8538,7.3996
2016-12,22.6738,9.0221
2017-01,34.8422,10.0556
2017-02,33.0388,13.4646
2017-03,42.7813,12.6934
2017-04,58.8842,13.0265
2017-05,57.0465,13.8264
2017-06,31.0053,13.7461
2017-07,48.1721,15.2839
2017-08,50.1605,14.8547
2017-09,55.1154,16.4705
2017-10,75.5465,18.391
2017-11,62.9727,21.1572
2017-12,65.7802,21.8357
2018-01,78.4758,27.5767
2018-02,68.4754,19.4887
2018-03,66.4338,15.9328
2018-04,50.3023,14.9578
2018-05,57.7571,17.1859
2018-06,56.4222,17.444
2018-07,75.5375,20.9505
2018-08,64.9826,24.1299
2018-09,46.7142,24.1209
2018-10,35.7189,14.1084
2018-11,39.7454,15.0224
2018-12,21.9752,4.4886
2019-01,39.1731,12.5608
2019-02,57.0086,15.8612
2019-03,50.7652,17.612
2019-04,76.6541,21.8639
2019-05,60.0918,16.0646
2019-06,69.2649,19.9808
2019-07,94.9996,21.2252
2019-08,77.9837,18.3328
2019-09,82.3434,20.1882
2019-10,82.5144,20.3259
2019-11,84.9684,24.2116
2019-12,99.4971,27.349
2020-01,90.421,26.2815
2020-02,72.5361,19.8213
2020-03,64.5971,15.7478
2020-04,88.6549,30.3559
2020-05,80.0325,35.9447
2020-06,124.6708,35.2146
2020-07,128.8022,39.5903
2020-08,124.4075,48.5304
2020-09,120.6007,40.6583
2020-10,141.3258,35.284
2020-11,200.1303,43.8758
2020-12,212.857,48.4488
2021-01,203.8037,45.6177
2021-02,183.6958,42.6536
2021-03,184.6314,44.2697
2021-04,189.5504,51.1309
2021-05,193.4545,46.9645
2021-06,194.1087,49.5312
2021-07,176.1752,52.4159
2021-08,161.8555,56.1018
2021-09,133.3497,48.0813
2021-10,192.997,56.0144
2021-11,210.5615,53.5374
2021-12,205.9693,55.8343
2022-01,169.2722,46.4571
2022-02,166.9895,38.1483
2022-03,165.5108,42.2675
2022-04,134.0411,34.5494
2022-05,129.1089,36.0289
2022-06,87.7579,21.1749
2022-07,103.1367,31.8752
2022-08,69.5862,26.0562
2022-09,52.2693,14.2993
2022-10,47.1193,23.2183
2022-11,61.7619,29.7022
2022-12,58.8982,24.5108
2023-01,74.7686,29.2932
2023-02,80.8166,25.9536
2023-03,84.0309,29.4041
2023-04,66.8034,31.1074
2023-05,79.7514,31.3785
2023-06,98.7153,39.5074
2023-07,91.0344,43.6112
2023-08,82.6827,39.288
2023-09,69.3129,32.2789
2023-10,39.7577,29.0551
2023-11,54.4549,40.4823
2023-12,81.0455,46.4584
2024-01,60.4286,48.2956
2024-02,71.5265,55.4714
2024-03,86.0135,59.9707
2024-04,79.6549,54.3559
2024-05,116.8969,58.7198
2024-06,126.9582,63.7565
2024-07,118.2839,62.4775
2024-08,128.5936,65.2821
2024-09,112.3249,63.7333
2024-10,90.0323,61.5953
2024-11,92.7317,70.4058
2024-12,119.6016,65.7986
2025-01,100.8586,69.6123
2025-02,89.9026,66.3646
2025-03,61.9726,60.3871
2025-04,53.2172,59.1236
2025-05,62.0189,68.5307
2025-06,84.6931,76.5585
2025-07,100.3899,79.9077
2025-08,120.2446,82.9229
2025-09,127.2981,88.6543
2025-10,149.2394,92.3724
2025-11,148.3257,92.0168
2025-12,162.8971,91.3981
2026-01,210.9237,92.8862
