Date,rate_ADI_5D,rate_VOO_20D
2016-01,4.2197,0.7475
2016-02,-2.3302,0.3631
2016-03,8.6019,6.1635
2016-04,2.6913,4.8532
2016-05,6.5783,5.5092
2016-06,2.1935,4.9516
2016-07,14.4635,8.0529
2016-08,11.2987,7.2728
2016-09,13.4317,6.525
2016-10,11.5855,4.0384
2016-11,28.8534,7.3996
2016-12,24.4059,9.0221
2017-01,26.3301,10.0556
2017-02,36.7351,13.4646
2017-03,34.3075,12.6934
2017-04,23.1854,13.0265
2017-05,36.9428,13.8264
2017-06,23.3852,13.7461
2017-07,23.9349,15.2839
2017-08,29.949,14.8547
2017-09,33.0986,16.4705
2017-10,39.4839,18.391
2017-11,30.9065,21.1572
2017-12,33.9443,21.8357
2018-01,36.8036,27.5767
2018-02,33.0036,19.4887
2018-03,30.006,15.9328
2018-04,21.4817,14.9578
2018-05,34.1959,17.1859
2018-06,31.9233,17.444
2018-07,31.1344,20.9505
2018-08,34.4121,24.1299
2018-09,24.8003,24.1209
2018-10,12.6346,14.1084
2018-11,23.6875,15.0224
2018-12,13.1,4.4886
2019-01,27.7904,12.5608
2019-02,38.1213,15.8612
2019-03,36.3968,17.612
2019-04,43.3268,21.8639
2019-05,27.6761,16.0646
2019-06,43.5847,19.9808
2019-07,48.3352,21.2252
2019-08,41.0747,18.3328
2019-09,40.5951,20.1882
2019-10,31.6099,20.3259
2019-11,38.6449,24.2116
2019-12,45.744,27.349
2020-01,33.9211,26.2815
2020-02,31.3162,19.8213
2020-03,22.983,15.7478
2020-04,50.0471,30.3559
2020-05,45.255,35.9447
2020-06,51.895,35.2146
2020-07,49.0069,39.5903
2020-08,48.7048,48.5304
2020-09,42.6362,40.6583
2020-10,41.3899,35.284
2020-11,50.6488,43.8758
2020-12,55.1368,48.4488
2021-01,53.6999,45.6177
2021-02,52.5697,42.6536
2021-03,50.5109,44.2697
2021-04,47.8091,51.1309
2021-05,51.2783,46.9645
2021-06,57.4181,49.5312
2021-07,52.2826,52.4159
2021-08,48.0959,56.1018
2021-09,51.3917,48.0813
2021-10,50.9125,56.0144
2021-11,54.1171,53.5374
2021-12,52.1011,55.8343
2022-01,37.3268,46.4571
2022-02,33.1523,38.1483
2022-03,26.346,42.2675
2022-04,19.6628,34.5494
2022-05,22.0952,36.0289
2022-06,10.7759,21.1749
2022-07,27.9635,31.8752
2022-08,13.0218,26.0562
2022-09,4.3166,14.2993
2022-10,2.8914,23.2183
2022-11,23.9141,29.7022
2022-12,19.1754,24.5108
2023-01,20.8568,29.2932
2023-02,28.9186,25.9536
2023-03,30.9675,29.4041
2023-04,22.4521,31.1074
2023-05,15.0904,31.3785
2023-06,23.6099,39.5074
2023-07,26.3413,43.6112
2023-08,16.6729,39.288
2023-09,12.723,32.2789
2023-10,1.2014,29.0551
2023-11,17.8213,40.4823
2023-12,27.9438,46.4584
2024-01,23.6764,48.2956
2024-02,21.6216,55.4714
2024-03,23.5547,59.9707
2024-04,19.5604,54.3559
2024-05,39.5609,58.7198
2024-06,36.0261,63.7565
2024-07,34.222,62.4775
2024-08,38.4593,65.2821
2024-09,29.5241,63.7333
2024-10,22.2258,61.5953
2024-11,17.4552,70.4058
2024-12,14.7481,65.7986
2025-01,14.2886,69.6123
2025-02,23.9187,66.3646
2025-03,18.8221,60.3871
2025-04,25.6132,59.1236
2025-05,37.6328,68.5307
2025-06,45.6438,76.5585
2025-07,43.3062,79.9077
2025-08,53.3334,82.9229
2025-09,50.067,88.6543
2025-10,42.6125,92.3724
2025-11,61.163,92.0168
2025-12,64.7729,91.3981
2026-01,79.3089,93.9446
