Date,rate_SUI-USD_5D,rate_VOO_20D
2022-03,-0.4975,1.7833
2022-04,-23.7774,-4.9051
2022-05,-47.2006,-2.7638
2022-06,-59.5306,-15.0594
2022-07,-25.5997,-6.2509
2022-08,-11.6493,-8.4404
2022-09,-12.4095,-12.0829
2022-10,19.2429,-7.945
2022-11,8.4177,-2.3771
2022-12,-3.3947,-7.0527
2023-01,53.9423,-2.0791
2023-02,96.3927,-4.8928
2023-03,78.6709,-2.1873
2023-04,99.6649,-0.7155
2023-05,30.6138,-0.4721
2023-06,-8.9424,6.3469
2023-07,-17.7276,9.6988
2023-08,-36.699,6.2533
2023-09,-37.8465,0.3667
2023-10,-37.0532,-2.3262
2023-11,-32.6812,7.2547
2023-12,-27.7145,12.208
2024-01,-56.7727,10.5622
2024-02,-56.7278,16.3457
2024-03,43.7268,19.8922
2024-04,28.7916,15.2253
2024-05,-66.6492,18.8291
2024-06,-64.351,18.5554
