Date,rate_SLB_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,0.5436,-2.376
2016-03,1.8954,4.071
2016-04,10.9271,3.4463
2016-05,4.1284,4.5141
2016-06,7.2075,4.1644
2016-07,7.9474,7.3333
2016-08,5.211,6.6525
2016-09,4.7658,6.013
2016-10,3.663,3.6115
2016-11,10.8998,7.182
2016-12,10.4213,8.8567
2017-01,10.1093,10.0774
2017-02,5.6391,13.6125
2017-03,2.0827,12.8284
2017-04,-5.2181,13.2286
2017-05,-8.1639,14.0432
2017-06,-12.6976,13.9758
2017-07,-8.4342,15.5728
2017-08,-14.8505,15.1519
2017-09,-4.9871,16.7674
2017-10,-12.5879,18.6971
2017-11,-13.6381,21.4906
2017-12,-6.2425,22.1742
2018-01,2.289,28.0253
2018-02,-8.2426,22.3109
2018-03,-9.1101,18.5822
2018-04,-3.3782,18.439
2018-05,-3.1077,20.6342
2018-06,-4.6389,20.8295
2018-07,-3.6884,24.4195
2018-08,-9.7594,27.64
2018-09,-12.2418,27.5571
2018-10,-25.798,18.148
2018-11,-34.0907,19.8158
2018-12,-45.7781,8.7803
2019-01,-33.7309,17.0692
2019-02,-32.2532,20.3898
2019-03,-32.2017,22.1512
2019-04,-32.7929,26.4471
2019-05,-44.5759,17.8766
2019-06,-34.4368,25.6026
2019-07,-33.1503,26.8029
2019-08,-45.0195,24.165
2019-09,-41.2227,26.0707
2019-10,-42.6816,28.2682
2019-11,-35.5553,32.2632
2019-12,-26.6402,35.5066
2020-01,-38.6978,34.7146
2020-02,-48.8082,23.2206
2020-03,-73.9892,7.5857
2020-04,-65.3869,21.2139
2020-05,-60.3206,26.5664
2020-06,-58.9702,28.3643
2020-07,-58.2657,35.3077
2020-08,-55.1186,44.0007
2020-09,-62.1093,37.8818
2020-10,-62.4133,33.7409
2020-11,-46.1786,47.6567
2020-12,-42.2968,52.3191
2021-01,-41.2926,49.9619
2021-02,-24.957,53.2489
2021-03,-26.5264,59.3139
2021-04,-26.5058,66.7128
2021-05,-14.4464,66.7978
2021-06,-12.1079,69.5264
2021-07,-20.7144,72.593
2021-08,-22.2002,76.58
2021-09,-17.3885,67.3306
2021-10,-9.8374,78.0118
2021-11,-19.4034,75.6346
2021-12,-15.5131,82.5203
2022-01,10.3885,71.9304
2022-02,11.041,65.8784
2022-03,16.7965,71.2418
2022-04,10.0459,55.3862
2022-05,29.9538,55.0693
2022-06,0.7606,41.677
2022-07,4.3245,54.0588
2022-08,7.4348,47.0803
2022-09,1.537,33.1115
2022-10,46.9432,43.3799
2022-11,44.9814,50.707
2022-12,50.2236,41.5455
2023-01,60.0796,49.9054
2023-02,49.499,45.6128
2023-03,37.3108,50.431
2023-04,37.4577,52.2262
2023-05,18.8992,52.3734
2023-06,36.7096,61.6123
2023-07,61.8159,66.208
2023-08,62.8006,62.8182
2023-09,60.908,54.4786
2023-10,52.9481,50.5707
2023-11,42.4225,63.7242
2023-12,42.6094,70.5007
2024-01,33.5041,72.5028
2024-02,32.8479,80.6678
2024-03,50.1902,85.7322
2024-04,29.6166,77.499
2024-05,24.9674,85.5862
2024-06,28.9892,91.319
2024-07,31.7229,92.6342
2024-08,19.7193,96.3435
2024-09,14.9167,99.6776
2024-10,9.5655,96.8805
2024-11,20.0426,107.4927
2024-12,5.3213,101.7132
2025-01,10.6108,106.1747
2025-02,15.0663,102.6383
2025-03,15.3758,90.4787
2025-04,-8.3494,88.1311
2025-05,-8.8385,99.0692
2025-06,-5.9092,108.4087
2025-07,-5.9296,112.1972
2025-08,2.6092,115.6241
2025-09,-3.4755,122.2463
2025-10,1.2582,126.4867
2025-11,1.7227,125.9202
2025-12,8.4966,125.0582
2026-01,38.7125,126.4133
