Date,rate_BAESY_5D,rate_VOO_20D
2016-01,-0.2441,0.7475
2016-02,-8.2006,0.3631
2016-03,-3.4601,6.1635
2016-04,-4.3591,4.8532
2016-05,-3.7563,5.5092
2016-06,-7.6611,4.9516
2016-07,-6.7669,8.0529
2016-08,-5.9967,7.2728
2016-09,-8.7403,6.525
2016-10,-9.1191,4.0384
2016-11,4.06,7.3996
2016-12,0.372,9.0221
2017-01,1.4692,10.0556
2017-02,7.8158,13.4646
2017-03,10.7928,12.6934
2017-04,12.8943,13.0265
2017-05,19.1766,13.8264
2017-06,13.9154,13.7461
2017-07,9.0366,15.2839
2017-08,7.5463,14.8547
2017-09,15.6842,16.4705
2017-10,8.5836,18.391
2017-11,2.4571,21.1572
2017-12,5.5149,21.8357
2018-01,15.4555,27.5767
2018-02,3.5764,19.4887
2018-03,2.7364,15.9328
2018-04,7.7605,14.9578
2018-05,8.4289,17.1859
2018-06,8.3601,17.444
2018-07,8.5902,20.9505
2018-08,-0.442,24.1299
2018-09,2.7637,24.1209
2018-10,-13.9578,14.1084
2018-11,-19.5837,15.0224
2018-12,-24.3528,4.4886
2019-01,-10.8623,12.5608
2019-02,-18.4692,15.8612
2019-03,-16.1384,17.612
2019-04,-15.4261,21.8639
2019-05,-24.1874,16.0646
2019-06,-16.3267,19.9808
2019-07,-11.112,21.2252
2019-08,-10.5692,18.3328
2019-09,-9.7448,20.1882
2019-10,-2.617,20.3259
2019-11,-4.4434,24.2116
2019-12,-2.7942,27.349
2020-01,6.8004,26.2815
2020-02,5.7145,19.8213
2020-03,2.1114,15.7478
2020-04,2.816,30.3559
2020-05,-4.8725,35.9447
2020-06,-3.9637,35.2146
2020-07,-0.2827,39.5903
2020-08,10.8128,48.5304
2020-09,7.2683,40.6583
2020-10,-10.9065,35.284
2020-11,12.9983,43.8758
2020-12,12.8497,48.4488
2021-01,10.7891,45.6177
2021-02,14.1047,42.6536
2021-03,15.3758,44.2697
2021-04,17.4122,51.1309
2021-05,24.254,46.9645
2021-06,21.2714,49.5312
2021-07,33.5104,52.4159
2021-08,29.5567,56.1018
2021-09,26.2514,48.0813
2021-10,28.2431,56.0144
2021-11,22.7787,53.5374
2021-12,24.3151,55.8343
2022-01,31.4216,46.4571
2022-02,55.4418,38.1483
2022-03,48.5323,42.2675
2022-04,45.7572,34.5494
2022-05,46.3818,36.0289
2022-06,45.076,21.1749
2022-07,33.7437,31.8752
2022-08,24.4153,26.0562
2022-09,20.5703,14.2993
2022-10,29.8125,23.2183
2022-11,34.6369,29.7022
2022-12,41.2567,24.5108
2023-01,39.1057,29.2932
2023-02,37.1034,25.9536
2023-03,53.4636,29.4041
2023-04,61.531,31.1074
2023-05,56.6621,31.3785
2023-06,54.6717,39.5074
2023-07,51.6927,43.6112
2023-08,56.2281,39.288
2023-09,48.228,32.2789
2023-10,57.7494,29.0551
2023-11,54.4808,40.4823
2023-12,66.1006,46.4584
2024-01,73.2068,48.2956
2024-02,81.8157,55.4714
2024-03,96.5862,59.9707
2024-04,87.5887,54.3559
2024-05,99.3708,58.7198
2024-06,84.3634,63.7565
2024-07,83.2778,62.4775
2024-08,95.5299,65.2821
2024-09,83.5106,63.7333
2024-10,76.2328,61.5953
2024-11,62.6767,70.4058
2024-12,58.1683,65.7986
2025-01,66.505,69.6123
2025-02,99.5913,66.3646
2025-03,125.8077,60.3871
2025-04,137.8075,59.1236
2025-05,160.8349,68.5307
2025-06,156.7413,76.5585
2025-07,150.0867,79.9077
2025-08,140.5771,82.9229
2025-09,183.7564,88.6543
2025-10,151.6849,92.3724
2025-11,117.1174,92.0168
2025-12,134.1624,91.3981
2026-01,175.5907,92.8862
