Date,rate_EXPD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.8672,-0.6039
2016-03,6.6241,5.2168
2016-04,6.526,3.9893
2016-05,3.4743,4.6886
2016-06,3.8176,4.1237
2016-07,3.8345,7.1795
2016-08,5.8,6.3603
2016-09,6.7897,5.6281
2016-10,5.9765,3.196
2016-11,8.8717,6.7601
2016-12,8.4288,8.3626
2017-01,6.6321,10.2536
2017-02,14.7853,13.6522
2017-03,13.7983,12.7005
2017-04,12.1014,12.9818
2017-05,6.7878,13.693
2017-06,12.421,13.5288
2017-07,16.3892,15.0481
2017-08,10.0654,14.5515
2017-09,16.83,16.1037
2017-10,13.1077,17.9557
2017-11,25.5953,20.6805
2017-12,24.309,21.3029
2018-01,24.8075,28.0338
2018-02,23.7967,22.1441
2018-03,19.8087,18.3021
2018-04,20.1456,18.0902
2018-05,40.034,20.2208
2018-06,35.9546,20.3415
2018-07,40.337,23.8746
2018-08,33.7065,27.0072
2018-09,34.1624,27.7347
2018-10,21.5791,18.1437
2018-11,37.6288,19.7418
2018-12,22.1038,8.5778
2019-01,24.2708,17.1263
2019-02,33.5938,20.3748
2019-03,34.2834,22.0514
2019-04,39.4352,26.2651
2019-05,22.1923,17.5943
2019-06,32.5022,25.308
2019-07,32.5012,26.4355
2019-08,22.7256,23.7232
2019-09,28.2284,26.1617
2019-10,25.2476,28.2707
2019-11,28.5749,32.1761
2019-12,33.5082,35.3247
2020-01,24.9959,35.2749
2020-02,19.9671,23.5454
2020-03,13.1914,7.7105
2020-04,21.2048,21.425
2020-05,29.6479,26.7132
2020-06,28.4885,28.4357
2020-07,42.1365,35.3124
2020-08,47.7349,43.9511
2020-09,50.2947,37.6938
2020-10,45.8007,33.4637
2020-11,47.4131,47.2943
2020-12,55.9177,51.8455
2021-01,46.7563,50.305
2021-02,49.6572,53.4604
2021-03,74.3711,59.4101
2021-04,76.5243,66.6882
2021-05,101.289,66.6274
2021-06,101.0589,69.2184
2021-07,101.9552,72.1455
2021-08,94.6634,75.992
2021-09,84.6192,66.6118
2021-10,89.6625,77.1553
2021-11,86.6032,74.6519
2021-12,104.5117,81.397
2022-01,73.0376,70.7122
2022-02,55.2436,64.6001
2022-03,54.1522,69.8532
2022-04,47.3239,54.0273
2022-05,62.0785,53.6333
2022-06,44.3683,40.2902
2022-07,56.6967,52.5094
2022-08,50.98,45.531
2022-09,28.9947,31.5965
2022-10,42.4408,41.7445
2022-11,69.214,48.9584
2022-12,50.7246,39.838
2023-01,56.8553,48.5632
2023-02,50.8784,44.2258
2023-03,58.2001,48.9578
2023-04,62.8079,50.6836
2023-05,57.9616,50.7741
2023-06,72.633,59.884
2023-07,80.4887,64.3798
2023-08,64.6151,60.953
2023-09,60.933,52.6248
2023-10,52.698,48.7132
2023-11,68.4768,61.6976
2023-12,77.25,68.3392
2024-01,76.0379,71.0275
2024-02,65.8704,79.0476
2024-03,67.8425,83.99
2024-04,53.0204,75.7344
2024-05,65.5556,83.6813
2024-06,71.1563,89.2836
2024-07,70.4685,90.5002
2024-08,67.7913,94.0822
2024-09,78.6492,98.2932
2024-10,61.0721,95.412
2024-11,63.9942,105.8418
2024-12,49.6332,99.9875
2025-01,53.4267,105.351
2025-02,57.9933,101.7087
2025-03,61.2728,89.4719
2025-04,46.835,87.0451
2025-05,50.1281,97.8575
2025-06,52.704,107.0685
2025-07,54.81,110.7404
2025-08,60.0004,114.0337
2025-09,62.7201,121.6081
2025-10,61.2199,125.7153
2025-11,93.5818,125.0226
2025-12,96.499,124.0393
2026-01,108.8535,128.5087
