Date,rate_VZ_5D,rate_VOO_20D
2015-01,-1.63,-1.42
2015-02,6.04,3.81
2015-03,3.81,1.86
2015-04,8.46,2.71
2015-05,5.75,3.69
2015-06,-0.61,1.43
2015-07,0.89,3.45
2015-08,-0.87,-2.99
2015-09,-6.13,-5.11
2015-10,2.78,2.98
2015-11,-0.46,3.19
2015-12,1.24,1.25
2016-01,10.7,-3.69
2016-02,11.84,-3.7
2016-03,18.61,2.89
2016-04,12.21,3.11
2016-05,11.65,4.75
2016-06,22.01,4.89
2016-07,21.48,8.53
2016-08,14.11,8.37
2016-09,12.85,8.12
2016-10,5.27,5.95
2016-11,9.08,9.69
2016-12,16.37,11.65
2017-01,7.5,13.25
2017-02,8.67,17.22
2017-03,6.49,16.86
2017-04,1.29,17.61
2017-05,2.85,18.78
2017-06,-1.59,19.01
2017-07,8.07,20.96
2017-08,6.9,20.79
2017-09,10.13,22.74
2017-10,7.56,25.03
2017-11,14.17,28.25
2017-12,18.4,29.25
2018-01,21.91,35.75
2018-02,7.27,30.03
2018-03,7.27,26.25
2018-04,11.95,26.17
2018-05,7.94,28.67
2018-06,13.73,29.05
2018-07,17.8,33.05
2018-08,23.65,36.68
2018-09,21.02,36.79
2018-10,30.39,26.85
2018-11,37.16,28.73
2018-12,27.34,16.94
2019-01,25.55,25.85
2019-02,29.36,29.46
2019-03,33.88,31.43
2019-04,30.29,36.15
2019-05,23.37,27.01
2019-06,29.22,35.39
2019-07,25.88,36.78
2019-08,32.03,34.02
2019-09,36.52,36.12
2019-10,37.66,38.56
2019-11,36.59,42.96
2019-12,38.68,46.57
2020-01,35.13,45.84
2020-02,22.71,33.48
2020-03,21.35,16.52
2020-04,30.81,31.14
2020-05,30.26,36.91
2020-06,24.79,38.91
2020-07,31.23,46.5
2020-08,34.89,56.02
2020-09,34.93,49.48
2020-10,30.21,45.07
2020-11,37.6,60.24
2020-12,33.36,65.44
2021-01,25.23,62.98
2021-02,26.18,66.67
2021-03,32.35,73.41
2021-04,32.56,81.63
2021-05,29.2,81.89
2021-06,27.81,85.03
2021-07,28.34,88.55
2021-08,26.23,93.07
2021-09,23.67,83.11
2021-10,22.51,94.98
2021-11,15.99,92.53
2021-12,19.71,100.25
2022-01,23.86,88.77
2022-02,24.63,82.25
2022-03,18.04,88.26
2022-04,8.4,70.96
2022-05,19.96,70.67
2022-06,18.5,55.96
2022-07,9.02,69.63
2022-08,-1.38,61.99
2022-09,-10.42,46.57
2022-10,-10.29,57.92
2022-11,-6.33,66.03
2022-12,-5.24,55.95
2023-01,1.56,65.17
2023-02,-5.2,60.45
2023-03,-4.95,65.81
2023-04,-3.5,67.82
2023-05,-11.41,68.01
2023-06,-7.42,78.26
2023-07,-13.58,83.39
2023-08,-11.16,79.69
2023-09,-17.59,70.53
2023-10,-8.59,66.24
2023-11,-0.2,80.8
2023-12,-1.85,88.32
2024-01,12.09,90.59
2024-02,5.83,99.68
2024-03,10.9,105.35
2024-04,5.96,96.31
2024-05,10.37,105.32
2024-06,10.52,111.74
2024-07,10.28,113.27
2024-08,13.62,117.45
2024-09,21.99,121.24
2024-10,16.06,118.22
2024-11,14.63,123.86
