Date,rate_ONDO-USD_5D,rate_VOO_20D
2024-01,0.0,1.9377
2024-02,77.2531,9.1096
2024-03,250.8487,13.6097
2024-04,143.3817,7.9956
2024-05,231.8596,12.3603
2024-06,187.0646,17.3977
2024-07,107.6112,16.1194
2024-08,56.443,18.9198
2024-09,69.4611,17.3911
2024-10,33.2015,15.2536
2024-11,119.254,24.0642
2024-12,128.9798,19.4735
2025-01,142.7467,23.2754
2025-02,55.8089,20.0282
2025-03,11.6215,14.0512
2025-04,28.9742,12.7812
2025-05,2.2766,22.1888
2025-06,-3.3839,30.2171
2025-07,18.9037,33.5668
2025-08,9.3678,36.5825
2025-09,1.4787,42.3144
2025-10,-21.3953,46.0318
2025-11,-41.6209,45.6731
2025-12,-57.1624,45.0549
2026-01,-57.4021,47.0135
