Date,rate_456680.KS_5D,rate_VOO_20D
2023-05,0.0,2.1384
2023-06,2.9839,10.2631
2023-07,-4.489,14.0923
2023-08,-11.4407,10.0457
2023-09,-20.4338,2.6111
2023-10,-23.3034,-0.1544
2023-11,-33.9506,11.2585
2023-12,-31.3748,17.6262
2024-01,-48.5284,19.0734
2024-02,-32.5558,26.2453
2024-03,-25.0622,30.7453
2024-04,-18.8046,25.1313
2024-05,-22.8146,29.496
2024-06,-34.9735,34.5333
2024-07,-35.5269,33.2551
2024-08,-35.6166,36.0555
2024-09,8.0463,34.5268
2024-10,2.1936,32.3893
2024-11,-6.8863,41.1999
2024-12,-3.847,37.2752
2025-01,-9.9267,40.4111
2025-02,18.8685,37.1639
2025-03,12.8584,31.1869
2025-04,8.7142,29.9169
2025-05,7.6017,39.3245
2025-06,-0.008,47.3528
2025-07,4.4967,50.7025
2025-08,25.4504,53.7182
2025-09,89.7244,59.4501
2025-10,65.77,63.1675
2025-11,60.0936,62.8088
2025-12,60.5923,63.5903
2026-01,69.9713,62.4054
