Date,rate_ARKX_5D,rate_VOO_20D
2021-03,0.0,0.5343
2021-04,0.0,7.18
2021-05,1.0501,2.8454
2021-06,3.549,5.4529
2021-07,-0.1977,8.3525
2021-08,-0.0967,12.0143
2021-09,-4.468,4.6151
2021-10,-2.7437,12.4819
2021-11,-4.8547,10.3068
2021-12,-5.2779,12.3268
2022-01,-12.7487,3.5902
2022-02,-6.9548,-4.1442
2022-03,-14.0676,-2.1995
2022-04,-18.1566,-8.5845
2022-05,-17.4077,-8.8175
2022-06,-17.6462,-11.107
2022-07,-10.207,-4.032
2022-08,-11.9503,-4.9656
2022-09,-13.0014,-5.3231
2022-10,-11.4117,-5.6099
2022-11,-11.0204,-4.3639
2022-12,-15.2908,-8.9184
2023-01,-7.1231,-4.7387
2023-02,-7.5569,-8.0666
2023-03,-6.3048,-4.7331
2023-04,-10.9072,-2.9833
2023-05,-9.2878,-2.6763
2023-06,-2.9033,5.5718
2023-07,-2.4024,9.7618
2023-08,-4.4248,5.1985
2023-09,-9.6781,-1.8245
2023-10,-15.3742,-5.0402
2023-11,-9.0683,6.5129
2023-12,-1.7833,12.5924
2024-01,-7.606,10.0074
2024-02,-8.2921,17.1012
2024-03,-5.1567,21.5839
2024-04,-9.1429,16.1603
2024-05,-6.3642,20.5183
2024-06,-6.5484,25.552
2024-07,-5.6488,24.0104
2024-08,-6.4729,27.7702
2024-09,-5.4114,26.1536
2024-10,-4.8955,24.1124
2024-11,9.1081,32.8785
2024-12,4.8586,27.5923
2025-01,2.8582,27.0684
2025-02,-0.5893,23.99
2025-03,-2.2681,21.0933
2025-04,-1.4486,20.2632
2025-05,0.6405,22.1862
2025-06,4.3971,24.0005
2025-07,13.3216,27.0265
2025-08,13.0505,29.8484
2025-09,16.5296,33.8899
