Date,rate_ACN_5D,rate_VOO_20D
2015-01,-4.3,-1.42
2015-02,2.42,3.81
2015-03,6.22,1.86
2015-04,5.64,2.71
2015-05,8.98,3.69
2015-06,9.19,1.43
2015-07,15.61,3.45
2015-08,4.94,-2.99
2015-09,9.11,-5.11
2015-10,19.65,2.98
2015-11,18.71,3.19
2015-12,14.83,1.25
2016-01,15.41,-3.69
2016-02,9.06,-3.7
2016-03,24.88,2.89
2016-04,22.41,3.11
2016-05,28.01,4.75
2016-06,20.96,4.89
2016-07,19.71,8.53
2016-08,21.33,8.37
2016-09,28.11,8.12
2016-10,22.38,5.95
2016-11,24.99,9.69
2016-12,21.91,11.65
2017-01,17.92,13.25
2017-02,26.29,17.22
2017-03,22.85,16.86
2017-04,25.01,17.61
2017-05,27.6,18.78
2017-06,26.07,19.01
2017-07,30.61,20.96
2017-08,31.8,20.79
2017-09,35.36,22.74
2017-10,43.14,25.03
2017-11,47.78,28.25
2017-12,51.76,29.25
2018-01,58.1,35.75
2018-02,57.22,30.03
2018-03,48.83,26.25
2018-04,46.98,26.17
2018-05,50.42,28.67
2018-06,56.9,29.05
2018-07,51.77,33.05
2018-08,60.0,36.68
2018-09,59.96,36.79
2018-10,48.48,26.85
2018-11,54.06,28.73
2018-12,31.28,16.94
2019-01,42.36,25.85
2019-02,48.83,29.46
2019-03,61.39,31.43
2019-04,67.81,36.15
2019-05,62.56,27.01
2019-06,67.65,35.39
2019-07,73.6,36.78
2019-08,77.47,34.02
2019-09,71.15,36.12
2019-10,64.72,38.56
2019-11,77.62,42.96
2019-12,84.76,46.57
2020-01,79.59,45.84
2020-02,57.08,33.48
2020-03,41.28,16.52
2020-04,60.39,31.14
2020-05,73.73,36.91
2020-06,83.92,38.91
2020-07,92.07,46.5
2020-08,103.7,56.02
2020-09,90.65,49.48
2020-10,82.63,45.07
2020-11,108.46,60.24
2020-12,117.18,65.44
2021-01,100.55,62.98
2021-02,106.71,66.67
2021-03,126.13,73.41
2021-04,136.5,81.63
2021-05,128.61,81.89
2021-06,137.3,85.03
2021-07,154.7,88.55
2021-08,167.99,93.07
2021-09,152.99,83.11
2021-10,182.63,94.98
2021-11,179.58,92.53
2021-12,221.98,100.25
2022-01,173.44,88.77
2022-02,142.83,82.25
2022-03,157.53,88.26
2022-04,128.64,70.96
2022-05,125.89,70.67
2022-06,108.97,55.96
2022-07,130.07,69.63
2022-08,115.51,61.99
2022-09,91.28,46.57
2022-10,110.92,57.92
2022-11,122.47,66.03
2022-12,96.29,55.95
2023-01,105.14,65.17
2023-02,94.27,60.45
2023-03,108.13,65.81
2023-04,103.95,67.82
2023-05,121.55,68.01
2023-06,122.37,78.26
2023-07,127.66,83.39
2023-08,131.83,79.69
2023-09,118.83,70.53
2023-10,111.57,66.24
2023-11,136.1,80.8
2023-12,147.44,88.32
2024-01,156.23,90.59
2024-02,162.54,99.68
2024-03,141.58,105.35
2024-04,109.61,96.31
2024-05,95.82,105.32
2024-06,109.6,111.74
2024-07,128.41,113.27
2024-08,135.18,117.45
2024-09,141.99,121.24
2024-10,135.95,118.22
2024-11,141.09,125.6
