Date,rate_GLD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,9.0448,-0.6039
2016-03,5.2382,5.2168
2016-04,9.2156,3.9893
2016-05,0.8121,4.6886
2016-06,9.6298,4.1237
2016-07,10.1114,7.1795
2016-08,5.2414,6.3603
2016-09,5.2747,5.6281
2016-10,1.6517,3.196
2016-11,-7.0305,6.7601
2016-12,-8.254,8.3626
2017-01,-3.304,10.2536
2017-02,0.02,13.6522
2017-03,-0.4319,12.7005
2017-04,1.2398,12.9818
2017-05,1.0649,13.693
2017-06,-1.2026,13.5288
2017-07,1.1992,15.0481
2017-08,5.355,14.5515
2017-09,1.5376,16.1037
2017-10,0.7149,17.9557
2017-11,1.0021,20.6805
2017-12,3.0379,21.3029
2018-01,6.3596,28.0338
2018-02,3.862,22.1441
2018-03,4.3507,18.3021
2018-04,3.1262,18.0902
2018-05,1.7875,20.2208
2018-06,-1.9476,20.3415
2018-07,-4.056,23.8746
2018-08,-5.9627,27.0072
2018-09,-6.5827,27.7347
2018-10,-4.3998,18.1437
2018-11,-3.9909,19.7418
2018-12,0.8314,8.5778
2019-01,3.7375,17.1263
2019-02,2.9884,20.3748
2019-03,1.2968,22.0514
2019-04,0.5874,26.2651
2019-05,2.3437,17.5943
2019-06,10.3934,25.308
2019-07,10.1747,26.4355
2019-08,18.5216,23.7232
2019-09,14.5078,26.1617
2019-10,17.0465,28.2707
2019-11,12.8944,32.1761
2019-12,16.6971,35.3247
2020-01,21.9457,35.2749
2020-02,20.6793,23.5454
2020-03,19.9285,7.7105
2020-04,28.1327,21.425
2020-05,30.8081,26.7132
2020-06,33.7054,28.4357
2020-07,47.3539,35.3124
2020-08,45.9227,43.9511
2020-09,38.9617,37.6938
2020-10,37.4721,33.4637
2020-11,29.3454,47.2943
2020-12,37.7808,51.8455
2021-01,33.3405,50.305
2021-02,24.4252,53.4604
2021-03,22.5652,59.4101
2021-04,26.4895,66.6882
2021-05,35.6734,66.6274
2021-06,25.4272,69.2184
2021-07,28.1459,72.1455
2021-08,27.5806,75.992
2021-09,23.0338,66.6118
2021-10,24.4696,77.1553
2021-11,23.216,74.6519
2021-12,26.8938,81.397
2022-01,24.3806,70.7122
2022-02,31.5948,64.6001
2022-03,32.7655,69.8532
2022-04,29.5556,54.0273
2022-05,24.9419,53.6333
2022-06,22.6292,40.2902
2022-07,19.148,52.5094
2022-08,15.3778,45.531
2022-09,11.8501,31.5965
2022-10,9.6648,41.7445
2022-11,18.804,48.9584
2022-12,21.9984,39.838
2023-01,29.0151,48.5632
2023-02,21.7172,44.2258
2023-03,31.0405,48.9578
2023-04,31.7642,50.6836
2023-05,29.611,50.7741
2023-06,26.3631,59.884
2023-07,28.9195,64.3798
2023-08,26.9402,60.953
2023-09,20.5982,52.6248
2023-10,29.228,48.7132
2023-11,32.1518,61.6976
2023-12,33.4509,68.3392
2024-01,31.5531,71.0275
2024-02,31.7803,79.0476
2024-03,42.7796,83.99
2024-04,46.5432,75.7344
2024-05,48.3847,83.6813
2024-06,47.6526,89.2836
2024-07,55.0308,90.5002
2024-08,57.6782,94.0822
2024-09,65.6942,98.2932
2024-10,72.0806,95.412
2024-11,65.9885,105.8418
2024-12,62.9923,99.9875
2025-01,74.0406,105.351
2025-02,76.4362,101.7087
2025-03,92.2409,89.4719
2025-04,101.6935,87.0451
2025-05,100.5985,97.8575
2025-06,100.3929,107.0685
2025-07,98.1926,110.7404
2025-08,107.0641,114.0337
2025-09,131.3919,121.6081
2025-10,138.3325,125.7153
2025-11,149.7405,125.0226
2025-12,153.737,124.0393
2026-01,216.5988,128.5087
