Date,rate_ALB_5D,rate_VOO_20D
2015-01,-17.533982668876636,-1.5187923889160015
2015-02,3.5538180370330963,3.8071258697509824
2015-03,-3.716011327266688,0.9870010566711552
2015-04,9.623874413681044,1.746629016113288
2015-05,8.553028502464311,2.445587430318219
2015-06,-0.8581999721526956,0.0477881883893749
2015-07,-2.5418976302146845,2.036103009223944
2015-08,-18.352880214267294,-4.434967023213698
2015-09,-17.51652106552123,-6.094757460784894
2015-10,1.6906691830375076,2.2972502372048176
2015-11,1.4721330959002188,2.398872646331806
2015-12,6.670155259205757,0.3434960068922743
2016-01,-0.1652610769271811,-4.5265344189235
2016-02,6.564202796936036,-4.447794154357898
2016-03,20.9576577910185,2.171966619014753
2016-04,23.746055829777447,2.3246705228020303
2016-05,45.0037952174081,3.9153939569261498
2016-06,44.54990424678202,4.007219793620864
2016-07,50.87333679857255,7.591767202377331
2016-08,41.04580883834477,7.3427814701625405
2016-09,49.26253028635548,7.017378379128214
2016-10,43.79589756053428,4.79815843200686
2016-11,49.16152134760223,8.494437102635711
2016-12,44.908891785964975,10.390348872680688
2017-01,53.962680692305966,11.902453886472264
2017-02,66.43931787342497,15.760153024461545
2017-03,71.20688079827173,15.283810029711065
2017-04,73.96990368540534,15.93482710608123
2017-05,78.84631325270335,16.99472089004519
2017-06,64.26753510745881,17.136490282858574
2017-07,77.97866281145811,18.973663158416755
2017-08,76.25197596341916,18.72022998116236
2017-09,104.44294866006518,20.554446462743424
2017-10,108.20431310822624,22.72431485203337
2017-11,95.6077100993792,25.80143076578778
2017-12,84.27105328992897,26.694785989297426
2018-01,58.79579995853024,32.97912183560825
2018-02,41.60974920561375,27.21647653804682
2018-03,30.33539345326424,23.43975021057132
2018-04,35.592481779377664,23.331214828119062
2018-05,29.870448834146774,25.716743728637702
2018-06,30.79765795752061,26.031394522023767
2018-07,29.92813220071793,29.88570159218531
2018-08,31.14182877294753,33.3629765197754
2018-09,36.70457025979914,33.39186091414743
2018-10,35.127222312805515,23.63490579613221
2018-11,30.343493822455404,25.43083116912843
2018-12,4.157381049681708,13.860632068867584
2019-01,8.977238500404372,22.547362749481216
2019-02,23.00159259852244,26.04936132857381
2019-03,10.53417007838764,27.93759908617461
2019-04,0.9806098878608616,32.51380344923489
2019-05,-14.83618128405675,23.55286447510896
2019-06,-4.556334889394575,31.70749703785292
2019-07,-1.026007384129923,33.02749968583245
2019-08,-16.17555526408814,30.286058028104023
2019-09,-4.75026482131562,32.31782306144977
2019-10,-16.68760955632742,34.65150947260454
2019-11,-10.13848011198043,38.90057973098757
2019-12,1.1321196081130358,42.375736499974
2020-01,11.135696378861716,41.62131723047074
2020-02,13.110159684347744,29.54274054463706
2020-03,-21.81318045866488,12.971101223230374
2020-04,-14.392613300382164,27.26035770651012
2020-05,7.019276011380282,32.88549295471657
2020-06,8.35080955243468,34.81823012223886
2020-07,15.599489923364995,42.17245981048136
2020-08,27.30087399579477,51.40202544403076
2020-09,24.88993095523291,44.99920079204014
2020-10,30.05450003863053,40.68799906265905
2020-11,89.00874936183294,55.410648550775335
2020-12,104.27497467746475,60.41113064648356
2021-01,123.6176973794989,57.97923472110647
2021-02,114.5030638993836,61.51733496144614
2021-03,98.5006824821171,68.00671372132554
2021-04,126.9353212513614,75.92918081238984
2021-05,123.8582296601809,76.11243976094173
2021-06,124.58923570343212,79.09260324125655
2021-07,172.7243105531216,82.44034046831132
2021-08,210.88361984210547,86.77093159061009
2021-09,185.6426426179002,77.0618687722741
2021-10,224.15494338286064,88.49488706979409
2021-11,242.00946967928752,86.06099329585122
2021-12,198.03584045621085,93.48972903307748
2022-01,179.24164843106826,82.32639568107074
2022-02,145.95648968106852,75.96182444052862
2022-03,176.40265943540228,81.72837395000458
2022-04,139.26200531533058,64.93005920315862
2022-05,220.9980007728153,64.6197346924676
2022-06,156.14473331363388,50.39307302864833
2022-07,197.45070074782163,63.58333843703892
2022-08,223.90684824449272,56.17968473725681
2022-09,217.75251247507455,41.2747016276096
2022-10,233.81182424175867,52.22623274688723
2022-11,229.1485527851184,60.02454893517495
2022-12,155.374314455288,50.26396560377928
2023-01,229.33040431427463,59.16941207317432
2023-02,195.4647039399966,54.60521211219558
2023-03,155.59829563076022,59.7658106884003
2023-04,113.18887932076788,61.69379274281417
2023-05,121.33798727772285,61.85999905223474
2023-06,154.19235972087822,71.72745354772772
2023-07,140.43408107123008,76.66095577936906
2023-08,123.82826364851454,73.06739882659912
2023-09,90.94379325280102,64.21148196547888
2023-10,41.77892282364751,60.0562732272282
2023-11,35.27372565350711,74.10482466824853
2023-12,61.19904922257871,81.34790403586571
2024-01,27.580602217171425,83.50704034000745
2024-02,52.94049660615665,92.2476013016572
2024-03,46.14486526169097,97.68817033011574
2024-04,33.10971752180254,88.93486037296532
2024-05,35.34190617056061,97.6002416556509
2024-06,5.621623641636075,103.757233514736
2024-07,3.5097986724458963,105.20664718055728
2024-08,-0.2963611388899223,109.200462355198
2024-09,5.17294406166724,112.817132266869
2024-10,5.150928029741575,109.86680137371415
2024-11,19.458104379145325,121.241410570844
2024-12,-4.29628543529037,115.09323020449554
2025-01,-4.034956706437898,119.94086836599136
