Date,rate_381180.KS_5D,rate_VOO_20D
2021-04,0.0,2.3053
2021-05,0.3988,2.2445
2021-06,6.9607,4.8355
2021-07,5.2176,7.7627
2021-08,9.9391,11.6092
2021-09,5.3699,2.2289
2021-10,6.6282,12.7724
2021-11,22.1544,10.269
2021-12,23.6406,17.5107
2022-01,3.4555,3.2672
2022-02,5.3343,0.2172
2022-03,11.9342,5.4703
2022-04,-1.2333,-10.3555
2022-05,-0.7072,-10.7495
2022-06,-14.2407,-24.0927
2022-07,-0.4339,-11.8734
2022-08,-3.8428,-18.8518
2022-09,-11.0302,-32.7863
2022-10,-9.2178,-22.6384
2022-11,-6.5219,-15.4244
2022-12,-16.5631,-24.1619
2023-01,-5.6752,-15.8197
2023-02,5.4081,-20.1571
2023-03,12.1531,-15.4251
2023-04,5.799,-13.6993
2023-05,24.7915,-13.6088
2023-06,26.4377,-4.4988
2023-07,28.7196,-0.3193
2023-08,27.5786,-3.4299
2023-09,18.6389,-12.2779
2023-10,12.3887,-15.6697
2023-11,26.8978,-2.6853
2023-12,41.5496,4.4044
2024-01,48.7429,6.6446
2024-02,57.3579,14.6647
2024-03,68.9776,19.6072
2024-04,65.3711,11.3515
2024-05,79.7749,19.2984
2024-06,86.0929,24.9008
2024-07,70.1801,26.1174
2024-08,62.3342,29.6993
2024-09,59.5154,33.9104
2024-10,65.7333,31.0291
2024-11,58.7759,41.4589
2024-12,72.6426,36.4098
2025-01,69.181,40.9681
2025-02,56.1773,37.3258
2025-03,40.2993,25.089
2025-04,33.2329,22.6623
2025-05,50.3246,33.4747
2025-06,67.5755,42.6856
2025-07,75.7067,46.3576
2025-08,75.3782,49.6509
2025-09,90.4642,57.2253
2025-10,120.2034,61.3324
2025-11,113.4412,60.6397
2025-12,112.9623,61.2885
2026-01,144.3296,64.1223
