Date,rate_LUV_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,9.6316,0.3631
2016-03,14.5734,6.1635
2016-04,10.2778,4.8532
2016-05,4.0027,5.5092
2016-06,-3.4445,4.9516
2016-07,-8.7934,8.0529
2016-08,-7.9929,7.2728
2016-09,-2.1286,6.525
2016-10,0.7477,4.0384
2016-11,11.4576,7.3996
2016-12,17.898,9.0221
2017-01,21.9523,10.0556
2017-02,33.0274,13.4646
2017-03,21.9694,12.6934
2017-04,26.1384,13.0265
2017-05,33.1995,13.8264
2017-06,36.1609,13.7461
2017-07,20.0019,15.2839
2017-08,12.3516,14.8547
2017-09,19.9912,16.4705
2017-10,14.57,18.391
2017-11,28.2272,21.1572
2017-12,37.3958,21.8357
2018-01,26.586,27.5767
2018-02,19.7773,19.4887
2018-03,16.9302,15.9328
2018-04,9.1922,14.9578
2018-05,5.2893,17.1859
2018-06,5.022,17.444
2018-07,19.7942,20.9505
2018-08,26.0232,24.1299
2018-09,27.5511,24.1209
2018-10,0.903,14.1084
2018-11,11.4893,15.0224
2018-12,-5.0653,4.4886
2019-01,15.9713,12.5608
2019-02,14.0363,15.8612
2019-03,2.3752,17.612
2019-04,6.8483,21.8639
2019-05,-1.9658,16.0646
2019-06,-0.1399,19.9808
2019-07,1.2921,21.2252
2019-08,2.4972,18.3328
2019-09,5.3849,20.1882
2019-10,5.915,20.3259
2019-11,8.6202,24.2116
2019-12,1.9728,27.349
2020-01,3.7786,26.2815
2020-02,-1.3659,19.8213
2020-03,-11.3846,15.7478
2020-04,-26.9171,30.3559
2020-05,-25.9595,35.9447
2020-06,-18.0632,35.2146
2020-07,-23.8357,39.5903
2020-08,-10.9461,48.5304
2020-09,-11.2735,40.6583
2020-10,-10.1624,35.284
2020-11,-3.3888,43.8758
2020-12,-2.1813,48.4488
2021-01,-7.495,45.6177
2021-02,11.6016,42.6536
2021-03,12.0348,44.2697
2021-04,11.5897,51.1309
2021-05,6.1004,46.9645
2021-06,-8.4126,49.5312
2021-07,-12.6997,52.4159
2021-08,-13.7835,56.1018
2021-09,-10.7258,48.0813
2021-10,-17.8716,56.0144
2021-11,-22.7084,53.5374
2021-12,-21.3821,55.8343
2022-01,-20.7707,46.4571
2022-02,-22.8566,38.1483
2022-03,-18.2004,42.2675
2022-04,-23.7839,34.5494
2022-05,-27.6274,36.0289
2022-06,-38.1139,21.1749
2022-07,-35.1103,31.8752
2022-08,-37.1541,26.0562
2022-09,-46.8517,14.2993
2022-10,-36.7611,23.2183
2022-11,-30.1161,29.7022
2022-12,-35.1711,24.5108
2023-01,-35.0421,29.2932
2023-02,-36.9837,25.9536
2023-03,-36.1836,29.4041
2023-04,-40.8564,31.1074
2023-05,-40.5912,31.3785
2023-06,-27.0629,39.5074
2023-07,-30.9689,43.6112
2023-08,-34.1712,39.288
2023-09,-42.6326,32.2789
2023-10,-52.5384,29.0551
2023-11,-44.8585,40.4823
2023-12,-36.8732,46.4584
2024-01,-34.3331,48.2956
2024-02,-24.4109,55.4714
2024-03,-28.2894,59.9707
2024-04,-35.7878,54.3559
2024-05,-35.6063,58.7198
2024-06,-30.5962,63.7565
2024-07,-35.1383,62.4775
2024-08,-29.5665,65.2821
2024-09,-29.271,63.7333
2024-10,-30.9407,61.5953
2024-11,-28.5033,70.4058
2024-12,-25.0878,65.7986
2025-01,-31.2829,69.6123
2025-02,-30.2181,66.3646
2025-03,-29.1238,60.3871
2025-04,-32.4342,59.1236
2025-05,-19.2388,68.5307
2025-06,-24.9427,76.5585
2025-07,-30.9106,79.9077
2025-08,-27.4217,82.9229
2025-09,-28.9766,88.6543
2025-10,-32.3417,92.3724
2025-11,-22.0366,92.0168
2025-12,-6.8187,91.3981
2026-01,-4.0691,92.8862
