Date,rate_ANET_5D,rate_VOO_20D
2015-01,0.0,-2.87
2015-02,7.0411,1.8741
2015-03,7.2064,-1.1961
2015-04,-2.1567,-0.5074
2015-05,5.9972,0.4437
2015-06,22.8148,-1.6563
2015-07,23.3957,0.2551
2015-08,7.8381,-5.4989
2015-09,-8.3874,-7.1869
2015-10,-6.6352,0.8645
2015-11,6.2084,-1.3205
2015-12,2.6984,-3.1359
2016-01,-13.2122,-7.1768
2016-02,-4.2012,-6.9314
2016-03,-11.4286,-0.3336
2016-04,-5.7248,-0.0961
2016-05,4.0125,1.5411
2016-06,-1.4818,1.7445
2016-07,2.4927,5.3334
2016-08,14.3779,5.1994
2016-09,21.3294,4.966
2016-10,19.955,2.8734
2016-11,33.2514,6.511
2016-12,34.6919,8.4495
2017-01,29.3369,9.9149
2017-02,62.2624,13.704
2017-03,77.8265,13.3173
2017-04,84.697,13.9747
2017-05,91.8988,15.0733
2017-06,91.8974,15.2615
2017-07,88.2733,17.0881
2017-08,118.4957,16.8883
2017-09,131.3164,18.7322
2017-10,139.8753,20.9116
2017-11,175.2289,23.9695
2017-12,173.3025,24.8923
2018-01,214.4389,31.063
2018-02,157.4644,22.8192
2018-03,142.1939,19.3155
2018-04,138.9321,18.4066
2018-05,124.0376,20.7867
2018-06,126.259,21.1604
2018-07,121.747,24.8831
2018-08,155.9431,28.2921
2018-09,124.6503,28.4054
2018-10,92.6429,18.0537
2018-11,85.9296,19.0295
2018-12,62.6261,8.1617
2019-01,64.5007,16.4835
2019-02,116.6718,19.9102
2019-03,136.43,21.7664
2019-04,132.2552,26.2019
2019-05,80.696,20.2508
2019-06,90.1972,24.3254
2019-07,97.9001,25.6671
2019-08,87.2632,22.6997
2019-09,95.7826,24.6584
2019-10,98.7271,24.8127
2019-11,57.5999,28.8734
2019-12,63.3041,32.1822
2020-01,78.1707,31.139
2020-02,71.6777,24.4763
2020-03,80.0619,20.2578
2020-04,93.739,35.4305
2020-05,85.4085,41.2871
2020-06,70.7347,40.5874
2020-07,103.0881,45.1986
2020-08,70.7601,54.5878
2020-09,58.6896,46.4503
2020-10,58.6502,40.9236
2020-11,74.5016,49.9243
2020-12,77.2487,54.7698
2021-01,77.8971,51.9006
2021-02,73.277,48.8637
2021-03,81.5164,50.6088
2021-04,88.3593,57.8375
2021-05,101.5452,53.5202
2021-06,113.7924,56.2614
2021-07,115.0572,59.3395
2021-08,107.5433,63.2606
2021-09,91.8117,54.9349
2021-10,127.2844,63.2893
2021-11,176.343,60.7521
2021-12,194.9097,63.2192
2022-01,152.2237,53.4519
2022-02,146.6779,44.763
2022-03,164.7602,49.1136
2022-04,140.5687,41.0549
2022-05,128.1226,42.6143
2022-06,99.2556,27.0609
2022-07,146.4725,38.2653
2022-08,151.7068,32.1672
2022-09,140.2207,19.822
2022-10,134.1164,29.1549
2022-11,168.1315,35.9228
2022-12,148.6157,30.4761
2023-01,164.4655,35.4662
2023-02,182.7616,31.9626
2023-03,212.454,35.5645
2023-04,206.0238,37.3478
2023-05,238.338,37.6289
2023-06,227.3894,46.1373
2023-07,211.2185,50.4439
2023-08,289.0662,45.9146
2023-09,261.0664,38.5778
2023-10,256.6296,35.2022
2023-11,270.9441,47.1656
2023-12,294.9048,53.442
2024-01,330.7458,55.3892
2024-02,336.6197,62.9214
2024-03,340.7953,67.6656
2024-04,320.0354,61.8
2024-05,358.5675,66.3859
2024-06,436.1647,71.7031
2024-07,409.8486,70.3842
2024-08,415.6238,73.3546
2024-09,418.4064,71.7534
2024-10,431.5373,69.539
2024-11,393.4401,78.813
2024-12,434.0024,74.0068
2025-01,452.9306,78.0327
2025-02,343.5052,74.6402
2025-03,262.6646,68.4006
2025-04,293.0196,67.0822
2025-05,311.374,76.9787
2025-06,336.6802,85.4388
2025-07,423.5129,88.9831
2025-08,476.501,92.1565
2025-09,476.1143,98.221
2025-10,486.3671,102.1535
2025-11,385.4349,98.4537
