Date,rate_WWD_5D,rate_VOO_20D
2015-01,0.0,0.0
2015-02,3.1817,0.0
2015-03,6.2915,0.0
2015-04,0.0041,0.0
2015-05,4.2548,0.0
2015-06,10.7387,0.0
2015-07,0.7703,0.0
2015-08,-4.3073,0.0
2015-09,-9.8951,0.0
2015-10,-1.1348,3.6497
2015-11,9.7029,3.7455
2015-12,7.2126,1.9412
2016-01,-0.2427,-2.1058
2016-02,1.2101,-2.0465
2016-03,11.731,4.5958
2016-04,15.4571,4.6678
2016-05,20.0148,6.0348
2016-06,20.2269,6.0052
2016-07,20.2154,8.8419
2016-08,27.6515,8.5221
2016-09,25.946,8.1581
2016-10,18.5596,6.4256
2016-11,34.2004,8.8542
2016-12,35.3429,9.9932
2017-01,35.0625,10.8697
2017-02,35.4121,13.1541
2017-03,29.8434,12.7759
2017-04,28.4037,13.0335
2017-05,28.3752,13.5199
2017-06,26.6285,13.4889
2017-07,29.3159,14.3611
2017-08,29.0069,14.1067
2017-09,38.5596,14.9259
2017-10,37.0754,15.8935
2017-11,36.2288,17.2741
2017-12,34.2014,17.5737
2018-01,32.0874,20.4026
2018-02,20.4019,17.6205
2018-03,20.9939,15.7758
2018-04,20.8239,15.5789
2018-05,26.8387,16.4897
2018-06,27.9622,16.5087
2018-07,37.2765,17.9951
2018-08,32.6089,19.2988
2018-09,32.3504,19.187
2018-10,21.0523,15.1829
2018-11,36.4076,14.4171
2018-12,20.6757,4.2937
2019-01,46.918,12.2845
2019-02,55.122,15.6132
2019-03,51.7724,17.4547
2019-04,72.6383,21.6124
2019-05,71.5796,14.0027
2019-06,76.8328,21.0489
2019-07,73.7603,22.2753
2019-08,66.4629,20.0901
2019-09,65.218,21.829
2019-10,62.3512,23.7725
2019-11,76.6276,27.2379
2019-12,77.8245,30.0194
2020-01,73.4536,29.4944
2020-02,53.7634,20.2629
2020-03,-2.4984,8.4845
2020-04,-2.4565,22.7049
2020-05,10.7054,28.1828
2020-06,24.956,30.009
2020-07,20.4465,37.101
2020-08,37.0708,45.8802
2020-09,27.8227,39.9312
2020-10,26.3611,35.5284
2020-11,77.0175,49.6786
2020-12,91.1037,54.5189
2021-01,75.1207,52.2411
2021-02,77.5521,55.6209
2021-03,86.318,61.7266
2021-04,91.871,69.0844
2021-05,94.2135,69.2688
2021-06,86.44,71.9928
2021-07,83.3824,75.0309
2021-08,81.6552,78.9108
2021-09,69.0872,70.226
2021-10,67.8861,80.4883
2021-11,56.5698,78.2208
2021-12,61.2469,85.2769
2022-01,61.7056,74.8119
2022-02,82.1609,68.9055
2022-03,81.6317,74.3364
2022-04,59.7238,58.391
2022-05,51.9461,57.6005
2022-06,37.1937,42.7042
2022-07,53.8754,52.5668
2022-08,36.5305,45.7242
2022-09,17.5628,31.9774
2022-10,33.9927,42.1973
2022-11,39.8871,49.5417
2022-12,40.6462,40.5662
2023-01,48.3322,48.8507
2023-02,43.4725,44.6807
2023-03,40.7025,49.5038
2023-04,38.3385,51.3551
2023-05,51.578,51.5723
2023-06,70.3009,60.7646
2023-07,71.698,65.348
2023-08,83.8853,62.1091
2023-09,76.4302,54.0951
2023-10,76.0312,50.38
2023-11,85.1428,63.308
2023-12,85.6504,70.1306
2024-01,87.0762,72.186
2024-02,91.5883,80.321
2024-03,107.5918,85.3742
2024-04,108.3386,77.3996
2024-05,133.1983,85.332
2024-06,118.2957,90.9536
2024-07,96.601,89.9908
2024-08,107.1507,91.7161
2024-09,112.2876,95.0735
2024-10,100.466,92.4506
2024-11,111.0779,102.8149
2024-12,98.2974,97.3316
2025-01,109.3889,101.7169
2025-02,109.1828,98.4115
2025-03,102.3824,91.1933
