Date,rate_AVAV_5D,rate_VOO_20D
2015-01,0.0,0.0
2015-02,0.0,0.0
2015-03,0.0,0.0
2015-04,0.0,0.0
2015-05,0.0,0.0
2015-06,0.0,0.0
2015-07,0.0,0.0
2015-08,0.0,0.0
2015-09,0.0,0.0
2015-10,0.0,0.0
2015-11,0.0,0.0
2015-12,0.0,0.0
2016-01,0.0,0.0
2016-02,0.0,0.0
2016-03,0.0,0.0
2016-04,0.0,0.0
2016-05,0.0,0.0
2016-06,0.0,0.0
2016-07,0.0,0.0
2016-08,0.0,0.0
2016-09,0.0,0.0
2016-10,0.0,0.0
2016-11,0.0,0.0
2016-12,0.0,0.0
2017-01,0.0,0.0
2017-02,0.0,0.0
2017-03,0.0,0.0
2017-04,0.0,0.0
2017-05,0.0,0.0
2017-06,0.0,0.0
2017-07,0.0,0.0
2017-08,0.0,0.0
2017-09,0.0,0.0
2017-10,0.0,0.0
2017-11,0.0,0.0
2017-12,0.0,0.0
2018-01,0.0,0.0
2018-02,0.0,0.0
2018-03,0.0,0.0
2018-04,0.0,0.0
2018-05,0.0,0.0
2018-06,0.0,0.0
2018-07,0.0,0.0
2018-08,0.0,0.0
2018-09,0.0,0.0
2018-10,0.0,0.0
2018-11,0.0,0.0
2018-12,0.0,0.0
2019-01,0.0,0.0
2019-02,0.0,0.0
2019-03,0.0,0.0
2019-04,0.0,0.0
2019-05,0.0,0.0
2019-06,0.0,0.0
2019-07,0.0,0.0
2019-08,0.0,0.0
2019-09,0.0,0.0
2019-10,0.0,0.0
2019-11,0.0,0.0
2019-12,0.0,0.0
2020-01,0.0,0.0
2020-02,0.0,0.0
2020-03,0.0,0.0
2020-04,0.0,0.0
2020-05,0.0,0.0
2020-06,0.0,0.0
2020-07,0.0,0.0
2020-08,0.0,0.0
2020-09,0.0,0.0
2020-10,0.0,0.0
2020-11,0.0,0.0
2020-12,0.0,0.0
2021-01,0.0,0.0
2021-02,0.0,0.0
2021-03,0.0,0.0
2021-04,0.0,0.0
2021-05,0.0,0.0
2021-06,0.0,0.0
2021-07,0.0,0.0
2021-08,0.0,0.0
2021-09,0.0,0.0
2021-10,0.0,0.0
2021-11,0.0,0.0
2021-12,-3.1805,0.7107
2022-01,-11.1363,-4.5767
2022-02,11.0433,-8.6862
2022-03,46.922,-5.5597
2022-04,43.7356,-10.6758
2022-05,56.7056,-8.5222
2022-06,40.3721,-18.7193
2022-07,38.6674,-11.0589
2022-08,49.0679,-12.6515
2022-09,37.0267,-15.5533
2022-10,54.7511,-11.8536
2022-11,55.0319,-6.8774
2022-12,46.1758,-10.6391
2023-01,45.1135,-6.1328
2023-02,37.8878,-8.2731
2023-03,40.0638,-5.6993
2023-04,53.1948,-4.155
2023-05,36.0655,-3.6641
2023-06,48.5699,2.6087
2023-07,37.944,5.9237
2023-08,35.2849,3.2089
2023-09,54.548,-1.7187
2023-10,54.1132,-3.8551
2023-11,84.2927,4.9469
2023-12,65.9157,9.6927
2024-01,57.4285,8.5139
2024-02,64.8707,14.0533
2024-03,91.0342,17.6482
2024-04,92.6992,13.795
2024-05,140.7447,17.3912
2024-06,130.2077,21.405
2024-07,133.5606,20.7377
2024-08,165.259,23.9053
2024-09,136.4057,23.5863
2024-10,152.6276,22.224
2024-11,128.1408,29.1721
2024-12,104.2203,25.2663
2025-01,138.0219,26.0813
2025-02,106.8189,23.918
2025-03,86.3077,20.1511
2025-04,135.9007,19.8724
2025-05,155.8622,27.2016
2025-06,241.112,33.4971
2025-07,199.5021,36.2713
2025-08,185.9901,37.276
