Date,rate_ENS_5D,rate_VOO_20D
2015-01,-2.3883,-3.5197
2015-02,8.9843,1.8044
2015-03,5.3246,-0.0031
2015-04,9.3701,0.6581
2015-05,5.4138,1.4146
2015-06,10.1398,-0.516
2015-07,-1.8146,1.3304
2015-08,-12.2331,-4.829
2015-09,-9.9334,-6.1229
2015-10,3.4698,2.1368
2015-11,-0.0589,2.2508
2015-12,-4.264,-0.7698
2016-01,-15.8649,-5.1088
2016-02,-9.2868,-4.9945
2016-03,-0.5812,2.077
2016-04,3.9977,2.2452
2016-05,6.854,3.8
2016-06,5.5024,4.3147
2016-07,10.033,7.8708
2016-08,23.4147,7.6189
2016-09,20.8826,7.5735
2016-10,12.8212,5.3233
2016-11,37.1043,8.9494
2016-12,33.6547,11.3964
2017-01,31.9284,12.8026
2017-02,28.6385,16.5976
2017-03,31.701,16.5387
2017-04,37.5434,17.1241
2017-05,21.4383,18.1609
2017-06,18.4793,18.7033
2017-07,17.5936,20.4948
2017-08,3.8089,20.1994
2017-09,12.3237,22.5091
2017-10,12.2876,24.6676
2017-11,11.4452,27.7179
2017-12,12.5155,29.0685
2018-01,13.2714,35.396
2018-02,9.6579,26.9228
2018-03,1.5794,23.6572
2018-04,0.7124,22.7301
2018-05,17.1335,25.1198
2018-06,9.4438,25.8898
2018-07,19.9877,29.6763
2018-08,20.8999,33.123
2018-09,26.9259,33.6258
2018-10,17.8946,26.1165
2018-11,26.9068,27.1982
2018-12,13.0365,15.9172
2019-01,23.8639,24.7233
2019-02,6.8241,28.2547
2019-03,-5.1663,30.6682
2019-04,0.7057,35.3003
2019-05,-18.1611,26.2259
2019-06,0.3905,34.9076
2019-07,-0.1829,36.2153
2019-08,-17.8878,33.3823
2019-09,-2.4599,35.9202
2019-10,-1.0424,38.2379
2019-11,3.7785,42.5557
2019-12,10.9873,46.5753
2020-01,6.6256,45.7585
2020-02,-9.0308,33.2755
2020-03,-25.9665,19.1409
2020-04,-12.0161,34.7484
2020-05,-4.354,40.6205
2020-06,-2.2647,43.116
2020-07,2.1098,50.7795
2020-08,9.186,60.4646
2020-09,2.2361,54.114
2020-10,8.1186,49.4303
2020-11,19.2579,60.0664
2020-12,21.2227,65.6694
2021-01,21.6971,62.5841
2021-02,23.2386,61.206
2021-03,15.482,68.1098
2021-04,16.2221,76.0477
2021-05,19.3819,71.8331
2021-06,23.8951,75.2153
2021-07,24.7601,78.5218
2021-08,6.7229,82.7652
2021-09,-5.7031,73.7143
2021-10,1.4214,84.9314
2021-11,-6.1801,82.5506
2021-12,0.4889,85.1079
2022-01,-4.7927,74.4821
2022-02,-11.0459,66.0338
2022-03,-14.1327,71.1822
2022-04,-20.0095,61.0688
2022-05,-15.1246,64.0634
2022-06,-23.5491,45.415
2022-07,-15.9857,58.2126
2022-08,-16.5433,54.5835
2022-09,-18.2912,48.8478
2022-10,-12.1086,54.573
2022-11,-1.619,62.484
2022-12,-2.2643,54.6458
2023-01,7.1975,61.6846
2023-02,14.3196,57.2889
2023-03,14.1402,61.458
2023-04,8.888,63.395
2023-05,27.5357,63.542
2023-06,42.3588,73.9847
2023-07,33.9326,78.9585
2023-08,32.8957,73.6878
2023-09,21.7304,65.2467
2023-10,9.8702,61.0425
2023-11,13.4452,75.1357
2023-12,29.7598,82.9537
2024-01,22.0955,80.0637
2024-02,19.7248,88.6458
2024-03,23.3755,94.4293
2024-04,17.9541,87.49
2024-05,40.4151,92.8061
2024-06,35.7411,99.322
2024-07,41.1792,97.6543
2024-08,33.5498,102.2951
2024-09,34.7837,99.3243
2024-10,29.3265,96.6173
2024-11,26.6038,101.2942
2024-12,21.3698,94.8734
2025-01,27.2714,95.6691
2025-02,25.5227,91.8634
2025-03,19.159,86.066
2025-04,16.1119,76.3122
