Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,69.97860717773438,70.34168815126496,70.64548898328614,69.68962355445782,69.97860717773438,3545700,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,69.97860717773438,0.0,PEP,0.3244,Hold,0.0,0,157.08819580078125
2015-01-05,69.45252227783203,69.98602669636738,70.43062219171334,69.44511084537186,69.45252227783203,6441000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,69.97860717773438,-0.048,PEP,0.3298,Hold,0.0,0,154.32833862304688
2015-01-06,68.92642974853516,69.7118777786325,70.11201040077245,68.86715523853731,68.92642974853516,6195000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,69.97860717773438,-0.1236,PEP,0.3315,Hold,0.0,0,152.810791015625
2015-01-07,70.94187927246094,70.48987811702678,71.30496587486876,69.97119104682285,70.94187927246094,6526300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,70.94187927246094,0.02,PEP,0.321,Hold,0.0,0,154.72023010253906
2015-01-08,72.23121643066406,71.68288348959004,72.54984018978188,71.63842620100924,72.23121643066406,7131600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,70.3061,0.0,0.0,0.0,0.0,72.23121643066406,0.2264,PEP,0.3133,Hold,0.0,0,157.4384002685547
2015-01-09,71.74217224121094,72.28309381459317,72.37200840241083,71.57174319244831,71.74217224121094,4061500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,70.6588,0.0,0.0,0.0,0.0,72.23121643066406,0.2986,PEP,0.3134,Hold,0.0,0,156.1127166748047
2015-01-12,71.44576263427734,71.83848372638681,72.12746738485477,71.27533927326606,71.44576263427734,4192700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,71.0575,0.0,0.0,0.0,0.0,72.23121643066406,0.3002,PEP,0.3198,Hold,0.0,0,154.9536895751953
2015-01-13,71.39388275146484,71.6309976560273,72.23860495229769,71.00116172077688,71.39388275146484,5371300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,71.551,0.0,0.0,0.0,0.0,72.23121643066406,0.2791,PEP,0.3243,Hold,0.0,0,154.5451202392578
2015-01-14,71.63103485107422,70.73444347596987,71.72736654102911,70.73444347596987,71.63103485107422,5127800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,71.6888,0.0,0.0,0.0,0.0,72.23121643066406,0.2703,PEP,0.3252,Hold,0.0,0,153.63626098632812
2015-01-15,71.63103485107422,71.97929878464123,72.11267634104416,71.41614847391014,71.63103485107422,4424000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,71.5688,0.0,0.0,0.0,0.0,72.23121643066406,0.2477,PEP,0.3247,Hold,0.0,0,152.20216369628906
