Date,rate_CSX_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-1.09,4.16,-5.25,0.0,-11.46,2.93,2.49,0.0
2015-04-29,7.14,3.8,3.34,100.0,97.31,3.34,2.83,-0.0
2015-06-25,-2.34,3.4,-5.74,27.39,-11.44,4.73,2.24,0.0
2015-08-21,-20.53,-2.77,-17.76,3.72,-1.44,4.73,2.59,0.0
2015-10-19,-20.3,0.19,-20.49,0.0,-17.76,4.73,2.62,0.0
2015-12-15,-23.01,0.99,-24.0,14.92,5.04,4.73,2.9,0.0
2016-02-12,-30.18,-8.03,-22.15,20.4,16.34,4.73,2.71,0.0
2016-04-12,-27.93,1.51,-29.44,1.53,-9.52,4.73,2.7,0.0
2016-06-08,-23.16,4.64,-27.8,6.25,-0.29,4.73,2.65,0.0
2016-08-04,-20.08,6.55,-26.63,9.63,6.95,4.73,2.72,0.0
2016-09-30,-13.6,6.55,-20.15,28.3,18.5,4.73,2.72,0.0
2016-11-28,-2.58,8.53,-11.11,54.35,21.73,4.73,2.63,0.0
2017-01-26,33.53,12.65,20.88,100.0,37.09,20.88,2.76,-0.02
2017-03-24,27.12,14.65,12.47,83.46,-8.46,20.88,2.99,-0.03
2017-05-22,39.85,17.16,22.69,95.26,0.65,25.31,2.97,-0.01
2017-07-19,40.21,20.55,19.66,82.76,-5.46,30.0,2.52,-0.02
2017-09-14,40.21,21.78,18.43,80.71,4.46,30.0,2.21,-0.02
2017-11-09,34.9,25.33,9.57,65.93,-17.31,30.0,1.94,-0.02
2018-01-09,57.15,32.87,24.28,90.46,4.2,30.0,1.74,-0.0
2018-03-08,48.82,32.18,16.64,77.72,8.44,30.0,1.58,0.05
2018-05-04,57.45,27.87,29.58,96.85,15.76,31.52,1.44,0.13
2018-07-02,67.28,30.25,37.03,93.51,-1.17,41.68,1.32,0.47
2018-08-28,94.06,38.61,55.45,99.07,-0.93,56.25,1.22,1.07
2018-10-24,69.72,26.38,43.34,85.03,-9.82,56.25,1.16,3.72
2018-12-21,55.84,14.29,41.55,82.77,-14.13,56.44,1.13,4.43
2019-02-21,84.12,31.47,52.65,95.61,13.14,56.44,1.14,2.4
2019-04-18,98.58,36.81,61.77,99.79,5.32,61.96,1.13,2.63
2019-06-17,91.82,36.1,55.72,91.93,-6.62,63.24,1.13,2.86
2019-08-13,65.78,37.04,28.74,62.99,-30.77,63.24,1.13,12.18
2019-10-09,64.61,35.98,28.63,62.87,-7.89,63.24,1.14,12.54
2019-12-05,74.27,45.14,29.13,63.41,-10.33,63.24,1.15,12.99
2020-02-04,90.16,52.49,37.67,72.57,10.41,63.24,1.16,6.71
2020-04-01,35.23,13.74,21.49,55.21,-10.57,63.24,1.19,13.59
2020-05-29,74.35,40.47,33.88,68.5,6.54,63.24,1.23,9.98
2020-07-27,73.49,48.57,24.92,58.89,3.49,63.24,1.25,9.57
2020-09-22,87.38,51.8,35.58,70.33,12.45,63.24,1.29,4.54
2020-11-17,120.15,64.37,55.78,92.0,22.08,63.24,1.31,1.48
2021-01-15,120.9,70.52,50.38,86.2,7.65,63.24,1.31,2.99
2021-03-16,116.16,78.86,37.3,72.17,0.92,63.24,1.3,4.34
2021-05-12,132.31,82.17,50.14,85.95,5.73,63.24,1.24,4.21
2021-07-09,121.44,94.62,26.82,60.93,-8.77,63.24,1.21,8.3
2021-09-03,121.22,101.38,19.84,53.44,-7.37,63.24,1.21,8.26
2021-11-01,144.63,103.4,41.23,76.39,22.26,63.24,1.22,4.06
2021-12-29,156.5,110.49,46.01,81.51,10.47,63.24,1.21,4.15
2022-02-25,133.11,91.86,41.25,76.41,2.15,63.24,1.2,5.69
2022-04-25,133.86,86.8,47.06,79.52,-4.88,66.9,1.18,5.98
2022-06-22,94.31,63.12,31.19,63.14,-7.07,66.9,1.17,12.4
2022-08-18,129.34,84.98,44.36,76.73,9.39,66.9,1.16,6.31
2022-10-14,82.38,53.85,28.53,60.39,-1.64,66.9,1.16,12.49
2022-12-12,113.2,70.93,42.27,74.57,1.4,66.9,1.17,6.05
2023-02-09,105.06,73.66,31.4,63.35,-14.08,66.9,1.17,12.15
2023-04-10,96.73,73.97,22.76,54.43,-7.17,66.9,1.17,11.61
2023-06-06,108.15,81.01,27.14,58.96,-6.46,66.9,1.18,11.37
2023-08-03,113.19,88.91,24.28,56.0,-7.8,66.9,1.18,11.35
2023-09-29,99.01,79.47,19.54,51.11,13.52,66.9,1.2,11.01
2023-11-27,105.56,90.05,15.51,46.95,-1.47,66.9,1.23,13.63
2024-01-25,123.65,103.14,20.51,52.11,-5.14,66.9,1.24,7.41
2024-03-22,137.06,115.96,21.1,52.72,-12.22,66.9,1.23,7.0
2024-05-20,111.41,118.46,-7.05,23.66,-20.8,66.9,1.26,0.0
2024-07-18,120.3,126.6,-6.3,24.43,11.06,66.9,1.34,0.0
2024-09-13,110.0,129.28,-19.28,11.04,-4.38,66.9,1.37,0.0
2024-10-22,108.41,136.39,-27.98,2.21,-8.82,66.9,1.43,0.0
