Date,rate_LDOS_5D,rate_VOO_20D
2016-01,-8.2264,0.7475
2016-02,-5.8673,0.3631
2016-03,10.9292,6.1635
2016-04,6.7052,4.8532
2016-05,4.9982,5.5092
2016-06,1.5626,4.9516
2016-07,5.5879,8.0529
2016-08,13.4478,7.2728
2016-09,19.5175,6.525
2016-10,13.1681,4.0384
2016-11,37.3194,7.3996
2016-12,35.0907,9.0221
2017-01,26.1183,10.0556
2017-02,36.2336,13.4646
2017-03,29.1848,12.6934
2017-04,31.184,13.0265
2017-05,36.4464,13.8264
2017-06,25.8531,13.7461
2017-07,28.5908,15.2839
2017-08,38.8177,14.8547
2017-09,39.8651,16.4705
2017-10,45.7063,18.391
2017-11,46.1239,21.1572
2017-12,47.3269,21.8357
2018-01,49.9561,27.5767
2018-02,35.3943,19.4887
2018-03,37.9765,15.9328
2018-04,32.7477,14.9578
2018-05,23.317,17.1859
2018-06,20.9615,17.444
2018-07,39.4645,20.9505
2018-08,42.9866,24.1299
2018-09,39.1954,24.1209
2018-10,24.1446,14.1084
2018-11,18.5527,15.0224
2018-12,-0.1728,4.4886
2019-01,9.7069,12.5608
2019-02,21.7999,15.8612
2019-03,19.0467,17.612
2019-04,34.3099,21.8639
2019-05,35.902,16.0646
2019-06,37.303,19.9808
2019-07,37.4765,21.2252
2019-08,37.7809,18.3328
2019-09,35.1684,20.1882
2019-10,32.3435,20.3259
2019-11,38.7214,24.2116
2019-12,49.0284,27.349
2020-01,51.3904,26.2815
2020-02,53.7055,19.8213
2020-03,47.3591,15.7478
2020-04,58.4676,30.3559
2020-05,56.7506,35.9447
2020-06,45.4165,35.2146
2020-07,52.4298,39.5903
2020-08,43.8961,48.5304
2020-09,41.2105,40.6583
2020-10,33.7704,35.284
2020-11,52.1467,43.8758
2020-12,57.5522,48.4488
2021-01,54.257,45.6177
2021-02,46.2479,42.6536
2021-03,49.7652,44.2697
2021-04,56.7096,51.1309
2021-05,58.0648,46.9645
2021-06,55.1375,49.5312
2021-07,62.3762,52.4159
2021-08,48.8916,56.1018
2021-09,45.7443,48.0813
2021-10,50.8832,56.0144
2021-11,32.2223,53.5374
2021-12,32.2951,55.8343
2022-01,29.6517,46.4571
2022-02,43.5389,38.1483
2022-03,52.0755,42.2675
2022-04,48.3197,34.5494
2022-05,48.7927,36.0289
2022-06,40.3189,21.1749
2022-07,48.4339,31.8752
2022-08,31.3494,26.0562
2022-09,21.1144,14.2993
2022-10,40.1325,23.2183
2022-11,50.242,29.7022
2022-12,47.7251,24.5108
2023-01,45.8801,29.2932
2023-02,42.8602,25.9536
2023-03,35.6153,29.4041
2023-04,36.9657,31.1074
2023-05,14.3864,31.3785
2023-06,29.9839,39.5074
2023-07,37.0467,43.6112
2023-08,40.6842,39.288
2023-09,38.0855,32.2789
2023-10,44.8722,29.0551
2023-11,56.2987,40.4823
2023-12,57.573,46.4584
2024-01,60.1821,48.2956
2024-02,84.6463,55.4714
2024-03,88.9585,59.9707
2024-04,98.6377,54.3559
2024-05,107.0022,58.7198
2024-06,104.8342,63.7565
2024-07,101.0286,62.4775
2024-08,114.5633,65.2821
2024-09,120.0631,63.7333
2024-10,145.9805,61.5953
2024-11,115.6968,70.4058
2024-12,106.3554,65.7986
2025-01,98.7002,69.6123
2025-02,81.1008,66.3646
2025-03,87.7954,60.3871
2025-04,103.9565,59.1236
2025-05,104.8837,68.5307
2025-06,110.4803,76.5585
2025-07,112.9698,79.9077
2025-08,125.4414,82.9229
2025-09,125.0661,88.6543
2025-10,119.1767,92.3724
2025-11,110.1755,92.0168
2025-12,98.0077,91.3981
2026-01,108.522,92.8862
