Date,rate_MPC_5D,rate_VOO_20D
2015-01,0.0,0.0
2015-02,5.3,-0.35
2015-03,14.44,4.6
2015-04,14.27,1.94
2015-05,15.15,4.33
2015-06,16.56,4.73
2015-07,20.85,3.2
2015-08,19.38,4.28
2015-09,3.92,-4.77
2015-10,8.05,-3.9
2015-11,19.11,5.1
2015-12,34.03,5.26
2016-01,15.62,1.0
2016-02,-5.69,-2.66
2016-03,-21.86,-0.37
2016-04,-18.21,4.54
2016-05,-13.71,5.02
2016-06,-17.18,6.16
2016-07,-11.34,6.47
2016-08,-12.19,9.95
2016-09,-5.08,10.1
2016-10,-6.99,9.72
2016-11,-4.12,7.28
2016-12,7.8,11.52
2017-01,18.45,14.95
2017-02,7.54,16.07
2017-03,15.0,22.08
2017-04,12.7,20.22
2017-05,14.51,21.74
2017-06,19.87,23.92
2017-07,19.65,23.82
2017-08,26.66,26.18
2017-09,22.64,26.28
2017-10,25.87,28.95
2017-11,36.16,31.39
2017-12,40.81,34.66
2018-01,49.64,37.37
2018-02,52.43,43.51
2018-03,44.82,36.23
2018-04,59.25,31.29
2018-05,61.13,34.9
2018-06,80.58,39.04
2018-07,55.55,38.51
2018-08,77.14,42.8
2018-09,84.98,47.04
2018-10,80.52,48.31
2018-11,56.25,38.82
2018-12,43.47,41.43
2019-01,32.66,27.27
2019-02,44.64,37.11
2019-03,39.59,42.13
2019-04,35.9,45.23
2019-05,33.35,47.96
2019-06,7.28,38.91
2019-07,24.16,50.0
2019-08,24.51,49.31
2019-09,13.45,46.99
2019-10,36.32,48.59
2019-11,49.09,54.8
2019-12,37.92,57.24
2020-01,39.92,64.28
2020-02,18.58,63.57
2020-03,10.2,55.55
2020-04,-47.93,24.36
2020-05,-29.42,42.6
2020-06,-12.05,53.87
2020-07,-13.82,56.74
2020-08,-7.3,65.47
2020-09,-14.09,77.08
2020-10,-29.89,69.51
2020-11,-22.27,65.67
2020-12,-3.97,83.19
2021-01,-1.21,84.94
2021-02,4.5,88.1
2021-03,32.64,94.26
2021-04,31.81,99.84
2021-05,34.55,108.06
2021-06,47.03,108.2
2021-07,44.11,113.63
2021-08,29.22,116.53
2021-09,36.28,122.92
2021-10,49.76,114.21
2021-11,57.5,126.35
2021-12,44.63,120.97
2022-01,54.73,134.44
2022-02,72.6,121.58
2022-03,75.54,109.79
2022-04,96.5,121.01
2022-05,105.37,101.76
2022-06,138.25,98.81
2022-07,95.23,85.35
2022-08,107.42,99.22
2022-09,122.09,91.68
2022-10,134.56,77.7
2022-11,169.41,85.97
2022-12,172.4,96.53
2023-01,151.36,84.1
2023-02,176.62,98.08
2023-03,190.77,89.89
2023-04,203.74,97.94
2023-05,174.37,99.66
2023-06,139.47,102.17
2023-07,163.92,113.13
2023-08,200.49,118.46
2023-09,224.69,115.46
2023-10,232.3,104.28
2023-11,242.28,101.57
2023-12,234.82,118.35
2024-01,235.7,124.96
2024-02,266.86,132.44
2024-03,279.43,143.0
2024-04,344.37,147.55
2024-05,288.91,136.52
2024-06,280.4,148.79
2024-07,279.18,157.23
2024-08,274.5,155.35
2024-09,276.34,158.98
2024-10,258.28,166.79
2024-11,209.58,167.14
