Date,rate_MKR-USD_5D,rate_VOO_20D
2017-11,0.0,3.1212
2017-12,129.6965,4.044
2018-01,172.0107,10.2147
2018-02,76.7061,1.9709
2018-03,-12.6279,-1.5328
2018-04,70.3951,-2.4417
2018-05,17.2172,-0.0617
2018-06,-17.402,0.3121
2018-07,-3.9448,4.0348
2018-08,-26.2425,7.4438
2018-09,-16.293,7.5571
2018-10,9.2099,-2.7946
2018-11,-19.4402,-1.8189
2018-12,-2.5353,-12.6866
2019-01,-20.4974,-4.3648
2019-02,44.5584,-0.9381
2019-03,48.5281,0.918
2019-04,13.5902,5.3536
2019-05,50.9306,-0.5975
2019-06,38.129,3.477
2019-07,16.2751,4.8188
2019-08,-6.4358,1.8513
2019-09,-15.5179,3.8101
2019-10,-8.4456,3.9644
2019-11,-7.9402,8.0251
2019-12,-26.4107,11.3338
2020-01,-5.9438,10.2906
2020-02,6.3187,3.628
2020-03,-8.7152,-0.5906
2020-04,10.4251,14.5822
2020-05,44.6768,20.4388
2020-06,55.0142,19.7391
2020-07,84.7777,24.3502
2020-08,115.2373,33.7395
2020-09,122.4266,25.602
2020-10,103.2497,20.0752
2020-11,93.2282,29.076
2020-12,94.4129,33.9214
2021-01,364.4017,31.0522
2021-02,417.4084,28.0154
2021-03,416.8913,29.7604
2021-04,946.0833,36.9892
2021-05,1029.8963,32.6719
2021-06,709.2794,35.4131
2021-07,788.0767,38.4911
2021-08,927.1822,42.4123
2021-09,667.8458,34.0866
2021-10,643.9398,42.441
2021-11,822.2151,39.9037
2021-12,702.7453,42.3709
2022-01,562.6493,32.6036
2022-02,489.1381,23.9146
2022-03,450.1186,28.2653
2022-04,384.7463,20.2066
2022-05,292.8958,21.766
2022-06,194.727,6.2126
2022-07,223.8473,17.4169
2022-08,122.1021,11.3189
2022-09,113.0566,-1.0263
2022-10,165.9316,8.3065
2022-11,154.526,15.0744
2022-12,94.9993,9.6278
2023-01,147.9755,14.6179
2023-02,117.6684,11.1143
2023-03,97.7129,14.7161
2023-04,94.7404,16.4994
2023-05,81.0338,16.7806
2023-06,134.6768,25.289
2023-07,242.8326,29.5955
2023-08,234.7345,25.0663
2023-09,339.773,17.7294
2023-10,276.4076,14.3539
2023-11,311.4504,26.3173
2023-12,352.5763,32.5937
2024-01,416.8844,34.5408
2024-02,446.0042,42.073
2024-03,912.2463,46.8173
2024-04,753.9982,40.9517
2024-05,709.4411,45.5375
2024-06,645.5227,50.8547
2024-07,681.5944,49.5358
2024-08,525.5593,52.5063
2024-09,486.3728,50.9051
2024-10,418.7192,48.6906
2024-11,657.0175,57.9646
2024-12,500.1546,53.1585
2025-01,358.4411,57.1844
2025-02,525.5861,53.7918
2025-03,443.635,47.5523
2025-04,437.7145,46.2338
2025-05,411.9796,56.1304
2025-06,517.6684,64.5905
2025-07,500.3162,68.1348
2025-08,355.0021,71.3082
2025-09,433.7986,77.3726
2025-10,391.7929,81.3052
2025-11,397.6517,77.6566
