Date,rate_453810_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2023-04-21,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2023-05-23,-0.11,4.1,-4.21,58.59,-41.41,0.83,0.34
2023-06-22,1.94,7.96,-6.02,43.71,-14.88,0.83,0.47
2023-07-20,4.8,8.67,-3.87,61.38,17.67,0.83,0.32
2023-08-18,6.06,12.87,-6.81,37.22,-24.16,0.83,0.52
2023-09-15,8.99,7.55,1.44,100.0,62.78,1.44,0.0
2023-10-20,7.78,12.07,-4.29,49.61,-50.39,2.87,1.45
2023-11-17,4.95,15.42,-10.47,6.12,-43.49,2.87,2.69
2023-12-15,11.79,11.9,-0.11,79.03,72.91,2.87,0.6
2024-01-17,16.26,15.09,1.17,80.61,1.58,4.18,0.81
2024-02-16,17.41,14.27,3.14,81.26,0.65,6.48,1.21
2024-03-18,17.1,18.05,-0.95,58.31,-22.95,6.48,2.7
2024-04-16,21.22,20.82,0.4,65.88,7.57,6.48,2.21
2024-05-17,19.54,24.49,-4.95,35.86,-30.02,6.48,4.16
2024-06-17,26.5,28.07,-1.57,54.83,18.97,6.48,2.93
2024-07-15,30.94,-6.46,37.4,100.0,45.17,37.4,0.0
2024-08-12,28.6,5.62,22.98,60.24,-39.76,45.63,18.14
2024-08-30,29.3,11.3,18.0,51.5,-26.44,45.63,22.13
