Date,rate_META_5D,rate_VOO_20D
2015-01-02,0.0,0.0
2015-03-03,3.23,4.16
2015-04-29,4.29,4.33
2015-06-25,13.94,4.4
2015-08-21,11.14,-1.85
2015-10-19,26.83,1.66
2015-12-15,34.02,2.44
2016-02-12,30.12,-6.18
2016-04-12,40.35,4.06
2016-06-08,49.36,7.23
2016-08-04,56.01,9.68
2016-09-30,60.41,10.15
2016-11-28,49.66,12.13
2017-01-26,64.2,17.06
2017-03-24,72.44,19.63
2017-05-22,80.88,22.18
2017-07-19,98.88,26.22
2017-09-14,105.52,27.43
2017-11-09,113.86,31.74
2018-01-09,122.34,40.26
2018-03-08,114.12,39.45
2018-05-04,105.96,35.44
2018-07-02,128.35,38.51
2018-08-28,103.21,47.37
2018-10-24,67.28,34.89
2018-12-21,42.35,22.56
2019-02-21,81.31,40.89
2019-04-18,100.7,47.33
2019-06-17,111.38,46.47
2019-08-13,109.3,48.14
2019-10-09,98.48,47.59
2019-12-05,118.52,57.43
2020-02-04,128.39,66.08
2020-04-01,72.72,24.36
2020-05-29,142.77,53.53
2020-07-27,150.01,63.11
2020-09-22,170.64,66.54
2020-11-17,189.94,80.97
2021-01-15,163.0,88.39
2021-03-16,190.07,97.48
2021-05-12,211.78,101.72
2021-07-09,258.22,116.12
2021-09-03,281.51,123.5
2021-11-01,232.01,126.35
2021-12-29,243.77,135.04
2022-02-25,113.62,114.12
2022-04-25,94.96,109.06
2022-06-22,77.77,82.44
2022-08-18,84.18,107.6
2022-10-14,63.09,73.3
2022-12-12,56.66,92.41
2023-02-09,71.25,96.29
2023-04-10,92.57,97.31
2023-06-06,125.29,105.16
2023-08-03,149.06,114.82
2023-09-29,140.62,104.81
2023-11-27,159.68,116.73
2024-01-25,192.66,132.47
2024-03-22,259.28,147.79
2024-05-20,233.14,150.52
2024-07-18,235.26,160.64
2024-09-13,261.19,163.58
2024-11-08,296.16,179.86
2024-11-13,290.72,179.47
