Date,rate_GM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.7078,-0.6039
2016-03,5.2237,5.2168
2016-04,5.8346,3.9893
2016-05,2.8946,4.6886
2016-06,-5.6246,4.1237
2016-07,5.6216,7.1795
2016-08,6.2158,6.3603
2016-09,6.2707,5.6281
2016-10,4.9287,3.196
2016-11,14.1391,6.7601
2016-12,14.7348,8.3626
2017-01,20.4873,10.2536
2017-02,19.7292,13.6522
2017-03,14.6422,12.7005
2017-04,11.5787,12.9818
2017-05,8.6318,13.693
2017-06,12.401,13.5288
2017-07,14.9105,15.0481
2017-08,16.0627,14.5515
2017-09,28.4166,16.1037
2017-10,34.9489,17.9557
2017-11,33.6631,20.6805
2017-12,26.936,21.3029
2018-01,31.2886,28.0338
2018-02,20.5846,22.1441
2018-03,11.8981,18.3021
2018-04,12.7222,18.0902
2018-05,30.4764,20.2208
2018-06,20.4857,20.3415
2018-07,15.2189,23.8746
2018-08,9.1346,27.0072
2018-09,3.0813,27.7347
2018-10,11.8138,18.1437
2018-11,15.5789,19.7418
2018-12,2.5674,8.5778
2019-01,19.4462,17.1263
2019-02,20.2793,20.3748
2019-03,13.6186,22.0514
2019-04,18.7928,26.2651
2019-05,1.2582,17.5943
2019-06,18.0839,25.308
2019-07,23.1038,26.4355
2019-08,12.6618,23.7232
2019-09,14.9988,26.1617
2019-10,13.7724,28.2707
2019-11,9.8446,32.1761
2019-12,12.5951,35.3247
2020-01,2.8232,35.2749
2020-02,-6.1775,23.5454
2020-03,-34.8633,7.7105
2020-04,-29.0552,21.425
2020-05,-16.7669,26.7132
2020-06,-18.3802,28.4357
2020-07,-19.3163,35.3124
2020-08,-3.5745,43.9511
2020-09,-3.6546,37.6938
2020-10,12.4394,33.4637
2020-11,42.4429,47.2943
2020-12,34.5084,51.8455
2021-01,63.7042,50.305
2021-02,64.592,53.4604
2021-03,82.8951,59.4101
2021-04,80.6646,66.6882
2021-05,85.8146,66.6274
2021-06,83.9078,69.2184
2021-07,75.3185,72.1455
2021-08,50.092,75.992
2021-09,60.54,66.6118
2021-10,64.7648,77.1553
2021-11,74.0588,74.6519
2021-12,75.1768,81.397
2022-01,56.4654,70.7122
2022-02,37.8544,64.6001
2022-03,28.6043,69.8532
2022-04,11.1241,54.0273
2022-05,13.1908,53.6333
2022-06,-7.2012,40.2902
2022-07,6.0296,52.5094
2022-08,11.6164,45.531
2022-09,-6.4068,31.5965
2022-10,14.5289,41.7445
2022-11,18.1425,48.9584
2022-12,-2.2084,39.838
2023-01,14.3005,48.5632
2023-02,12.4288,44.2258
2023-03,6.2969,48.9578
2023-04,-4.3119,50.6836
2023-05,-6.1058,50.7741
2023-06,11.7603,59.884
2023-07,11.0501,64.3798
2023-08,-3.1273,60.953
2023-09,-4.6582,52.6248
2023-10,-18.3916,48.7132
2023-11,-8.3138,61.6976
2023-12,4.291,68.3392
2024-01,12.6528,71.0275
2024-02,19.1706,79.0476
2024-03,31.6327,83.99
2024-04,28.9049,75.7344
2024-05,29.9148,83.6813
2024-06,34.1485,89.2836
2024-07,27.6112,90.5002
2024-08,43.0229,94.0822
2024-09,29.1768,98.2932
2024-10,45.8726,95.412
2024-11,59.223,105.8418
2024-12,52.347,99.9875
2025-01,41.4768,105.351
2025-02,40.1539,101.7087
2025-03,34.151,89.4719
2025-04,28.7082,87.0451
2025-05,40.8291,97.8575
2025-06,39.7592,107.0685
2025-07,50.9841,110.7404
2025-08,65.3184,114.0337
2025-09,72.4554,121.6081
2025-10,94.6304,125.7153
2025-11,106.1735,125.0226
2025-12,127.3795,124.0393
2026-01,141.5006,128.5087
