Date,rate_BSX_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,-7.7114,0.3631
2016-03,3.7651,6.1635
2016-04,19.6435,4.8532
2016-05,20.5496,5.5092
2016-06,18.9201,4.9516
2016-07,20.5316,8.0529
2016-08,15.9074,7.2728
2016-09,13.9881,6.525
2016-10,4.2422,4.0384
2016-11,-3.4757,7.3996
2016-12,2.1472,9.0221
2017-01,13.3071,10.0556
2017-02,14.3939,13.4646
2017-03,14.9035,12.6934
2017-04,20.9132,13.0265
2017-05,22.6636,13.8264
2017-06,24.429,13.7461
2017-07,18.5215,15.2839
2017-08,21.6722,14.8547
2017-09,27.7627,16.4705
2017-10,22.243,18.391
2017-11,13.2179,21.1572
2017-12,6.3579,21.8357
2018-01,19.5622,27.5767
2018-02,12.0587,19.4887
2018-03,10.4536,15.9328
2018-04,13.4083,14.9578
2018-05,19.4205,17.1859
2018-06,27.6126,17.444
2018-07,30.1704,20.9505
2018-08,36.625,24.1299
2018-09,46.6932,24.1209
2018-10,38.1688,14.1084
2018-11,30.7701,15.0224
2018-12,17.0443,4.4886
2019-01,26.1025,12.5608
2019-02,31.9115,15.8612
2019-03,25.537,17.612
2019-04,20.8195,21.8639
2019-05,24.5399,16.0646
2019-06,38.6553,19.9808
2019-07,36.1057,21.2252
2019-08,31.7592,18.3328
2019-09,23.3512,20.1882
2019-10,26.7774,20.3259
2019-11,30.9074,24.2116
2019-12,36.2262,27.349
2020-01,25.6125,26.2815
2020-02,11.6575,19.8213
2020-03,-5.9914,15.7478
2020-04,8.4216,30.3559
2020-05,3.8933,35.9447
2020-06,-4.1914,35.2146
2020-07,3.9589,39.5903
2020-08,5.1408,48.5304
2020-09,0.8423,40.6583
2020-10,-6.7027,35.284
2020-11,-15.5635,43.8758
2020-12,-10.6551,48.4488
2021-01,-12.1064,45.6177
2021-02,-13.5836,42.6536
2021-03,-14.8064,44.2697
2021-04,-4.5926,51.1309
2021-05,-7.1824,46.9645
2021-06,-7.3917,49.5312
2021-07,-1.1793,52.4159
2021-08,-2.1491,56.1018
2021-09,-5.8991,48.0813
2021-10,-6.2281,56.0144
2021-11,-16.9855,53.5374
2021-12,-7.354,55.8343
2022-01,-7.4183,46.4571
2022-02,-7.7433,38.1483
2022-03,-11.4952,42.2675
2022-04,-15.282,34.5494
2022-05,-14.2635,36.0289
2022-06,-23.2784,21.1749
2022-07,-15.2463,31.8752
2022-08,-16.5954,26.0562
2022-09,-20.5591,14.2993
2022-10,-15.2952,23.2183
2022-11,-10.8461,29.7022
2022-12,-9.8119,24.5108
2023-01,-9.7056,29.2932
2023-02,-12.5099,25.9536
2023-03,-8.143,29.4041
2023-04,-4.2195,31.1074
2023-05,-5.6684,31.3785
2023-06,-3.8469,39.5074
2023-07,-7.0486,43.6112
2023-08,-3.2652,39.288
2023-09,-6.4781,32.2789
2023-10,-7.4316,29.0551
2023-11,0.3363,40.4823
2023-12,3.7719,46.4584
2024-01,13.5046,48.2956
2024-02,18.6241,55.4714
2024-03,19.1721,59.9707
2024-04,19.1729,54.3559
2024-05,25.0887,58.7198
2024-06,27.1963,63.7565
2024-07,22.5295,62.4775
2024-08,31.8318,65.2821
2024-09,34.7604,63.7333
2024-10,35.1172,61.5953
2024-11,39.2407,70.4058
2024-12,36.8266,65.7986
2025-01,56.3725,69.6123
2025-02,57.4532,66.3646
2025-03,54.4116,60.3871
2025-04,56.9265,59.1236
2025-05,60.0429,68.5307
2025-06,59.3912,76.5585
2025-07,55.2928,79.9077
2025-08,51.8724,82.9229
2025-09,40.1285,88.6543
2025-10,44.2163,92.3724
2025-11,45.0912,92.0168
2025-12,35.8478,91.3981
2026-01,33.835,93.9446
