Date,rate_ADA-USD_5D,rate_VOO_20D
2017-11,0.0,1.2597
2017-12,0.0,1.3898
2018-01,0.0,3.5031
2018-02,-22.4686,-0.0527
2018-03,-56.9351,-3.0574
2018-04,10.5889,-3.6287
2018-05,1.9549,-1.3609
2018-06,-3.4312,-0.8841
2018-07,-5.8023,2.3899
2018-08,-26.837,5.2428
2018-09,-37.2857,5.3542
2018-10,-46.7298,-0.6591
2018-11,-56.2998,0.1575
2018-12,-40.5097,-9.8196
2019-01,-39.5089,-2.1415
2019-02,-36.2251,1.0053
2019-03,-20.7964,0.1694
2019-04,-1.4191,1.2043
2019-05,15.155,-1.0022
2019-06,-6.3102,2.4887
2019-07,-13.1346,3.7798
2019-08,-34.4861,1.2494
2019-09,-41.945,3.1332
2019-10,-38.9016,3.0291
2019-11,-38.7577,4.4455
2019-12,-41.9093,5.5526
2020-01,-28.2892,5.2049
2020-02,-19.501,-2.2022
2020-03,-20.392,-8.5523
2020-04,25.5635,4.5115
2020-05,54.3577,9.7056
2020-06,69.904,9.8341
2020-07,123.0769,14.3956
2020-08,114.6167,22.5585
2020-09,93.6432,16.0052
2020-10,86.9913,11.5831
2020-11,212.4344,20.2391
2020-12,186.8861,24.5538
2021-01,402.2873,22.174
2021-02,1130.0811,20.547
2021-03,1068.9228,22.7165
2021-04,993.6074,29.1629
2021-05,1133.6626,25.8728
2021-06,951.5018,28.2536
2021-07,890.1711,31.0269
2021-08,1904.8293,34.5451
2021-09,1774.5841,27.1706
2021-10,1532.5444,34.2413
2021-11,1333.2932,32.1033
2021-12,1306.2594,35.0825
2022-01,952.0575,26.4626
2022-02,796.5557,19.2476
2022-03,926.4866,23.2385
2022-04,724.4704,15.3483
2022-05,782.3905,16.6213
2022-06,513.6147,3.237
2022-07,581.2512,13.3766
2022-08,553.9746,11.5887
2022-09,543.1415,9.036
2022-10,534.5534,14.7879
2022-11,442.619,21.3784
2022-12,313.9637,15.4125
2023-01,548.7575,21.2115
2023-02,496.6644,17.7161
2023-03,581.2126,21.2813
2023-04,571.374,22.9986
2023-05,550.796,23.2469
2023-06,424.2078,31.4962
2023-07,447.9676,35.6477
2023-08,402.6019,31.4134
2023-09,394.2554,24.2457
2023-10,440.6536,20.9206
2023-11,576.7141,32.5583
2023-12,791.8499,38.6236
2024-01,727.045,35.1275
2024-02,972.9981,42.1825
2024-03,1076.5402,46.6154
2024-04,878.044,40.9283
2024-05,881.5406,45.2741
2024-06,829.2921,50.2364
2024-07,712.7704,49.3487
2024-08,676.2294,52.3019
2024-09,696.8135,51.4156
2024-10,565.5644,49.2937
2024-11,1730.89,58.0597
2024-12,1655.9199,52.9175
2025-01,1662.266,53.7375
2025-02,1578.9303,52.4877
2025-03,1003.2119,47.3547
2025-04,1040.436,43.2871
2025-05,1041.0974,52.4358
2025-06,903.2235,60.2417
2025-07,1310.8943,63.5085
2025-08,1266.9906,66.4479
2025-09,1160.6178,72.0135
2025-10,1085.9481,75.6294
2025-11,1014.2934,71.0979
2025-12,889.1415,70.3529
2026-01,906.2859,71.74
