Date,rate_QCLN_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,1.67,0.0
2019-01-31,2.39,1.9,0.49,1.82,0.15
2019-03-01,7.35,4.45,2.9,2.57,0.75
2019-03-29,4.27,4.9,-0.63,1.48,-1.09
2019-04-29,8.82,7.58,1.24,2.05,0.57
2019-05-28,1.16,4.33,-3.17,0.69,-1.36
2019-06-25,6.02,7.2,-1.18,1.31,0.62
2019-07-24,16.77,9.37,7.4,3.95,2.64
2019-08-21,12.1,7.24,4.86,3.17,-0.78
2019-09-19,16.31,9.32,6.99,3.83,0.66
2019-10-17,11.19,8.87,2.32,2.39,-1.44
2019-11-14,16.57,11.34,5.23,3.28,0.89
2019-12-13,22.35,13.19,9.16,4.5,1.22
2020-01-14,37.86,15.64,22.22,8.52,4.02
2020-02-12,49.83,18.03,31.8,11.48,2.96
2020-03-12,6.93,-3.7,10.63,4.95,-6.53
2020-04-09,13.78,3.89,9.89,4.72,-0.23
2020-05-08,32.49,7.3,25.19,9.44,4.72
2020-06-08,56.11,14.68,41.43,14.45,5.01
2020-07-07,68.33,12.36,55.97,18.93,4.48
2020-08-04,91.55,16.26,75.29,24.89,5.96
2020-09-01,125.11,21.66,103.45,33.57,8.68
2020-09-30,127.4,17.41,109.99,35.59,2.02
2020-10-28,142.25,15.44,126.81,40.78,5.19
2020-11-25,227.78,24.05,203.73,64.5,23.72
2020-12-24,259.72,25.6,234.12,73.87,9.37
2021-01-26,337.34,29.15,308.19,96.71,22.84
2021-02-24,292.37,31.06,261.31,82.25,-14.46
2021-03-24,225.5,30.35,195.15,61.85,-20.4
2021-04-22,237.52,35.95,201.57,63.83,1.98
2021-05-20,204.82,36.67,168.15,53.52,-10.31
2021-06-18,227.88,36.95,190.93,60.55,7.03
2021-07-19,215.46,38.99,176.47,56.09,-4.46
2021-08-16,228.8,44.26,184.54,58.58,2.49
2021-09-14,233.41,43.6,189.81,60.2,1.62
2021-10-12,233.36,41.09,192.27,60.96,0.76
2021-11-09,304.49,49.14,255.35,80.42,19.46
2021-12-08,276.81,49.66,227.15,71.72,-8.7
2022-01-06,229.1,49.24,179.86,57.14,-14.58
2022-02-04,185.14,44.67,140.47,44.99,-12.15
2022-03-07,184.18,37.68,146.5,46.85,1.86
2022-04-04,243.65,46.58,197.07,62.44,15.59
2022-05-03,178.76,36.93,141.83,45.41,-17.03
2022-06-01,178.5,35.31,143.19,45.83,0.42
2022-06-30,167.2,27.61,139.59,44.72,-1.11
2022-07-29,218.55,35.9,182.65,58.0,13.28
2022-08-26,235.18,34.27,200.91,63.63,5.63
2022-09-26,196.86,24.87,171.99,54.71,-8.92
2022-10-24,170.69,27.92,142.77,45.7,-9.01
2022-11-21,189.96,31.72,158.24,50.47,4.77
2022-12-20,158.07,28.33,129.74,41.68,-8.79
2023-01-20,161.77,31.98,129.79,41.7,0.02
2023-02-17,184.48,34.71,149.77,47.86,6.16
2023-03-20,148.54,31.83,116.71,37.66,-10.2
2023-04-18,155.89,36.36,119.53,38.53,0.87
2023-05-16,138.04,35.42,102.62,33.32,-5.21
2023-06-14,163.75,41.83,121.92,39.27,5.95
2023-07-14,178.86,44.74,134.12,43.03,3.76
2023-08-11,146.16,43.86,102.3,33.22,-9.81
2023-09-11,136.32,44.56,91.76,29.97,-3.25
2023-10-09,101.39,40.69,60.7,20.39,-9.58
2023-11-06,79.43,41.47,37.96,13.38,-7.01
2023-12-05,90.49,46.52,43.97,15.23,1.85
2024-01-04,100.27,49.07,51.2,17.46,2.23
2024-02-02,78.88,55.53,23.35,8.87,-8.59
2024-03-04,79.89,59.84,20.05,7.85,-1.02
2024-04-02,71.63,61.42,10.21,4.82,-3.03
2024-04-30,66.51,57.39,9.12,4.48,-0.34
2024-05-29,90.89,63.18,27.71,10.22,5.74
2024-06-27,80.19,68.42,11.77,5.3,-4.92
2024-07-26,86.68,67.5,19.18,7.59,2.29
2024-08-23,84.25,71.75,12.5,5.53,-2.06
