Date,rate_PWR_5D,rate_VOO_20D
2015-01,-3.7102,-3.4132
2015-02,3.4398,1.8945
2015-03,1.5562,-0.2632
2015-04,2.5622,0.3667
2015-05,3.2983,1.2291
2015-06,0.6727,-1.0339
2015-07,-3.1266,0.8676
2015-08,-20.6475,-5.0606
2015-09,-18.1291,-6.816
2015-10,-30.8385,1.3367
2015-11,-21.6963,-0.8589
2015-12,-28.1101,-2.7077
2016-01,-31.4432,-6.8384
2016-02,-23.3887,-6.5873
2016-03,-13.5125,0.0193
2016-04,-8.4762,0.236
2016-05,-6.868,1.8523
2016-06,-13.0927,2.0395
2016-07,-3.4331,5.6205
2016-08,-2.8968,5.4728
2016-09,5.6493,5.227
2016-10,8.2492,3.1231
2016-11,18.5037,6.7502
2016-12,21.6458,8.6792
2017-01,24.1224,10.1358
2017-02,28.1251,13.9198
2017-03,26.4262,13.5157
2017-04,20.0506,14.1746
2017-05,3.2604,15.2666
2017-06,10.6379,15.4485
2017-07,13.0271,17.2725
2017-08,19.8923,17.0671
2017-09,24.0654,18.9198
2017-10,24.5464,21.1013
2017-11,24.4809,24.1537
2017-12,27.7848,25.0715
2018-01,25.0146,31.2389
2018-02,11.4886,22.9915
2018-03,10.9253,19.4671
2018-04,4.6826,18.5528
2018-05,15.7122,20.9392
2018-06,6.9144,21.321
2018-07,8.8284,25.0401
2018-08,10.2696,28.4456
2018-09,6.2257,28.5555
2018-10,-1.42,18.2007
2018-11,4.9456,19.1763
2018-12,-9.9488,8.3056
2019-01,5.9614,16.6509
2019-02,6.7805,20.0866
2019-03,12.8311,21.9449
2019-04,21.1831,26.3969
2019-05,3.6926,20.4246
2019-06,13.7745,24.503
2019-07,11.1935,25.843
2019-08,0.7445,22.8724
2019-09,12.4442,24.8265
2019-10,18.9815,24.9719
2019-11,17.4589,29.04
2019-12,14.7029,32.353
2020-01,10.06,31.2978
2020-02,6.3514,24.6326
2020-03,-10.4443,20.4116
2020-04,3.1311,35.6351
2020-05,-1.1968,41.4844
2020-06,-0.2665,40.7677
2020-07,-0.7584,45.3789
2020-08,26.741,54.7704
2020-09,27.3493,46.6303
2020-10,38.9166,41.0756
2020-11,39.3181,50.0844
2020-12,35.8368,54.9276
2021-01,29.0495,52.0563
2021-02,42.1014,49.0174
2021-03,41.4042,50.7567
2021-04,49.6673,57.991
2021-05,45.843,53.6717
2021-06,41.0092,56.411
2021-07,41.0015,59.4902
2021-08,57.8063,63.4166
2021-09,76.6994,55.0608
2021-10,81.4615,63.4238
2021-11,68.7461,60.8924
2021-12,67.7728,63.3579
2022-01,49.7098,53.5545
2022-02,58.1555,44.8644
2022-03,90.2279,49.2071
2022-04,80.5454,41.1301
2022-05,84.798,42.6897
2022-06,78.1856,27.1341
2022-07,95.8843,38.3383
2022-08,98.4569,32.2395
2022-09,78.1807,19.8935
2022-10,97.6074,29.2146
2022-11,100.7543,35.9819
2022-12,90.4789,30.5347
2023-01,96.2583,35.5242
2023-02,94.2182,32.02
2023-03,89.6089,35.6212
2023-04,92.2471,37.404
2023-05,88.7486,37.6846
2023-06,107.6459,46.2064
2023-07,112.0437,50.5196
2023-08,113.7687,45.9871
2023-09,89.6801,38.6524
2023-10,68.7801,35.2761
2023-11,89.4164,47.2388
2023-12,116.1876,53.5146
2024-01,93.5593,55.4574
2024-02,139.702,63.0004
2024-03,156.4954,67.7435
2024-04,147.451,61.8772
2024-05,162.7278,66.4648
2024-06,140.6978,71.7807
2024-07,150.1144,70.4616
2024-08,138.6951,73.4314
2024-09,143.2246,71.8345
2024-10,147.0958,69.6086
2024-11,160.5826,78.9071
2024-12,137.8685,74.1003
2025-01,130.4588,78.1254
2025-02,93.7447,74.7321
2025-03,88.9327,68.4867
2025-04,103.1434,67.1675
2025-05,136.6867,77.0634
2025-06,145.8591,85.5228
2025-07,161.174,89.0665
2025-08,149.6878,92.2392
2025-09,165.1336,98.3031
2025-10,186.0152,102.235
2025-11,194.575,101.9225
2025-12,169.0462,100.8841
